$GNRMC,072408.60,A,3600.77859,N,12919.12755,E,0.223,208.46,010620,,,A,V*0C
$GNRMC,072408.70,A,3600.77864,N,12919.12765,E,0.151,,010620,,,A,V*10
$GNGGA,072408.90,3600.77867,N,12919.12764,E,1,12,0.61,60.0,M,24.3,M,,*7D
$GNGGA,072409.10,3600.77867,N,12919.12760,E,1,12,0.61,60.0,M,24.3,M,,*70
$GNGGA,072409.20,3600.77872,N,12919.12761,E,1,12,0.61,59.9,M,24.3,M,,*75
$GNGGA,072409.30,3600.77873,N,12919.12763,E,1,12,0.57,59.8,M,24.3,M,,*73
$GNGGA,072409.40,3600.77879,N,12919.12764,E,1,12,0.57,59.8,M,24.3,M,,*79
$GNGGA,072409.50,3600.77882,N,12919.12770,E,1,12,0.57,59.7,M,24.3,M,,*76
$GNGGA,072409.60,3600.77884,N,12919.12783,E,1,12,0.57,60.0,M,24.3,M,,*72
$GNGGA,072409.70,3600.77884,N,12919.12793,E,1,12,0.57,60.2,M,24.3,M,,*70
$GNGGA,072409.80,3600.77885,N,12919.12796,E,1,12,0.57,60.3,M,24.3,M,,*7A
$GNGGA,072409.90,3600.77883,N,12919.12805,E,1,12,0.57,60.5,M,24.3,M,,*7E
$GNGGA,072410.00,3600.77881,N,12919.12813,E,1,12,0.57,60.7,M,24.3,M,,*78
$GNGGA,072410.10,3600.77877,N,12919.12819,E,1,12,0.57,60.8,M,24.3,M,,*75
$GNGGA,072410.20,3600.77875,N,12919.12823,E,1,12,0.57,61.0,M,24.3,M,,*74
$GNGGA,072410.30,3600.77874,N,12919.12827,E,1,12,0.57,61.0,M,24.3,M,,*70
$GNGGA,072410.40,3600.77874,N,12919.12830,E,1,12,0.57,61.1,M,24.3,M,,*70
$GNGGA,072410.50,3600.77874,N,12919.12833,E,1,12,0.57,61.1,M,24.3,M,,*72
$GNGGA,072410.60,3600.77875,N,12919.12833,E,1,12,0.57,61.0,M,24.3,M,,*71
$GNGGA,072410.70,3600.77877,N,12919.12834,E,1,12,0.57,60.9,M,24.3,M,,*7D
$GNGGA,072410.80,3600.77879,N,12919.12833,E,1,12,0.57,60.9,M,24.3,M,,*7B
$GNGGA,072410.90,3600.77880,N,12919.12833,E,1,12,0.57,60.9,M,24.3,M,,*7C
$GNGGA,072411.00,3600.77882,N,12919.12834,E,1,12,0.57,60.8,M,24.3,M,,*70
$GNGGA,072411.10,3600.77882,N,12919.12834,E,1,12,0.57,60.8,M,24.3,M,,*71
$GNGGA,072411.20,3600.77883,N,12919.12834,E,1,12,0.57,60.8,M,24.3,M,,*73
$GNGGA,072411.30,3600.77884,N,12919.12834,E,1,12,0.57,60.8,M,24.3,M,,*75
$GNGGA,072411.40,3600.77886,N,12919.12835,E,1,12,0.57,60.7,M,24.3,M,,*7E
$GNGGA,072411.50,3600.77888,N,12919.12838,E,1,12,0.55,60.7,M,24.3,M,,*7E
$GNGGA,072411.60,3600.77889,N,12919.12843,E,1,12,0.57,60.8,M,24.3,M,,*7D
$GNGGA,072411.70,3600.77890,N,12919.12847,E,1,12,0.57,61.0,M,24.3,M,,*79
$GNGGA,072411.80,3600.77891,N,12919.12847,E,1,12,0.55,60.9,M,24.3,M,,*7D
$GNGGA,072411.90,3600.77893,N,12919.12846,E,1,12,0.52,60.8,M,24.3,M,,*79
$GNGGA,072412.00,3600.77894,N,12919.12844,E,1,12,0.52,60.8,M,24.3,M,,*76
$GNGGA,072412.10,3600.77896,N,12919.12843,E,1,12,0.52,60.7,M,24.3,M,,*7D
$GNGGA,072412.20,3600.77897,N,12919.12841,E,1,12,0.52,60.6,M,24.3,M,,*7C
$GNGGA,072412.30,3600.77898,N,12919.12839,E,1,12,0.52,60.5,M,24.3,M,,*7E
$GNGGA,072412.40,3600.77898,N,12919.12838,E,1,12,0.52,60.5,M,24.3,M,,*78
$GNGGA,072412.50,3600.77899,N,12919.12837,E,1,12,0.52,60.4,M,24.3,M,,*76
$GNGGA,072412.60,3600.77899,N,12919.12836,E,1,12,0.52,60.4,M,24.3,M,,*74
$GNGGA,072412.70,3600.77900,N,12919.12835,E,1,12,0.52,60.4,M,24.3,M,,*77
$GNGGA,072412.80,3600.77901,N,12919.12835,E,1,12,0.52,60.3,M,24.3,M,,*7E
$GNGGA,072412.90,3600.77901,N,12919.12833,E,1,12,0.52,60.3,M,24.3,M,,*79
$GNGGA,072413.00,3600.77901,N,12919.12833,E,1,12,0.52,60.3,M,24.3,M,,*71
$GNGGA,072413.10,3600.77901,N,12919.12832,E,1,12,0.52,60.2,M,24.3,M,,*70
$GNGGA,072413.20,3600.77902,N,12919.12831,E,1,12,0.52,60.2,M,24.3,M,,*73
$GNGGA,072413.30,3600.77902,N,12919.12831,E,1,12,0.52,60.2,M,24.3,M,,*72
$GNGGA,072413.40,3600.77902,N,12919.12830,E,1,12,0.52,60.2,M,24.3,M,,*74
$GNGGA,072413.50,3600.77902,N,12919.12830,E,1,12,0.52,60.2,M,24.3,M,,*75
$GNGGA,072413.60,3600.77901,N,12919.12829,E,1,12,0.52,60.2,M,24.3,M,,*7D
$GNGGA,072413.70,3600.77901,N,12919.12828,E,1,12,0.52,60.1,M,24.3,M,,*7E
$GNGGA,072413.80,3600.77901,N,12919.12827,E,1,12,0.52,60.1,M,24.3,M,,*7E
$GNGGA,072413.90,3600.77902,N,12919.12827,E,1,12,0.52,60.1,M,24.3,M,,*7C
$GNGGA,072414.00,3600.77902,N,12919.12826,E,1,12,0.52,60.1,M,24.3,M,,*73
$GNGGA,072414.10,3600.77902,N,12919.12826,E,1,12,0.52,60.1,M,24.3,M,,*72
$GNGGA,072414.20,3600.77902,N,12919.12825,E,1,12,0.52,60.1,M,24.3,M,,*72
$GNGGA,072414.30,3600.77902,N,12919.12824,E,1,12,0.52,60.1,M,24.3,M,,*72
$GNGGA,072414.40,3600.77902,N,12919.12824,E,1,12,0.52,60.1,M,24.3,M,,*75
$GNGGA,072414.50,3600.77902,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*73
$GNGGA,072414.60,3600.77902,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*70
$GNGGA,072414.70,3600.77902,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*71
$GNGGA,072414.80,3600.77903,N,12919.12822,E,1,12,0.52,60.1,M,24.3,M,,*7E
$GNGGA,072414.90,3600.77902,N,12919.12822,E,1,12,0.52,60.1,M,24.3,M,,*7E
$GNGGA,072415.00,3600.77902,N,12919.12822,E,1,12,0.52,60.1,M,24.3,M,,*76
$GNGGA,072415.10,3600.77902,N,12919.12822,E,1,12,0.52,60.1,M,24.3,M,,*77
$GNGGA,072415.20,3600.77901,N,12919.12822,E,1,12,0.52,60.1,M,24.3,M,,*77
$GNGGA,072415.30,3600.77901,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*77
$GNGGA,072415.40,3600.77899,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*70
$GNGGA,072415.50,3600.77898,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*70
$GNGGA,072415.60,3600.77898,N,12919.12823,E,1,12,0.52,60.1,M,24.3,M,,*73
$GNGGA,072415.70,3600.77897,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*7E
$GNGGA,072415.80,3600.77897,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*71
$GNGGA,072415.90,3600.77897,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*70
$GNGGA,072416.00,3600.77897,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*7A
$GNGGA,072416.10,3600.77897,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*7B
$GNGGA,072416.20,3600.77897,N,12919.12822,E,1,12,0.52,60.2,M,24.3,M,,*79
$GNGGA,072416.30,3600.77898,N,12919.12822,E,1,12,0.52,60.2,M,24.3,M,,*77
$GNGGA,072416.40,3600.77898,N,12919.12822,E,1,12,0.52,60.2,M,24.3,M,,*70
$GNGGA,072416.50,3600.77897,N,12919.12821,E,1,12,0.52,60.2,M,24.3,M,,*7D
$GNGGA,072416.60,3600.77897,N,12919.12821,E,1,12,0.52,60.2,M,24.3,M,,*7E
$GNGGA,072416.70,3600.77897,N,12919.12821,E,1,12,0.52,60.2,M,24.3,M,,*7F
