time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3868700,36.01250266666667,129.31932066666667,64.96770638752808,11.3920546663538,1.3,233.0,123.0,-1.63671875,-10.7421875,3.1875,0.580078125,1.919921875,0.017578125,0.0,180.0,360.0
3868701,,,,,,,,-1.63671875,-10.7421875,3.1875,0.580078125,1.919921875,0.017578125,0.0,180.0,360.0
3868702,,,,,,,,-1.63671875,-10.7421875,3.1875,0.359375,2.34375,-0.23046875,0.0,180.0,360.0
3868703,,,,,,,,-1.63671875,-10.7421875,3.1875,0.80859375,2.806640625,-0.611328125,0.0,180.0,360.0
3868704,,,,,,,,-1.63671875,-10.7421875,3.1875,0.80859375,2.806640625,-0.611328125,0.0,180.0,360.0
3868705,,,,,,,,-1.63671875,-10.7421875,3.1875,0.328125,2.62109375,-0.814453125,0.0,180.0,360.0
3868706,,,,,,,,-3.1328125,10.93359375,-3.7578125,0.328125,2.62109375,-0.814453125,0.0,180.0,360.0
3868707,,,,,,,,-3.1328125,10.93359375,-3.7578125,-0.619140625,2.55859375,-1.037109375,0.0,180.0,360.0
3868708,,,,,,,,-0.23828125,5.9765625,-1.94140625,-0.619140625,2.55859375,-1.037109375,0.0,180.0,360.0
3868709,,,,,,,,-0.23828125,5.9765625,-1.94140625,-0.89453125,2.919921875,-1.154296875,0.0,180.0,360.0
3868710,36.01250183333333,129.3193195,64.86253270753703,11.299587859946193,1.2000000000000002,234.0,,-0.453125,2.359375,-1.6171875,-0.89453125,2.919921875,-1.154296875,0.0,180.0,360.0
3868711,,,,,,,,-0.453125,2.359375,-1.6171875,-1.427734375,2.673828125,-1.068359375,0.0,180.0,360.0
3868712,,,,,,,,-2.4453125,-4.51953125,-1.02734375,-1.427734375,2.673828125,-1.068359375,0.0,180.0,360.0
3868713,,,,,,,,-2.4453125,-4.51953125,-1.02734375,-1.578125,1.927734375,-0.8984375,0.0,180.0,360.0
3868714,,,,,,,,-2.4453125,-4.51953125,-1.02734375,-1.578125,1.927734375,-0.8984375,0.0,180.0,360.0
3868715,,,,,,,,-2.4453125,-4.51953125,-1.02734375,-0.623046875,2.529296875,-0.802734375,0.0,180.0,360.0
3868716,,,,,,,,-8.703125,-24.046875,6.33203125,-0.623046875,2.529296875,-0.802734375,0.0,180.0,360.0
3868717,,,,,,,,-8.703125,-24.046875,6.33203125,1.25390625,2.814453125,0.00390625,0.0,180.0,360.0
3868718,,,,,,,,-8.703125,-24.046875,6.33203125,0.142578125,3.24609375,-0.298828125,0.0,180.0,360.0
3868719,,,,,,,,-4.49609375,-9.140625,1.4765625,0.142578125,3.24609375,-0.298828125,0.0,180.0,360.0
3868720,36.01250116666667,129.31931766666668,64.69725925125373,11.225613820142964,1.3,239.0,,-4.49609375,-9.140625,1.4765625,0.142578125,3.24609375,-0.298828125,0.0,180.0,360.0
3868721,,,,,,,,-4.49609375,-9.140625,1.4765625,-0.013671875,3.009765625,-0.826171875,0.0,180.0,360.0
3868722,,,,,,,,-3.34375,-8.375,0.484375,-0.013671875,3.009765625,-0.826171875,0.0,180.0,360.0
3868723,,,,,,,,-3.34375,-8.375,0.484375,0.052734375,2.423828125,-1.33984375,0.0,180.0,360.0
3868724,,,,,,,,-3.34375,-8.375,0.484375,-0.27734375,2.3125,-1.505859375,0.0,180.0,360.0
