time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
4180800,36.013601333333334,129.31967766666668,97.14971322283245,133.29957286003824,1.2000000000000002,252.0,48.0,-1.296875,1.60546875,-4.84765625,-0.80078125,0.25,-0.96875,356.0111111111111,356.0,356.0111111111111
4180801,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.80078125,0.25,-0.96875,356.0111111111111,356.0,356.0111111111111
4180802,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.01953125,0.01171875,-1.03125,356.0111111111111,356.0,356.0111111111111
4180803,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.01953125,0.01171875,-1.03125,356.0111111111111,356.0,356.0111111111111
4180804,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.419921875,1.583984375,0.259765625,356.0111111111111,356.0,356.0111111111111
4180805,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.419921875,1.583984375,0.259765625,356.0111111111111,356.0,356.0111111111111
4180806,,,,,,,,-1.296875,1.60546875,-4.84765625,0.673828125,1.529296875,0.013671875,356.0111111111111,356.0,356.0111111111111
4180807,,,,,,,,-1.296875,1.60546875,-4.84765625,0.673828125,1.529296875,0.013671875,356.0111111111111,356.0,356.0111111111111
4180808,,,,,,,,-1.296875,1.60546875,-4.84765625,1.212890625,1.98828125,-0.71875,356.0111111111111,356.0,356.0111111111111
4180809,,,,,,,,-1.296875,1.60546875,-4.84765625,1.212890625,1.98828125,-0.71875,356.0111111111111,356.0,356.0111111111111
4180810,36.013599500000005,129.31967433333332,96.84922145558355,133.09614424644886,1.7000000000000002,241.0,,-1.296875,1.60546875,-4.84765625,-0.966796875,2.587890625,-1.26171875,356.0111111111111,356.0,356.0111111111111
4180811,,,,,,,,-1.296875,1.60546875,-4.84765625,-0.966796875,2.587890625,-1.26171875,356.0111111111111,356.0,356.0111111111111
4180812,,,,,,,,-1.296875,1.60546875,-4.84765625,-2.18359375,1.732421875,-0.96484375,356.0111111111111,356.0,356.0111111111111
4180813,,,,,,,,-1.296875,1.60546875,-4.84765625,-2.18359375,1.732421875,-0.96484375,356.0111111111111,356.0,356.0111111111111
4180814,,,,,,,,-1.296875,1.60546875,-4.84765625,-1.99609375,1.38671875,-0.8984375,356.0111111111111,356.0,356.0111111111111
4180815,,,,,,,,-7.09765625,-13.109375,-3.78515625,-1.99609375,1.38671875,-0.8984375,356.0111111111111,356.0,356.0111111111111
4180816,,,,,,,,-7.09765625,-13.109375,-3.78515625,-1.99609375,1.38671875,-0.8984375,356.0111111111111,356.0,356.0111111111111
4180817,,,,,,,,-7.09765625,-13.109375,-3.78515625,1.025390625,1.06640625,-1.623046875,356.0111111111111,356.0,356.0111111111111
