time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2447800,36.012958499999996,129.318799,17.93963802256207,61.97075147520957,0.1,65535.0,0.0,1.7109375,-4.06640625,-2.6953125,-0.08203125,-0.193359375,0.076171875,1.7578125,-8.98828125,3.1484375
2447801,,,,,,,,1.859375,-4.02734375,-2.51953125,-0.18359375,-0.025390625,0.033203125,1.9140625,-8.98828125,3.30078125
2447802,,,,,,,,1.8125,-3.97265625,-2.625,-0.18359375,-0.03515625,0.0234375,1.875,-8.94921875,3.1875
2447803,,,,,,,,1.61328125,-3.81640625,-2.6796875,-0.177734375,-0.03125,-0.001953125,1.68359375,-8.83203125,3.109375
2447804,,,,,,,,1.55859375,-3.59375,-2.69140625,-0.154296875,-0.037109375,0.001953125,1.64453125,-8.64453125,3.07421875
2447805,,,,,,,,1.7109375,-3.5625,-2.515625,-0.158203125,-0.041015625,-0.015625,1.796875,-8.64453125,3.2265625
2447806,,,,,,,,1.8125,-3.53125,-2.53125,-0.19140625,-0.048828125,-0.033203125,1.9140625,-8.640625,3.1875
2447807,,,,,,,,1.83984375,-3.71484375,-2.5390625,-0.201171875,-0.05859375,-0.02734375,1.94921875,-8.8671875,3.1484375
2447808,,,,,,,,1.7890625,-3.66796875,-2.5078125,-0.158203125,-0.056640625,0.0,1.9140625,-8.87109375,3.1484375
2447809,,,,,,,,1.6953125,-3.61328125,-2.61328125,-0.1640625,-0.05078125,0.005859375,1.8359375,-8.828125,3.03515625
2447810,36.012958166666664,129.31879883333335,17.924613275488063,61.93376503005545,0.0,65535.0,,1.609375,-3.5390625,-2.515625,-0.08203125,-0.193359375,0.076171875,1.7578125,-8.98828125,3.1484375
2447811,,,,,,,,1.44921875,-3.3828125,-2.56640625,-0.1796875,-0.064453125,-0.001953125,1.60546875,-8.68359375,3.03515625
2447812,,,,,,,,1.50390625,-3.3046875,-2.60546875,-0.1640625,-0.083984375,-0.015625,1.68359375,-8.640625,2.95703125
2447813,,,,,,,,1.7265625,-3.3828125,-2.50390625,-0.17578125,-0.087890625,0.015625,1.9140625,-8.76171875,3.03515625
2447814,,,,,,,,1.71875,-3.54296875,-2.44140625,-0.171875,-0.08984375,0.015625,1.9140625,-8.9453125,3.07421875
2447815,,,,,,,,1.703125,-3.65625,-2.53515625,-0.16796875,-0.08984375,0.02734375,1.9140625,-9.10546875,2.95703125
2447816,,,,,,,,1.6953125,-3.6015625,-2.59765625,-0.169921875,-0.087890625,0.03125,1.9140625,-9.06640625,2.87890625
2447817,,,,,,,,1.6796875,-3.48046875,-2.48828125,-0.19921875,-0.080078125,0.0546875,1.9140625,-8.984375,2.95703125
2447818,,,,,,,,1.671875,-3.2578125,-2.53515625,-0.21484375,-0.080078125,0.03125,1.9140625,-8.796875,2.87890625
2447819,,,,,,,,1.6640625,-3.140625,-2.46484375,-0.2421875,-0.068359375,0.01953125,1.9140625,-8.72265625,2.91796875
2447820,36.01295783333333,129.318799,17.9396381735244,61.89677864723453,0.0,65535.0,,1.6484375,-3.1015625,-2.40234375,-0.08203125,-0.193359375,0.076171875,1.7578125,-8.98828125,3.1484375
2447821,,,,,,,,1.6328125,-3.16015625,-2.44140625,-0.26171875,-0.0546875,0.02734375,1.9140625,-8.828125,2.87890625
2447822,,,,,,,,1.6328125,-3.14453125,-2.38671875,-0.255859375,-0.0546875,0.041015625,1.9140625,-8.828125,2.91796875
2447823,,,,,,,,1.6328125,-3.19140625,-2.34765625,-0.244140625,-0.05078125,0.0625,1.9140625,-8.90625,2.91796875
2447824,,,,,,,,1.578125,-3.23046875,-2.28515625,-0.23828125,-0.046875,0.08984375,1.875,-8.984375,2.95703125
2447825,,,,,,,,1.6171875,-3.16015625,-2.22265625,-0.2421875,-0.048828125,0.126953125,1.9140625,-8.94921875,2.99609375
2447826,,,,,,,,1.609375,-3.13671875,-2.24609375,-0.2421875,-0.0390625,0.12890625,1.9140625,-8.94921875,2.95703125
2447827,,,,,,,,1.65234375,-3.18359375,-2.25390625,-0.244140625,-0.0390625,0.146484375,1.94921875,-9.02734375,2.91796875
2447828,,,,,,,,1.6171875,-3.1796875,-2.14453125,-0.2734375,-0.0234375,0.142578125,1.9140625,-9.06640625,2.99609375
2447829,,,,,,,,1.65234375,-3.171875,-2.12890625,-0.27734375,-0.015625,0.14453125,1.94921875,-9.0625,2.99609375
2447830,36.012957666666665,129.31879883333335,17.924613388529686,61.87828540944341,0.0,65535.0,,1.65234375,-3.109375,-2.12109375,-0.08203125,-0.193359375,0.076171875,1.94921875,-9.0625,2.95703125
2447831,,,,,,,,1.42578125,-2.95703125,-2.2421875,-0.326171875,0.009765625,0.140625,1.72265625,-8.94921875,2.8046875
2447832,,,,,,,,1.34765625,-2.95703125,-2.25,-0.326171875,0.017578125,0.13671875,1.64453125,-8.98828125,2.765625
2447833,,,,,,,,1.35546875,-2.91796875,-2.2109375,-0.33203125,0.0234375,0.138671875,1.64453125,-8.98828125,2.765625
2447834,,,,,,,,1.31640625,-2.79296875,-2.26953125,-0.30859375,0.0390625,0.134765625,1.60546875,-8.91015625,2.65234375
2447835,,,,,,,,1.39453125,-2.71484375,-2.1640625,-0.28125,0.05078125,0.154296875,1.68359375,-8.8671875,2.7265625
2447836,,,,,,,,1.4765625,-2.77734375,-2.22265625,-0.279296875,0.0546875,0.150390625,1.7578125,-8.94921875,2.65234375
2447837,,,,,,,,1.5546875,-2.81640625,-2.1171875,-0.255859375,0.0625,0.142578125,1.8359375,-9.0234375,2.7265625
2447838,,,,,,,,1.5234375,-2.8984375,-2.015625,-0.23828125,0.072265625,0.1328125,1.796875,-9.140625,2.8046875
2447839,,,,,,,,1.41015625,-2.9453125,-1.91015625,-0.2265625,0.087890625,0.138671875,1.68359375,-9.22265625,2.87890625
2447840,36.01295733333333,129.31879849999999,17.894563817099247,61.84129893417844,0.0,65535.0,,1.46484375,-2.95703125,-1.9140625,-0.2265625,0.109375,0.1328125,1.72265625,-9.25390625,2.84375
2447841,,,,,,,,1.38671875,-2.92578125,-1.9296875,-0.236328125,0.10546875,0.115234375,1.64453125,-9.25390625,2.8046875
2447842,,,,,,,,1.28125,-2.8671875,-1.953125,-0.244140625,0.11328125,0.09765625,1.53125,-9.21875,2.765625
2447843,,,,,,,,1.125,-2.796875,-1.8828125,-0.25,0.123046875,0.05859375,1.375,-9.18359375,2.8046875
2447844,,,,,,,,1.08984375,-2.7421875,-1.79296875,-0.240234375,0.125,0.0546875,1.33984375,-9.14453125,2.87890625
2447845,,,,,,,,1.1640625,-2.625,-1.78125,-0.21875,0.138671875,0.029296875,1.4140625,-9.06640625,2.84375
2447846,,,,,,,,1.36328125,-2.6484375,-1.73046875,-0.2109375,0.142578125,0.025390625,1.60546875,-9.1015625,2.87890625
2447847,,,,,,,,1.35546875,-2.6953125,-1.70703125,-0.181640625,0.162109375,0.01171875,1.60546875,-9.18359375,2.87890625
2447848,,,,,,,,1.1328125,-2.59375,-1.68359375,-0.12109375,0.177734375,-0.00390625,1.375,-9.10546875,2.87890625
2447849,,,,,,,,1.32421875,-2.5859375,-1.61328125,-0.087890625,0.201171875,-0.00390625,1.56640625,-9.14453125,2.91796875
2447850,36.012957,129.31879833333332,17.8795390702551,61.80431249037476,0.0,65535.0,,1.44140625,-2.5625,-1.51953125,-0.08203125,0.21875,-0.013671875,1.68359375,-9.140625,2.99609375
2447851,,,,,,,,1.5625,-2.5859375,-1.53515625,-0.033203125,0.23046875,-0.0390625,1.796875,-9.18359375,2.95703125
