time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2412600,36.01278283333333,129.31898583333336,34.78254118313329,42.478962315920064,1.5,238.0,0.0,-6.0859375,-2.38671875,8.59375,-2.025390625,-0.724609375,-0.576171875,-5.296875,-10.88671875,4.1875
2412601,,,,,,,,-12.31640625,-19.734375,17.5703125,-1.802734375,-0.822265625,-0.6796875,-11.50390625,-28.08984375,12.921875
2412602,,,,,,,,-12.70703125,-22.64453125,18.21484375,-1.69921875,-0.857421875,-0.685546875,-11.88671875,-30.953125,13.49609375
2412603,,,,,,,,-12.33984375,-16.91796875,15.0078125,-1.35546875,-0.892578125,-0.716796875,-11.50390625,-25.1328125,10.1640625
2412604,,,,,,,,-11.7265625,-10.99609375,12.59375,-1.025390625,-0.833984375,-0.734375,-10.890625,-19.19921875,7.7109375
2412605,,,,,,,,-10.63671875,-3.71875,6.87109375,0.091796875,-0.69921875,-0.765625,-9.77734375,-11.8828125,1.96484375
2412606,,,,,,,,-9.28125,-3.47265625,8.34375,0.171875,-0.748046875,-0.92578125,-8.3984375,-11.6484375,3.4609375
2412607,,,,,,,,-5.09375,-7.78515625,13.75390625,-0.60546875,-0.791015625,-1.27734375,-4.1875,-15.9375,8.86328125
2412608,,,,,,,,-0.71484375,-13.19140625,19.76171875,-2.322265625,-0.515625,-3.453125,0.41015625,-21.1875,14.68359375
2412609,,,,,,,,1.19921875,-14.87109375,18.5390625,-1.880859375,-0.517578125,-3.462890625,2.44140625,-22.80078125,13.3828125
2412610,36.01278216666666,129.3189845,34.6623426246251,42.404989014482,1.2000000000000002,235.0,,-8.7578125,-12.3828125,12.1640625,-0.171875,-0.71875,-1.2109375,-7.2890625,-20.1953125,6.90625
2412611,,,,,,,,-12.14453125,-13.078125,11.9375,-0.017578125,-0.859375,-0.646484375,-10.66015625,-20.88671875,6.6796875
2412612,,,,,,,,-12.54296875,-13.55078125,11.6875,-2.701171875,-1.49609375,-1.228515625,-11.08203125,-21.2265625,6.2578125
2412613,,,,,,,,-11.625,-12.76953125,11.54296875,-3.1328125,-1.53125,-1.048828125,-10.1640625,-20.34375,5.98828125
2412614,,,,,,,,-11.22265625,-12.07421875,11.484375,-3.302734375,-1.603515625,-0.755859375,-9.77734375,-19.578125,5.8359375
2412615,,,,,,,,-9.95703125,-9.734375,10.76953125,-2.90234375,-1.810546875,-0.123046875,-8.62890625,-16.9765625,4.76171875
2412616,,,,,,,,-9.328125,-8.6640625,10.51953125,-2.681640625,-1.8515625,-0.076171875,-8.0546875,-15.83203125,4.41796875
2412617,,,,,,,,-8.9609375,-8.390625,10.46875,-2.529296875,-1.896484375,-0.083984375,-7.75,-15.484375,4.265625
2412618,,,,,,,,-8.359375,-7.42578125,10.27734375,-2.44921875,-1.92578125,-0.09765625,-7.2109375,-14.4453125,3.99609375
2412619,,,,,,,,-7.16015625,-6.5546875,10.48828125,-2.505859375,-2.029296875,0.099609375,-6.21484375,-13.37890625,3.95703125
2412620,36.01278283333333,129.31898266666667,34.49706892013961,42.478961190216395,1.5,268.0,,-6.30078125,-4.9140625,10.625,-0.171875,-0.71875,-1.2109375,-7.2890625,-20.1953125,6.90625
2412621,,,,,,,,-5.74609375,-3.07421875,10.89453125,-2.748046875,-2.15234375,0.611328125,-5.14453125,-9.578125,4.03515625
2412622,,,,,,,,-5.39453125,-1.953125,10.5703125,-2.78125,-2.244140625,0.798828125,-5.10546875,-8.203125,3.4609375
2412623,,,,,,,,-5.19921875,-1.6640625,10.41796875,-2.78515625,-2.296875,0.802734375,-5.02734375,-7.8203125,3.23046875
2412624,,,,,,,,-3.83203125,1.02734375,9.28125,-2.564453125,-2.396484375,0.7109375,-3.99609375,-4.8671875,1.890625
2412625,,,,,,,,-3.4453125,1.859375,9.02734375,-2.400390625,-2.40234375,0.65625,-3.7265625,-3.953125,1.58203125
2412626,,,,,,,,-3.2578125,3.8984375,8.80859375,-2.244140625,-2.384765625,0.611328125,-3.65234375,-1.84375,1.31640625
2412627,,,,,,,,-2.765625,5.77734375,9.27734375,-1.982421875,-2.310546875,0.583984375,-3.38671875,0.18359375,1.69921875
2412628,,,,,,,,-2.28125,7.515625,9.61328125,-1.908203125,-2.2578125,0.59375,-3.00390625,1.984375,2.00390625
2412629,,,,,,,,-1.05859375,8.484375,8.10546875,-1.873046875,-2.05078125,0.73046875,-2.30859375,3.2890625,0.35546875
2412630,36.012784499999995,129.3189805,34.30174507459605,42.66389248749924,2.4000000000000004,295.0,,-2.03515625,4.6640625,6.921875,-1.337890625,-1.876953125,0.498046875,-3.57421875,-0.3515625,-0.8671875
2412631,,,,,,,,-2.97265625,0.37109375,8.4921875,-0.994140625,-1.71484375,0.296875,-4.68359375,-4.56640625,0.703125
2412632,,,,,,,,-2.7109375,-0.1953125,8.71484375,-0.861328125,-1.619140625,0.240234375,-4.4921875,-5.10546875,0.93359375
2412633,,,,,,,,-1.46875,-0.42578125,8.890625,-0.697265625,-1.36328125,0.25,-3.3828125,-5.29296875,1.125
2412634,,,,,,,,-0.75390625,-0.15234375,8.8046875,-0.701171875,-1.23828125,0.27734375,-2.73046875,-4.98828125,1.046875
2412635,,,,,,,,1.2421875,2.046875,7.9765625,-0.619140625,-1.08984375,-0.052734375,-0.890625,-2.73046875,0.2421875
2412636,,,,,,,,1.5390625,2.57421875,7.80859375,-0.46484375,-1.080078125,-0.337890625,-0.625,-2.19140625,0.08984375
2412637,,,,,,,,2.3984375,3.34765625,7.234375,-0.154296875,-1.126953125,-0.982421875,0.1796875,-1.421875,-0.4453125
2412638,,,,,,,,3.03515625,2.484375,6.98828125,-0.078125,-1.140625,-1.26953125,0.79296875,-2.3046875,-0.67578125
2412639,,,,,,,,5.08984375,-3.23828125,8.671875,0.095703125,-1.123046875,-1.666015625,2.82421875,-8.125,1.125
2412640,36.012785666666666,129.31897916666668,34.181545727101664,42.79334446309798,1.9000000000000001,303.0,,5.9765625,-8.72265625,11.01953125,0.248046875,-1.0703125,-1.560546875,3.703125,-13.6796875,3.53515625
2412641,,,,,,,,4.484375,-11.45703125,13.71484375,0.38671875,-1.033203125,-1.48828125,2.2109375,-16.4765625,6.29296875
2412642,,,,,,,,4.40625,-11.140625,17.890625,0.4140625,-0.9296875,-1.60546875,2.1328125,-16.25,10.546875
2412643,,,,,,,,4.9375,-10.79296875,18.5859375,0.26953125,-0.865234375,-1.751953125,2.671875,-15.94140625,11.2734375
2412644,,,,,,,,5.3125,-9.50390625,17.91796875,-0.130859375,-0.68359375,-1.994140625,3.09375,-14.71484375,10.66015625
2412645,,,,,,,,5.5546875,-7.12109375,15.12890625,-0.314453125,-0.490234375,-2.06640625,4.01171875,-11.42578125,6.29296875
2412646,,,,,,,,10.0859375,-7.86328125,11.99609375,-0.353515625,-0.228515625,-2.33984375,8.0703125,-13.18359375,4.80078125
2412647,,,,,,,,10.3828125,-11.80859375,15.06640625,-0.06640625,-0.01953125,-2.29296875,8.4921875,-17.1640625,7.90234375
2412648,,,,,,,,9.42578125,-13.109375,15.58203125,0.201171875,0.09765625,-2.111328125,7.61328125,-18.5078125,8.44140625
2412649,,,,,,,,6.28125,-15.66796875,15.80078125,0.69921875,0.435546875,-1.087890625,4.625,-21.19140625,8.74609375
2412650,36.01278716666666,129.318977,33.98622196216948,42.95978256114222,2.1,309.0,,4.04296875,-14.78515625,15.82421875,0.322265625,0.576171875,-0.4375,2.48046875,-20.3828125,8.82421875
2412651,,,,,,,,3.3984375,-13.328125,15.046875,0.126953125,0.755859375,-0.181640625,1.90625,-18.97265625,8.09375
