time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
2428000,36.0129445,129.31915616666666,50.137841427108725,60.417446861705784,1.5,124.0,0.0,-3.08984375,-17.140625,6.625,-0.380859375,-0.3828125,0.220703125,-2.34765625,-18.2890625,10.203125
2428001,,,,,,,,-1.7109375,-13.5546875,2.47265625,0.087890625,0.021484375,1.9375,-1.0078125,-14.765625,6.02734375
2428002,,,,,,,,1.421875,-9.57421875,0.4296875,-0.16015625,0.02734375,1.591796875,2.09375,-10.8515625,3.9609375
2428003,,,,,,,,2.43359375,-9.58984375,0.91015625,-0.29296875,0.0625,0.048828125,3.08984375,-10.93359375,4.41796875
2428004,,,,,,,,3.1328125,-10.2265625,1.25,-0.48046875,0.0,-1.275390625,3.78125,-11.62890625,4.7265625
2428005,,,,,,,,3.0390625,-9.80859375,1.1171875,-0.931640625,-0.103515625,-1.384765625,3.703125,-11.2734375,4.5703125
2428006,,,,,,,,2.765625,-9.50390625,0.98828125,-1.2265625,-0.189453125,-1.146484375,3.4375,-11.0078125,4.41796875
2428007,,,,,,,,1.53125,-9.02734375,0.23046875,-1.544921875,-0.318359375,-0.470703125,2.2109375,-10.625,3.61328125
2428008,,,,,,,,0.75,-8.85546875,-0.3359375,-1.529296875,-0.40234375,-0.123046875,1.4453125,-10.546875,3.0
2428009,,,,,,,,-0.4921875,-8.9765625,-0.484375,-1.62890625,-0.529296875,-0.337890625,0.21875,-10.8203125,2.7734375
2428010,36.012943666666665,129.31915766666668,50.27306538405367,60.324981600552995,1.5,127.0,,-1.55078125,-8.4140625,-0.5859375,-1.64453125,-0.568359375,-0.34375,-2.34765625,-18.2890625,10.203125
2428011,,,,,,,,-1.98828125,-7.5390625,-1.2890625,-1.7578125,-0.58984375,-0.21484375,-1.23828125,-9.59765625,1.8515625
2428012,,,,,,,,-2.125,-6.73828125,-2.3359375,-2.23046875,-0.61328125,-0.095703125,-1.3515625,-8.94140625,0.703125
2428013,,,,,,,,-2.39453125,-5.91015625,-2.51953125,-2.349609375,-0.623046875,-0.095703125,-1.62109375,-8.17578125,0.47265625
2428014,,,,,,,,-2.21875,-4.94921875,-2.35546875,-2.45703125,-0.623046875,-0.13671875,-1.4296875,-7.33203125,0.55078125
2428015,,,,,,,,-2.1171875,-4.49609375,-2.15625,-2.509765625,-0.62109375,-0.138671875,-1.3125,-6.984375,0.6640625
2428016,,,,,,,,-2.2890625,-4.03515625,-1.90234375,-2.576171875,-0.642578125,-0.05078125,-1.46875,-6.64453125,0.81640625
2428017,,,,,,,,-2.5625,-3.41796875,-1.64453125,-2.40234375,-0.599609375,0.046875,-1.734375,-6.140625,0.97265625
2428018,,,,,,,,-2.83203125,-2.8671875,-1.66796875,-2.19921875,-0.537109375,0.076171875,-2.00390625,-5.69140625,0.85546875
2428019,,,,,,,,-3.26171875,-2.16015625,-2.109375,-2.158203125,-0.5234375,0.0546875,-2.42578125,-5.0703125,0.3203125
2428020,36.01294266666666,129.31915916666668,50.40828945048184,60.21402313443934,1.5,128.0,,-3.60546875,-1.65234375,-2.4609375,-2.076171875,-0.5234375,-0.09375,-2.76953125,-4.6875,-0.1796875
2428021,,,,,,,,-3.69140625,-1.71875,-2.328125,-1.990234375,-0.529296875,-0.189453125,-2.84765625,-4.84765625,-0.140625
2428022,,,,,,,,-3.66796875,-2.09765625,-2.1171875,-1.888671875,-0.544921875,-0.216796875,-2.80859375,-5.296875,-0.0234375
2428023,,,,,,,,-3.75,-2.75,-1.671875,-1.712890625,-0.533203125,-0.1875,-2.8828125,-6.03515625,0.3203125
2428024,,,,,,,,-4.01953125,-3.3515625,-1.2421875,-1.43359375,-0.45703125,-0.09375,-3.15234375,-6.71875,0.625
