time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
2404900,36.01295333,129.3188073,18.69088037,61.39746363,0.8,55,0,-3.48046875,-2.70703125,0.25,-0.412109375,0.08203125,0.00390625,-2.30859375,-11.53125,2.234375,
2404901,,,,,,,,-2.75390625,-5.57421875,0.49609375,-0.046875,-0.2890625,0.37890625,-1.62109375,-14.41015625,2.46484375,
2404902,,,,,,,,-0.4375,-6.69921875,2.359375,-0.087890625,-0.177734375,0.50390625,0.640625,-15.55859375,4.3046875,
2404903,,,,,,,,2.14453125,-4.5,3.484375,-0.00390625,-0.109375,0.77734375,3.16796875,-13.37890625,5.4140625,
2404904,,,,,,,,0.890625,-1.421875,1.37890625,0.13671875,-0.03515625,1.015625,1.828125,-10.3125,3.30859375,
2404905,,,,,,,,-0.50390625,0.203125,1.36328125,0.169921875,0.046875,0.927734375,0.33203125,-8.70703125,3.30859375,
2404906,,,,,,,,-1.28125,0.82421875,2.00390625,0.08203125,0.138671875,0.447265625,-0.5078125,-8.08984375,3.95703125,
2404907,,,,,,,,-1.86328125,0.41015625,3.125,-0.279296875,0.15234375,-0.078125,-1.12109375,-8.51171875,5.0703125,
2404908,,,,,,,,-1.87890625,-0.64453125,2.48046875,-0.62109375,0.09375,-0.248046875,-1.12109375,-9.578125,4.37890625,
2404909,,,,,,,,-1.08203125,-1.42578125,1.5078125,-0.65234375,-0.0546875,-0.2109375,-0.31640625,-10.38671875,3.34375,
2404910,36.0129535,129.3188083,18.78102927,61.41595703,0.8,58,,-0.59375,-2.0234375,1.07421875,-0.060546875,-0.205078125,0.078125,0.1796875,-11,2.84765625,
2404911,,,,,,,,0.00390625,-2.4765625,1.87109375,0.40234375,-0.1953125,0.240234375,0.75390625,-11.4609375,3.65234375,
2404912,,,,,,,,0.01171875,-2.0625,2.078125,0.5546875,-0.17578125,0.291015625,0.75390625,-11.0390625,3.8828125,
2404913,,,,,,,,-0.03125,-1.41015625,1.484375,0.677734375,-0.107421875,0.3203125,0.6796875,-10.38671875,3.34375,
2404914,,,,,,,,0,-0.76171875,0.7421875,0.55078125,0.015625,0.357421875,0.6796875,-9.73828125,2.65625,
2404915,,,,,,,,0.16015625,-0.64453125,0.6875,0.384765625,0.158203125,0.064453125,0.79296875,-9.6171875,2.65625,
2404916,,,,,,,,0.24609375,-0.4921875,0.671875,0.408203125,0.181640625,-0.072265625,0.87109375,-9.47265625,2.65625,
2404917,,,,,,,,0.24609375,0.3515625,0.01953125,0.5078125,0.228515625,-0.177734375,0.87109375,-8.625,2.04296875,
2404918,,,,,,,,0.0546875,1.03125,-0.3515625,0.630859375,0.236328125,-0.107421875,0.6796875,-7.9375,1.734375,
2404919,,,,,,,,-0.1015625,1.40625,-0.41796875,0.689453125,0.236328125,-0.080078125,0.5234375,-7.55859375,1.69921875,
2404920,36.01295383,129.3188092,18.8561533,61.4529436,0.8,59,,-0.4453125,1.9375,-0.6796875,-0.060546875,-0.205078125,0.078125,0.1796875,-7.015625,1.5078125,
2404921,,,,,,,,-0.875,2.5703125,-0.7890625,0.841796875,0.21484375,-0.23828125,-0.2421875,-6.3671875,1.46875,
2404922,,,,,,,,-1.00390625,2.86328125,-0.9375,0.767578125,0.2421875,-0.326171875,-0.35546875,-6.05859375,1.390625,
2404923,,,,,,,,-0.8671875,3.19921875,-1.23046875,0.669921875,0.294921875,-0.36328125,-0.203125,-5.7109375,1.16015625,
2404924,,,,,,,,-0.27734375,3.60546875,-1.3203125,0.603515625,0.353515625,-0.357421875,0.41015625,-5.2890625,1.125,
2404925,,,,,,,,0.015625,3.7421875,-1.53125,0.5859375,0.41015625,-0.337890625,0.71875,-5.140625,0.96875,
2404926,,,,,,,,0.16015625,3.7734375,-1.59765625,0.591796875,0.431640625,-0.328125,0.87109375,-5.10546875,0.93359375,
2404927,,,,,,,,0.44921875,3.84375,-1.73046875,0.599609375,0.451171875,-0.30078125,1.17578125,-5.0234375,0.85546875,
2404928,,,,,,,,0.79296875,3.59765625,-1.82421875,0.58984375,0.447265625,-0.314453125,1.51953125,-5.25,0.81640625,
2404929,,,,,,,,1.1171875,3.3203125,-1.83203125,0.572265625,0.4453125,-0.3359375,1.8671875,-5.5234375,0.85546875,
2404930,36.0129545,129.3188102,18.94630208,61.52691662,0.9,58,,1.33203125,2.41015625,-1.75,0.5390625,0.404296875,-0.359375,0.1796875,-7.015625,1.5078125,
2404931,,,,,,,,1.31640625,1.97265625,-1.796875,0.50390625,0.37890625,-0.34375,2.09765625,-6.8203125,1.0078125,
2404932,,,,,,,,1.3828125,1.42578125,-1.78125,0.4765625,0.36328125,-0.333984375,2.171875,-7.359375,1.046875,
2404933,,,,,,,,1.16796875,0.875,-1.796875,0.3828125,0.3125,-0.337890625,1.98046875,-7.90234375,1.0859375,
2404934,,,,,,,,0.37890625,0.58984375,-1.9609375,0.279296875,0.263671875,-0.337890625,1.21484375,-8.1640625,0.96875,
2404935,,,,,,,,0.00390625,0.19921875,-1.9765625,0.171875,0.240234375,-0.341796875,0.87109375,-8.55078125,0.96875,
2404936,,,,,,,,-0.08203125,-0.640625,-1.66796875,0.10546875,0.22265625,-0.359375,0.79296875,-9.39453125,1.27734375,
2404937,,,,,,,,0.15625,-2.41015625,-0.6796875,-0.037109375,0.205078125,-0.37890625,1.0625,-11.15234375,2.2734375,
2404938,,,,,,,,-0.05859375,-3.78125,-0.25,-0.06640625,0.228515625,-0.30859375,0.87109375,-12.53125,2.6953125,
2404939,,,,,,,,-0.06640625,-4.01171875,-0.05078125,-0.072265625,0.244140625,-0.234375,0.87109375,-12.7578125,2.88671875,
2404940,36.01295467,129.3188115,19.06650063,61.54541009,1.1,59,,-0.2265625,-4.3203125,0.1796875,-0.060546875,0.265625,-0.107421875,0.1796875,-7.015625,1.5078125,
2404941,,,,,,,,-0.34375,-4.2421875,0.4140625,-0.0703125,0.27734375,-0.06640625,0.6015625,-12.99609375,3.34375,
2404942,,,,,,,,-0.2890625,-3.890625,0.578125,-0.0703125,0.287109375,-0.107421875,0.640625,-12.6484375,3.5,
2404943,,,,,,,,-0.14453125,-3.1640625,0.76953125,-0.08203125,0.29296875,-0.16015625,0.79296875,-11.921875,3.69140625,
2404944,,,,,,,,-0.19140625,-2.50390625,0.74609375,-0.1015625,0.296875,-0.267578125,0.75390625,-11.26953125,3.65234375,
2404945,,,,,,,,-0.234375,-1.8046875,0.29296875,-0.134765625,0.306640625,-0.310546875,0.71875,-10.58203125,3.19140625,
2404946,,,,,,,,-0.06640625,-1.30859375,-0.04296875,-0.19140625,0.298828125,-0.267578125,0.91015625,-10.08203125,2.84765625,
2404947,,,,,,,,0.046875,-0.765625,-0.40234375,-0.2109375,0.291015625,-0.166015625,1.0234375,-9.546875,2.46484375,
2404948,,,,,,,,0.1328125,-0.51953125,-0.5390625,-0.158203125,0.255859375,0.03125,1.1015625,-9.3125,2.3125,
2404949,,,,,,,,0.453125,0.24609375,-0.83203125,-0.09765625,0.20703125,0.306640625,1.40625,-8.546875,2.00390625,
2404950,36.012955,129.3188118,19.0965502,61.58239657,0.7,55,,0.65234375,-0.2734375,-1.17578125,-0.060546875,0.265625,-0.107421875,1.55859375,-9.08984375,1.66015625,
2404951,,,,,,,,0.33984375,-1.71484375,-0.515625,-0.0703125,0.078125,0.771484375,1.17578125,-10.5390625,2.3125,
2404952,,,,,,,,-0.6171875,-4.2734375,1.21484375,-0.119140625,0,0.943359375,0.140625,-13.109375,4.03515625,
2404953,,,,,,,,-1.75390625,-5.13671875,3.19921875,-0.216796875,-0.06640625,1.146484375,-1.08203125,-13.98828125,5.98828125,
2404954,,,,,,,,-3.375,-5.52734375,5.71875,-0.26171875,-0.11328125,1.55859375,-2.8828125,-14.40625,8.4765625,
2404955,,,,,,,,-3.2421875,-6.27734375,5.7421875,-0.279296875,-0.15234375,1.607421875,-2.8828125,-15.17578125,8.4765625,
2404956,,,,,,,,-2.58984375,-5.07421875,5.4140625,-0.314453125,-0.193359375,1.505859375,-2.30859375,-13.984375,8.1328125,
2404957,,,,,,,,-2.08984375,-4.171875,5.1484375,-0.400390625,-0.328125,0.71875,-1.8125,-12.65234375,7.3671875,
2404958,,,,,,,,-1.61328125,-2.8203125,3.9140625,-0.220703125,-0.3515625,0.431640625,-1.4296875,-11.34765625,6.44921875,
2404959,,,,,,,,-1.421875,-2.078125,3.69921875,-0.068359375,-0.345703125,0.287109375,-1.23828125,-10.734375,6.140625,
2404960,36.0129555,129.3188127,19.17167419,61.63787635,0.8,50,,0.65234375,-0.2734375,-1.17578125,-0.060546875,0.265625,-0.107421875,-0.625,-10.00390625,5.4921875,
2404961,,,,,,,,-0.41015625,-0.71484375,2.93359375,-0.39453125,-0.208984375,-0.419921875,-0.31640625,-9.69921875,5.52734375,
2404962,,,,,,,,-0.83203125,-1.53515625,2.828125,-0.556640625,-0.171875,-0.3203125,-0.69921875,-10.5390625,5.375,
2404963,,,,,,,,-1.31640625,-1.77734375,2.8671875,-0.556640625,-0.181640625,-0.17578125,-1.16015625,-10.8046875,5.375,
2404964,,,,,,,,-1.28515625,-1.30078125,2.1328125,-0.427734375,-0.271484375,0.09765625,-1.12109375,-10.34375,4.5703125,
2404965,,,,,,,,-1.0390625,-1.0859375,1.703125,-0.345703125,-0.314453125,0.24609375,-0.890625,-10.15625,4.109375,
2404966,,,,,,,,-0.87890625,-0.6953125,1.30078125,-0.2890625,-0.33984375,0.28515625,-0.73828125,-9.77734375,3.69140625,
2404967,,,,,,,,-0.703125,0.046875,0.78515625,-0.1875,-0.373046875,0.271484375,-0.5859375,-9.046875,3.15234375,
2404968,,,,,,,,-0.49609375,0.54296875,0.37109375,-0.1484375,-0.408203125,0.255859375,-0.39453125,-8.55078125,2.73046875,
2404969,,,,,,,,-0.171875,1.2890625,-0.0703125,-0.1328125,-0.412109375,0.26171875,-0.0859375,-7.82421875,2.2734375,
2404970,36.01295567,129.3188128,19.18669897,61.65636959,0.5,45,,-0.03515625,1.87109375,-0.484375,-0.060546875,0.265625,-0.107421875,0.02734375,-7.24609375,1.8515625,
2404971,,,,,,,,0.27734375,2.4921875,-0.8984375,-0.1015625,-0.419921875,0.177734375,0.33203125,-6.63671875,1.4296875,
2404972,,,,,,,,0.32421875,2.8828125,-0.99609375,-0.08984375,-0.41015625,0.14453125,0.37109375,-6.25390625,1.31640625,
2404973,,,,,,,,0.32421875,3.12109375,-1.08203125,-0.095703125,-0.40625,0.125,0.37109375,-6.01953125,1.23828125,
2404974,,,,,,,,0.1484375,3.84765625,-1.15234375,-0.126953125,-0.404296875,0.123046875,0.1796875,-5.29296875,1.16015625,
2404975,,,,,,,,0.07421875,4.20703125,-1.35546875,-0.193359375,-0.41796875,0.154296875,0.10546875,-4.9453125,0.93359375,
2404976,,,,,,,,-0.1796875,4.40625,-1.6875,-0.21875,-0.421875,0.16015625,-0.1640625,-4.76171875,0.5859375,
2404977,,,,,,,,-0.33203125,4.4140625,-1.5859375,-0.248046875,-0.4375,0.13671875,-0.31640625,-4.7578125,0.6640625,
2404978,,,,,,,,-0.4765625,4.3828125,-1.53125,-0.255859375,-0.44140625,0.126953125,-0.46875,-4.796875,0.703125,
2404979,,,,,,,,-1.0078125,4.35546875,-1.4609375,-0.22265625,-0.443359375,0.173828125,-1.0078125,-4.828125,0.7421875,
2404980,36.012956,129.3188143,19.3219223,61.6933563,0.8,53,,-1.10546875,4.171875,-1.484375,-0.060546875,0.265625,-0.107421875,0.02734375,-7.24609375,1.8515625,
2404981,,,,,,,,-1.44140625,3.82421875,-1.39453125,-0.171875,-0.421875,0.16796875,-1.46484375,-5.3671875,0.77734375,
2404982,,,,,,,,-1.85546875,3.56640625,-1.421875,-0.13671875,-0.40625,0.103515625,-1.88671875,-5.6328125,0.7421875,
2404983,,,,,,,,-2.0859375,3.21875,-1.4453125,-0.12109375,-0.375,0.056640625,-2.1171875,-5.98828125,0.703125,
2404984,,,,,,,,-1.90234375,2.72265625,-1.546875,-0.08984375,-0.3125,-0.080078125,-1.92578125,-6.48046875,0.5859375,
2404985,,,,,,,,-1.2578125,1.99609375,-1.5390625,-0.06640625,-0.2578125,-0.171875,-1.2734375,-7.203125,0.5859375,
2404986,,,,,,,,-0.9375,1.03515625,-1.31640625,0,-0.1953125,-0.25390625,-0.9296875,-8.1640625,0.81640625,
2404987,,,,,,,,-1.12109375,0.15625,-1.1640625,0.087890625,-0.14453125,-0.283203125,-1.08203125,-9.05078125,0.96875,
2404988,,,,,,,,-1.20703125,-0.14453125,-1.015625,0.12109375,-0.12109375,-0.263671875,-1.16015625,-9.3515625,1.125,
2404989,,,,,,,,-1.3359375,-0.84765625,-0.7578125,0.16015625,-0.0703125,-0.19140625,-1.2734375,-10.04296875,1.390625,
2404990,36.012957,129.3188153,19.41207099,61.80431574,1.1,51,,-0.93359375,-1.65234375,-0.47265625,0.19140625,-0.03125,-0.056640625,-0.85546875,-10.84765625,1.69921875,
2404991,,,,,,,,-0.6640625,-1.95703125,-0.4140625,0.25,-0.00390625,0.001953125,-0.5859375,-11.15234375,1.7734375,
2404992,,,,,,,,-0.5859375,-2.04296875,-0.4296875,0.287109375,0.01171875,0.025390625,-0.5078125,-11.2265625,1.7734375,
