time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3467710,36.01302716666667,129.318976,33.8959700792212,69.58999980231955,3.0,49.0,,15.38671875,-53.77734375,-1.78125,4.244140625,-0.44140625,1.583984375,12.16015625,-54.92578125,3.984375,1.0
3467711,,,,,,,,27.94140625,-59.50390625,21.34765625,2.271484375,-0.091796875,1.953125,24.72265625,-60.4375,27.16015625,1.0
3467712,,,,,,,,8.6796875,-24.2578125,-4.16015625,0.2265625,0.123046875,1.017578125,5.453125,-25.12890625,1.64453125,1.0
3467713,,,,,,,,2.93359375,-20.6640625,-4.703125,1.48828125,0.302734375,-0.28125,-0.29296875,-21.52734375,1.109375,1.0
3467714,,,,,,,,-7.28515625,-15.4609375,-2.80859375,1.53125,1.19921875,-4.345703125,-10.51953125,-16.3515625,2.98828125,1.0
3467715,,,,,,,,-6.38671875,-17.43359375,-6.140625,0.884765625,1.47265625,-4.443359375,-9.63671875,-18.453125,-0.3828125,1.0
3467716,,,,,,,,1.97265625,-18.453125,-5.91015625,2.818359375,1.765625,-2.037109375,-1.32421875,-19.53125,-0.19140625,1.0
3467717,,,,,,,,5.87890625,-18.80859375,-3.88671875,3.826171875,1.7578125,0.357421875,2.50390625,-19.7578125,1.80078125,1.0
3467718,,,,,,,,7.375,-18.55859375,-3.06640625,3.779296875,1.65625,0.73828125,3.9609375,-19.4140625,2.60546875,1.0
3467719,,,,,,,,8.86328125,-16.4296875,-2.0859375,3.521484375,1.5546875,0.34375,5.37890625,-17.1171875,3.5625,1.0
3467720,36.0130295,129.3189785,34.1213412148615,69.84890557305745,3.1,47.0,,7.5546875,-13.78515625,-5.15625,4.244140625,-0.44140625,1.583984375,12.16015625,-54.92578125,3.984375,1.0
3467721,,,,,,,,7.05859375,-11.41796875,-5.234375,3.169921875,2.625,0.103515625,3.30859375,-11.75,0.265625,1.0
3467722,,,,,,,,6.9921875,-10.09765625,-4.96484375,2.9140625,2.638671875,0.615234375,3.1171875,-10.30078125,0.45703125,1.0
3467723,,,,,,,,7.078125,-9.8515625,-5.62890625,2.654296875,2.47265625,1.00390625,3.078125,-9.9140625,-0.30859375,1.0
3467724,,,,,,,,8.0703125,-9.13671875,-5.81640625,2.47265625,2.21484375,1.171875,3.9609375,-9.0703125,-0.57421875,1.0
3467725,,,,,,,,8.30078125,-6.375,-5.35546875,2.328125,1.71875,1.51953125,4.07421875,-6.12890625,-0.23046875,1.0
3467726,,,,,,,,8.6640625,-2.796875,-4.98828125,2.478515625,1.330078125,1.765625,4.38671875,-2.40625,0.07421875,1.0
3467727,,,,,,,,8.55078125,-0.81640625,-4.578125,2.64453125,1.046875,1.84765625,4.23046875,-0.26171875,0.421875,1.0
3467728,,,,,,,,8.640625,0.30078125,-4.609375,2.65625,0.939453125,1.81640625,4.30859375,0.92578125,0.3828125,1.0
3467729,,,,,,,,9.60546875,1.8203125,-5.328125,2.5546875,0.73046875,1.54296875,5.2578125,2.609375,-0.3828125,1.0
3467730,36.01303166666666,129.31897916666668,34.181439518811565,70.0893174981152,2.9000000000000004,36.0,,10.640625,1.0078125,-5.94140625,2.294921875,0.51953125,1.064453125,6.30078125,1.921875,-1.03515625,1.0
3467731,,,,,,,,11.67578125,-0.609375,-6.26171875,2.009765625,0.248046875,0.568359375,7.328125,0.390625,-1.37890625,1.0
3467732,,,,,,,,12.37890625,-2.65234375,-6.79296875,1.494140625,-0.07421875,0.228515625,8.0546875,-1.56640625,-1.91796875,1.0
3467733,,,,,,,,12.06640625,-3.40234375,-6.41015625,1.25,-0.171875,0.166015625,7.75390625,-2.29296875,-1.53515625,1.0
3467734,,,,,,,,10.9921875,-3.25,-5.61328125,0.52734375,-0.24609375,0.109375,6.71875,-2.140625,-0.73046875,1.0
3467735,,,,,,,,8.43359375,-1.45703125,-3.875,-0.46875,-0.1640625,0.033203125,4.19140625,-0.37890625,1.03125,1.0
3467736,,,,,,,,5.4296875,0.62890625,-1.7890625,-1.4765625,-0.03515625,-0.1484375,1.203125,1.61328125,3.14453125,1.0
3467737,,,,,,,,-1.671875,2.73046875,2.8984375,-2.26171875,0.123046875,-0.408203125,-5.8828125,3.56640625,7.85546875,1.0
3467738,,,,,,,,-1.7578125,2.94921875,1.3046875,-1.9765625,0.505859375,-0.6328125,-5.9609375,3.60546875,6.28515625,1.0
3467739,,,,,,,,-1.3046875,3.2578125,-1.78125,-0.4375,0.9453125,-0.640625,-5.5390625,3.796875,3.1796875,1.0
3467740,36.0130345,129.3189808333333,34.33168637240251,70.4037026047107,3.1,30.0,,1.5625,1.91015625,-4.89453125,0.052734375,0.869140625,-0.380859375,-2.70703125,2.37890625,0.03515625,1.0
3467741,,,,,,,,2.46484375,-3.12109375,-3.59765625,0.619140625,0.740234375,0.03125,-1.82421875,-2.67578125,1.30078125,1.0
3467742,,,,,,,,2.6640625,-6.37109375,-3.3125,0.74609375,0.7421875,0.30078125,-1.6328125,-5.9296875,1.5703125,1.0
3467743,,,,,,,,1.23046875,-26.23046875,0.7109375,0.935546875,0.724609375,1.1875,-3.08984375,-25.73828125,5.5546875,1.0
3467744,,,,,,,,-3.1640625,-67.36328125,11.8046875,1.103515625,0.53515625,1.80078125,-7.4921875,-66.796875,16.625,1.0
3467745,,,,,,,,-10.49609375,-54.83203125,20.19921875,2.005859375,0.150390625,2.51953125,-14.80859375,-54.16015625,25.01171875,1.0
3467746,,,,,,,,4.76953125,-25.40625,1.58984375,3.19921875,-0.09765625,2.62890625,0.47265625,-24.625,6.39453125,1.0
3467747,,,,,,,,10.86328125,-12.53125,-8.98046875,2.3203125,0.466796875,-1.4296875,8.328125,-9.03515625,-5.6328125,1.0
3467748,,,,,,,,14.48046875,-14.4296875,-12.51953125,1.884765625,0.865234375,-5.138671875,14.3046875,-17.50390625,-5.59375,1.0
3467749,,,,,,,,18.65625,-18.3359375,-10.3125,1.517578125,0.568359375,-4.51171875,15.3359375,-16.16015625,-1.34375,1.0
3467750,36.013037000000004,129.31898233333334,34.46690855853169,70.68110124049464,3.0,29.0,,18.47265625,-15.20703125,-1.2890625,-0.53515625,0.27734375,0.298828125,9.8984375,-14.01953125,9.99609375,1.0
3467751,,,,,,,,12.6796875,-16.5390625,5.15625,-2.302734375,-0.1796875,1.791015625,8.2890625,-16.0078125,9.84375,1.0
3467752,,,,,,,,10.609375,-15.50390625,1.171875,-1.78125,0.083984375,1.037109375,6.2578125,-15.05078125,5.8984375,1.0
3467753,,,,,,,,7.5625,-10.46875,-2.29296875,-1.11328125,-0.052734375,0.001953125,1.9296875,-8.3828125,1.109375,1.0
3467754,,,,,,,,3.66796875,-6.609375,-5.41796875,-1.1484375,-0.458984375,-0.484375,-0.63671875,-6.3515625,-0.65234375,1.0
3467755,,,,,,,,-0.921875,-5.12109375,-4.390625,-1.26953125,-0.853515625,-0.025390625,-5.15625,-5.05078125,0.421875,1.0
3467756,,,,,,,,-1.67578125,-3.2734375,-6.1953125,-1.427734375,-0.689453125,0.4453125,-5.84375,-3.328125,-1.34375,1.0
3467757,,,,,,,,-0.76953125,-1.71484375,-7.2578125,-1.1953125,-0.41796875,0.70703125,-4.8828125,-1.87109375,-2.375,1.0
3467758,,,,,,,,-1.1953125,1.41796875,-6.8515625,-0.529296875,-0.15234375,1.173828125,-5.2734375,1.19140625,-1.953125,1.0
3467759,,,,,,,,-1.6015625,2.8671875,-5.26171875,0.095703125,0.013671875,1.8046875,-5.65625,2.609375,-0.34765625,1.0
3467760,36.01303933333334,129.31898216666664,34.45188273305182,70.9400060801092,2.8000000000000003,21.0,,-1.9140625,2.84375,-3.15234375,0.404296875,0.384765625,2.123046875,-5.96484375,2.609375,1.76171875,1.0
3467761,,,,,,,,-2.3671875,1.578125,-2.515625,0.6015625,0.71875,1.896484375,-6.42578125,1.421875,2.375,1.0
3467762,,,,,,,,-1.578125,0.4453125,-2.83203125,0.685546875,0.732421875,1.296875,-5.65625,0.3515625,2.02734375,1.0
3467763,,,,,,,,1.234375,0.57421875,-3.7265625,0.484375,0.25390625,0.4375,-2.86328125,0.50390625,1.109375,1.0
3467764,,,,,,,,3.10546875,0.0390625,-4.60546875,0.884765625,-0.11328125,0.265625,-0.9765625,-0.03125,0.23046875,1.0
3467765,,,,,,,,4.765625,-0.70703125,-5.6484375,1.560546875,-0.3359375,0.267578125,0.703125,-0.76171875,-0.8046875,1.0
3467766,,,,,,,,5.48828125,-1.46484375,-5.51171875,1.9140625,-0.37890625,0.310546875,1.43359375,-1.48828125,-0.65234375,1.0
3467767,,,,,,,,5.67578125,-1.89453125,-4.37890625,2.517578125,-0.376953125,0.509765625,1.66015625,-1.83203125,0.49609375,1.0
3467768,,,,,,,,3.9296875,-1.95703125,-0.74609375,2.6328125,-0.353515625,0.634765625,-0.0625,-1.79296875,4.1328125,1.0
3467769,,,,,,,,2.7109375,-1.640625,1.421875,2.1171875,-0.396484375,0.373046875,-1.25,-1.375,6.32421875,1.0
3467770,36.013041666666666,129.31898233333334,34.46690652665425,71.1989110371171,2.8000000000000003,11.0,,1.515625,-0.0859375,-1.24609375,1.595703125,-0.181640625,-0.669921875,-2.3984375,0.234375,3.671875,1.0
3467771,,,,,,,,1.23046875,-1.125,-2.9609375,1.75,0.01953125,-1.28515625,-2.6640625,-0.796875,1.953125,1.0
3467772,,,,,,,,0.3125,-5.76171875,-2.28125,1.767578125,0.078125,-1.3984375,-3.5859375,-5.43359375,2.640625,1.0
3467773,,,,,,,,1.5625,-14.41015625,-3.3046875,1.4453125,-0.095703125,-0.853515625,-2.3203125,-14.08984375,1.609375,1.0
3467774,,,,,,,,1.20703125,-28.01953125,1.97265625,1.40625,-0.306640625,-0.423828125,-2.66796875,-27.69140625,6.89453125,1.0
3467775,,,,,,,,8.8984375,-49.72265625,4.4296875,1.0078125,-1.04296875,0.62109375,5.0703125,-49.37109375,9.3828125,1.0
3467776,,,,,,,,20.4765625,-27.3828125,8.4921875,1.8203125,-1.02734375,-0.15625,16.71875,-27.00390625,13.484375,1.0
3467777,,,,,,,,0.515625,-14.91796875,-2.58984375,3.5,-0.513671875,-2.275390625,-3.1640625,-14.47265625,2.44921875,1.0
3467778,,,,,,,,-3.74609375,-18.61328125,-6.609375,2.34375,0.314453125,-4.064453125,-7.41796875,-18.19140625,-1.5703125,1.0
3467779,,,,,,,,-2.08984375,-22.05859375,-6.671875,1.724609375,0.55859375,-3.767578125,-5.76953125,-21.67578125,-1.6484375,1.0
