time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3411360,36.013056666666664,129.31895233333336,31.76243530692799,72.8632894809045,3.0,59.0,,5.9453125,1.62109375,5.4296875,-1.486328125,0.080078125,0.533203125,2.84375,-5.95703125,4.328125,1.0
3411361,,,,,,,,3.38671875,-6.39453125,5.01953125,-2.455078125,-0.0390625,0.962890625,0.23828125,-13.921875,3.79296875,1.0
3411362,,,,,,,,-8.33984375,-41.8671875,19.9296875,-2.68359375,0.021484375,1.33984375,-11.51953125,-49.36328125,18.6171875,1.0
3411363,,,,,,,,-8.97265625,-41.80859375,17.8203125,0.529296875,-0.576171875,1.3984375,-12.36328125,-49.16796875,16.3203125,1.0
3411364,,,,,,,,6.0390625,-9.70703125,2.6484375,-1.998046875,-0.587890625,-0.724609375,2.578125,-17.06640625,1.3046875,1.0
3411365,,,,,,,,14.8828125,-9.7578125,0.3046875,-1.35546875,-0.11328125,-3.814453125,11.6171875,-17.18359375,-1.1484375,1.0
3411366,,,,,,,,15.80859375,-7.6953125,5.38671875,-0.611328125,-0.20703125,-4.0390625,12.69140625,-15.1875,3.91015625,1.0
3411367,,,,,,,,8.890625,-8.4921875,5.921875,-2.24609375,-0.767578125,-2.265625,6.0234375,-16.07421875,4.40625,1.0
3411368,,,,,,,,3.2578125,-12.22265625,6.078125,-4.646484375,-1.17578125,0.01171875,0.46875,-19.78515625,4.328125,1.0
3411369,,,,,,,,0.9765625,-12.33984375,6.19140625,-4.712890625,-1.2265625,0.486328125,-1.828125,-19.86328125,4.29296875,1.0
3411370,36.01305783333333,129.31895483333335,31.987806892945997,72.9927427492587,2.8000000000000003,62.0,,1.40625,-11.8125,4.546875,-1.486328125,0.080078125,0.533203125,-1.4453125,-19.25390625,2.375,1.0
3411371,,,,,,,,1.59765625,-8.54296875,2.55859375,-3.51171875,-1.69921875,0.013671875,-1.29296875,-15.9140625,0.19140625,1.0
3411372,,,,,,,,0.83984375,-7.875,2.5546875,-3.794921875,-1.890625,-0.134765625,-2.05859375,-15.19140625,0.0,1.0
3411373,,,,,,,,-0.984375,-4.8671875,3.86328125,-3.984375,-2.041015625,0.09765625,-3.9375,-12.05078125,0.99609375,1.0
