time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
649490,36.01323283333333,129.31921516666668,55.4564275535001,92.41072731664165,1.2000000000000002,210.0,,0.29296875,0.1953125,0.578125,-0.3125,-0.048828125,0.09765625,0.84765625,-10.71875,4.02734375,1.0
649491,,,,,,,,0.73046875,0.5859375,0.3046875,-0.431640625,-0.439453125,-0.21875,0.04296875,-9.0,1.578125,1.0
649492,,,,,,,,0.8125,0.79296875,0.07421875,-0.302734375,-0.466796875,-0.21875,0.15625,-8.8046875,1.30859375,1.0
649493,,,,,,,,0.875,1.17578125,-0.1484375,-0.21484375,-0.5,-0.21875,0.234375,-8.421875,1.078125,1.0
649494,,,,,,,,0.875,1.55859375,-0.33203125,-0.0703125,-0.626953125,-0.203125,0.2734375,-8.0390625,0.88671875,1.0
649495,,,,,,,,0.84375,2.13671875,-0.59765625,-0.025390625,-0.603515625,-0.154296875,0.2734375,-7.46484375,0.62109375,1.0
649496,,,,,,,,0.55078125,2.52734375,-0.59765625,0.009765625,-0.513671875,-0.115234375,0.00390625,-7.078125,0.62109375,1.0
649497,,,,,,,,0.11328125,2.6796875,-0.4921875,0.01953125,-0.4765625,-0.111328125,-0.41796875,-6.9296875,0.734375,1.0
649498,,,,,,,,-0.015625,2.71875,-0.4296875,0.009765625,-0.49609375,-0.11328125,-0.53125,-6.890625,0.8125,1.0
649499,,,,,,,,-0.26171875,2.79296875,-0.35546875,-0.0078125,-0.525390625,-0.11328125,-0.76171875,-6.8125,0.88671875,1.0
649500,36.013232,129.31921466666665,55.411353822343415,92.31826099462265,1.1,209.0,0.0,-0.70703125,2.640625,-0.4296875,-0.3125,-0.048828125,0.09765625,-1.18359375,-6.97265625,0.8125,1.0
649501,,,,,,,,-0.74609375,2.49609375,-0.66796875,0.04296875,-0.583984375,-0.130859375,-1.18359375,-7.1171875,0.58203125,1.0
649502,,,,,,,,-0.69921875,2.41796875,-0.72265625,0.095703125,-0.595703125,-0.1171875,-1.10546875,-7.1953125,0.54296875,1.0
649503,,,,,,,,-0.6015625,2.14453125,-0.69921875,0.138671875,-0.615234375,-0.111328125,-0.9921875,-7.4609375,0.58203125,1.0
649504,,,,,,,,-0.5,1.8359375,-0.6015625,0.18359375,-0.609375,-0.080078125,-0.875,-7.7734375,0.6953125,1.0
649505,,,,,,,,-0.48046875,1.63671875,-0.546875,0.197265625,-0.6171875,-0.05859375,-0.83984375,-7.9609375,0.7734375,1.0
649506,,,,,,,,-0.234375,1.58984375,-0.46484375,0.2109375,-0.646484375,-0.001953125,-0.5703125,-8.0,0.88671875,1.0
649507,,,,,,,,-0.125,1.70703125,-0.6875,0.21484375,-0.669921875,0.04296875,-0.453125,-7.8828125,0.6953125,1.0
649508,,,,,,,,0.140625,1.734375,-0.93359375,0.193359375,-0.6953125,0.072265625,-0.1875,-7.8515625,0.46484375,1.0
649509,,,,,,,,0.25,1.734375,-1.0703125,0.19140625,-0.703125,0.10546875,-0.0703125,-7.8515625,0.3515625,1.0
