time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
616900,36.0132605,129.31924283333333,57.950519188123636,95.48061589497274,1.1,57.0,0.0,-0.50390625,-1.15625,-0.1171875,0.072265625,0.125,-0.1953125,-0.33984375,-10.61328125,1.921875,1.0
616901,,,,,,,,-0.6328125,-2.53515625,0.2109375,-0.23828125,0.337890625,-0.3125,-0.453125,-11.984375,2.2265625,1.0
616902,,,,,,,,-0.4296875,-3.3671875,0.58203125,-0.3046875,0.34375,-0.3203125,-0.2265625,-12.828125,2.57421875,1.0
616903,,,,,,,,-0.26171875,-3.484375,0.6875,-0.330078125,0.3125,-0.328125,-0.03515625,-12.94921875,2.6484375,1.0
616904,,,,,,,,0.3203125,-3.70703125,1.1796875,-0.345703125,0.310546875,-0.35546875,0.578125,-13.17578125,3.109375,1.0
616905,,,,,,,,1.03515625,-4.35546875,1.2578125,-0.466796875,0.25,-0.373046875,1.30859375,-13.8203125,3.1484375,1.0
616906,,,,,,,,2.10546875,-3.27734375,2.30078125,-0.521484375,0.181640625,-0.38671875,2.41796875,-12.75,4.14453125,1.0
616907,,,,,,,,2.46484375,-1.921875,3.10546875,-0.484375,0.087890625,-0.36328125,2.80078125,-11.4140625,4.91015625,1.0
616908,,,,,,,,2.21875,-1.796875,3.359375,-0.44921875,0.06640625,-0.337890625,2.5703125,-11.30078125,5.140625,1.0
616909,,,,,,,,0.84765625,-1.8359375,4.40234375,-0.427734375,0.103515625,-0.296875,1.23046875,-11.3359375,6.13671875,1.0
616910,36.01326100000001,129.319244,58.055692178129085,95.5360962136312,1.3,61.0,,-0.59375,-1.8203125,4.25,0.072265625,0.125,-0.1953125,-0.1875,-11.33984375,5.9453125,1.0
616911,,,,,,,,-1.0078125,-1.8515625,2.65625,-0.2578125,0.21484375,-0.265625,-0.5703125,-11.375,4.296875,1.0
616912,,,,,,,,-0.9765625,-1.890625,2.16796875,-0.091796875,0.28515625,-0.30078125,-0.53125,-11.4140625,3.80078125,1.0
