time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4834820,36.01340016666666,129.31954066666668,84.79962491388015,110.97814231455564,1.1,241.0,,0.1328125,-2.2734375,2.25,-0.705078125,-0.173828125,-0.138671875,0.890625,-12.54296875,2.4375,1.0
4834821,,,,,,,,0.546875,-1.19921875,1.84375,0.3203125,-0.03515625,-0.056640625,1.65625,-10.546875,3.28125,1.0
4834822,,,,,,,,0.35546875,-0.625,1.53515625,0.3515625,0.09765625,0.021484375,1.46484375,-9.9765625,3.01171875,1.0
4834823,,,,,,,,-0.01953125,-0.3203125,1.359375,0.302734375,0.1640625,0.107421875,1.08203125,-9.671875,2.859375,1.0
4834824,,,,,,,,-0.2734375,-0.2109375,1.0234375,0.203125,0.125,0.166015625,0.8125,-9.5546875,2.5546875,1.0
4834825,,,,,,,,0.12890625,-0.3203125,0.9296875,0.1171875,0.029296875,0.205078125,1.19921875,-9.671875,2.4765625,1.0
4834826,,,,,,,,0.265625,-0.3203125,0.8828125,0.03125,-0.033203125,0.228515625,1.3515625,-9.74609375,2.4375,1.0
4834827,,,,,,,,0.25,-0.35546875,0.80078125,0.044921875,0.013671875,0.232421875,1.234375,-9.63671875,2.36328125,1.0
4834828,,,,,,,,0.16015625,-0.1484375,0.68359375,0.076171875,0.076171875,0.228515625,1.04296875,-9.09375,2.1328125,1.0
4834829,,,,,,,,0.06640625,0.5,0.4765625,0.119140625,0.111328125,0.224609375,1.00390625,-8.59375,1.9765625,1.0
4834830,36.01339966666667,129.3195395,84.694452276506,110.92266167567666,1.1,243.0,,0.1328125,-2.2734375,2.25,0.140625,0.142578125,0.220703125,0.96875,-7.91015625,1.59375,1.0
4834831,,,,,,,,0.0390625,1.6875,-0.04296875,0.11328125,0.177734375,0.220703125,0.890625,-7.44921875,1.40234375,1.0
4834832,,,,,,,,-0.015625,2.15625,-0.2890625,0.080078125,0.20703125,0.2265625,0.890625,-7.10546875,1.2109375,1.0
4834833,,,,,,,,0.0078125,2.42578125,-0.44921875,0.03515625,0.220703125,0.212890625,0.890625,-6.87890625,1.2109375,1.0
4834834,,,,,,,,0.0703125,2.65234375,-0.49609375,0.005859375,0.21875,0.201171875,1.00390625,-6.6796875,1.09765625,1.0
4834835,,,,,,,,0.16796875,2.69140625,-0.49609375,-0.00390625,0.232421875,0.1875,1.16015625,-6.640625,1.09765625,1.0
4834836,,,,,,,,0.38671875,2.69921875,-0.62109375,0.005859375,0.25,0.16796875,1.3125,-6.68359375,1.01953125,1.0
4834837,,,,,,,,0.5625,2.66015625,-0.703125,-0.001953125,0.251953125,0.13671875,1.42578125,-6.796875,0.90625,1.0
4834838,,,,,,,,0.76953125,2.4609375,-0.78125,-0.001953125,0.267578125,0.111328125,1.58203125,-6.98828125,0.8671875,1.0
4834839,,,,,,,,0.859375,2.35546875,-0.75,0.0,0.30078125,0.087890625,1.6171875,-7.06640625,0.8671875,1.0
4834840,36.013399166666666,129.3195385,84.60430437781247,110.86718118175526,1.0,246.0,,0.1328125,-2.2734375,2.25,0.021484375,0.32421875,0.0625,1.6953125,-7.30078125,0.828125,1.0
4834841,,,,,,,,0.921875,1.89453125,-0.91015625,0.0390625,0.349609375,0.0390625,1.65625,-7.48828125,0.75390625,1.0
4834842,,,,,,,,0.86328125,1.78125,-0.95703125,0.05859375,0.38671875,0.017578125,1.58203125,-7.60546875,0.71484375,1.0
4834843,,,,,,,,0.74609375,1.703125,-0.96484375,0.060546875,0.404296875,0.013671875,1.46484375,-7.6796875,0.71484375,1.0
4834844,,,,,,,,0.6875,1.62109375,-1.05078125,0.060546875,0.42578125,0.0,1.390625,-7.75390625,0.63671875,1.0
4834845,,,,,,,,0.53125,1.34375,-1.09765625,0.056640625,0.455078125,-0.001953125,1.234375,-8.0234375,0.59765625,1.0
4834846,,,,,,,,0.50390625,1.0,-1.03515625,0.04296875,0.470703125,0.005859375,1.19921875,-8.37109375,0.67578125,1.0
4834847,,,,,,,,0.51171875,0.80859375,-1.00390625,0.064453125,0.484375,0.0078125,1.19921875,-8.55859375,0.71484375,1.0
4834848,,,,,,,,0.48046875,0.72265625,-1.08203125,0.068359375,0.4765625,0.013671875,1.16015625,-8.63671875,0.63671875,1.0
4834849,,,,,,,,0.44921875,0.609375,-1.09765625,0.080078125,0.46875,0.017578125,1.12109375,-8.75390625,0.63671875,1.0
4834850,36.0133985,129.31953766666666,84.52918139697319,110.7932076269766,1.0,243.0,,0.38671875,0.5234375,-1.02734375,0.08984375,0.458984375,0.025390625,1.04296875,-8.83203125,0.71484375,1.0
4834851,,,,,,,,0.3203125,0.37109375,-1.00390625,0.091796875,0.455078125,0.029296875,0.96875,-8.98046875,0.75390625,1.0
4834852,,,,,,,,0.21875,0.140625,-0.78515625,0.09375,0.431640625,0.03515625,0.8515625,-9.21484375,0.98046875,1.0
4834853,,,,,,,,0.21875,0.1015625,-0.71484375,0.09375,0.41015625,0.041015625,0.8515625,-9.25,1.05859375,1.0
4834854,,,,,,,,0.00390625,-0.2109375,-0.578125,0.09765625,0.373046875,0.05078125,0.62109375,-9.55859375,1.2109375,1.0
4834855,,,,,,,,-0.015625,-0.1796875,-0.5078125,0.11328125,0.322265625,0.0703125,0.5859375,-9.51953125,1.2890625,1.0
4834856,,,,,,,,0.11328125,-0.2578125,-0.5625,0.119140625,0.28515625,0.083984375,0.69921875,-9.59765625,1.25,1.0
4834857,,,,,,,,0.3515625,-0.48828125,-0.65234375,0.087890625,0.240234375,0.08984375,0.9296875,-9.82421875,1.17578125,1.0
4834858,,,,,,,,0.3671875,-0.57421875,-0.65234375,0.0625,0.234375,0.095703125,0.9296875,-9.8984375,1.17578125,1.0
4834859,,,,,,,,0.296875,-0.7578125,-0.546875,0.005859375,0.224609375,0.103515625,0.8515625,-10.09375,1.2890625,1.0
4834860,36.01339766666667,129.3195365,84.42400911293372,110.70074057412197,1.1,238.0,,0.12890625,-1.03125,-0.41796875,-0.072265625,0.19140625,0.10546875,0.66015625,-10.36328125,1.40234375,1.0
4834861,,,,,,,,0.0234375,-1.0703125,-0.33984375,-0.111328125,0.1328125,0.087890625,0.546875,-10.40234375,1.48046875,1.0
4834862,,,,,,,,0.17578125,-0.83984375,-0.40234375,-0.140625,0.05078125,0.072265625,0.69921875,-10.1640625,1.40234375,1.0
4834863,,,,,,,,0.4140625,-0.48828125,-0.46875,-0.1640625,0.02734375,0.076171875,0.9296875,-9.82421875,1.328125,1.0
4834864,,,,,,,,0.7265625,-0.3359375,-0.37890625,-0.2265625,0.025390625,0.07421875,1.234375,-9.671875,1.40234375,1.0
4834865,,,,,,,,1.00390625,-1.28515625,-0.31640625,-0.330078125,0.08984375,0.0859375,1.50390625,-10.625,1.44140625,1.0
4834866,,,,,,,,0.97265625,-2.39453125,-0.34375,-0.50390625,0.173828125,0.10546875,1.46484375,-11.734375,1.3671875,1.0
4834867,,,,,,,,0.765625,-2.9453125,-0.06640625,-0.736328125,0.193359375,0.11328125,1.234375,-12.3125,1.55859375,1.0
4834868,,,,,,,,0.65234375,-2.74609375,0.1171875,-0.71875,0.193359375,0.107421875,1.12109375,-12.1171875,1.7109375,1.0
4834869,,,,,,,,-0.09765625,-2.546875,0.71484375,-0.60546875,0.2265625,0.09375,0.35546875,-11.93359375,2.24609375,1.0
