time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4752490,36.0134205,129.31957066666666,87.50405539288857,113.23434023850714,1.1,29.0,,2.05859375,-0.7109375,-0.3125,0.25,-0.037109375,0.18359375,2.69140625,-10.015625,1.671875,1.0
4752491,,,,,,,,2.17578125,-0.86328125,-0.59765625,0.09375,0.3046875,0.283203125,2.76953125,-10.1640625,1.40234375,1.0
4752492,,,,,,,,2.0234375,-0.94140625,-1.01953125,0.021484375,0.33203125,0.298828125,2.578125,-10.24609375,0.98046875,1.0
4752493,,,,,,,,1.5546875,-1.0234375,-1.1796875,-0.056640625,0.392578125,0.30078125,2.078125,-10.32421875,0.828125,1.0
4752494,,,,,,,,0.97265625,-1.09375,-1.125,-0.140625,0.458984375,0.302734375,1.46484375,-10.40234375,0.8671875,1.0
4752495,,,,,,,,-0.12109375,-1.27734375,-0.52734375,-0.2578125,0.525390625,0.30078125,0.31640625,-10.58984375,1.44140625,1.0
4752496,,,,,,,,-0.703125,-1.046875,0.03125,-0.296875,0.517578125,0.298828125,-0.296875,-10.359375,1.9765625,1.0
4752497,,,,,,,,-0.78515625,-1.0,0.29296875,-0.33984375,0.41796875,0.291015625,-0.41015625,-10.3203125,2.20703125,1.0
4752498,,,,,,,,-0.71875,-1.8359375,0.33203125,-0.4453125,0.169921875,0.294921875,-0.375,-11.16796875,2.20703125,1.0
4752499,,,,,,,,-0.6171875,-2.35546875,0.12109375,-0.62890625,-0.169921875,0.296875,-0.296875,-11.69921875,1.94140625,1.0
4752500,36.0134215,129.31957083333333,87.51907902428621,113.34529963745521,1.1,18.0,0.0,-0.82421875,-2.50390625,0.48828125,-0.716796875,-0.33203125,0.267578125,-0.52734375,-11.85546875,2.24609375,1.0
4752501,,,,,,,,-1.23828125,-2.79296875,0.859375,-0.677734375,-0.314453125,0.236328125,-0.94921875,-12.15625,2.5546875,1.0
4752502,,,,,,,,-1.4609375,-2.96875,1.04296875,-0.66796875,-0.318359375,0.23828125,-1.1796875,-12.3515625,2.70703125,1.0
4752503,,,,,,,,-2.171875,-3.15234375,1.91015625,-0.67578125,-0.3671875,0.236328125,-1.90625,-12.54296875,3.51171875,1.0
4752504,,,,,,,,-2.4296875,-1.99609375,2.8125,-0.560546875,-0.38671875,0.208984375,-2.171875,-11.39453125,4.3515625,1.0
4752505,,,,,,,,-1.61328125,-0.71484375,2.2578125,-0.140625,-0.51953125,0.173828125,-1.37109375,-10.125,3.7421875,1.0
4752506,,,,,,,,-1.2578125,-0.48828125,1.95703125,-0.052734375,-0.568359375,0.1640625,-1.0234375,-9.90234375,3.43359375,1.0
4752507,,,,,,,,0.04296875,-0.640625,1.859375,-0.14453125,-0.61328125,0.125,0.27734375,-10.05859375,3.3203125,1.0
4752508,,,,,,,,0.34375,-0.82421875,2.1328125,-0.203125,-0.552734375,0.07421875,0.5859375,-10.2421875,3.5859375,1.0
4752509,,,,,,,,0.5703125,-0.9765625,2.140625,-0.189453125,-0.501953125,0.046875,0.8125,-10.3984375,3.5859375,1.0
4752510,36.01342266666666,129.31957116666666,87.54912720294563,113.47475239470522,1.2000000000000002,13.0,,0.59375,-0.890625,2.05859375,-0.115234375,-0.4375,-0.017578125,0.8515625,-10.3203125,3.47265625,1.0
