time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
4108300,36.01251233333333,129.31926033333332,59.528682070196965,12.464622040170198,1.0,327.0,0.0,0.69921875,0.7578125,-0.69140625,0.349609375,0.1796875,0.0703125,0.55078125,-8.71484375,1.14453125
4108301,,,,,,,,0.71484375,0.5234375,-0.67578125,0.390625,0.228515625,0.060546875,0.55078125,-8.94140625,1.18359375
4108302,,,,,,,,0.68359375,0.28515625,-0.75390625,0.41796875,0.298828125,0.048828125,0.51171875,-9.16796875,1.14453125
4108303,,,,,,,,0.578125,-0.22265625,-0.87109375,0.427734375,0.3515625,0.033203125,0.3984375,-9.66796875,1.06640625
4108304,,,,,,,,0.43359375,-0.50390625,-0.6015625,0.44921875,0.36328125,0.037109375,0.24609375,-9.9296875,1.375
4108305,,,,,,,,0.44921875,-0.359375,-0.3671875,0.46875,0.33984375,0.03515625,0.24609375,-9.78125,1.640625
4108306,,,,,,,,0.33203125,-0.21484375,-0.3515625,0.470703125,0.326171875,0.05078125,0.12890625,-9.625,1.6796875
4108307,,,,,,,,0.37890625,0.0078125,-0.55078125,0.482421875,0.314453125,0.060546875,0.16796875,-9.40234375,1.52734375
4108308,,,,,,,,0.47265625,0.078125,-0.70703125,0.4609375,0.322265625,0.072265625,0.24609375,-9.3203125,1.41015625
4108309,,,,,,,,0.5625,-0.359375,-0.8359375,0.44140625,0.357421875,0.0703125,0.3203125,-9.74609375,1.3359375
4108310,36.012513166666665,129.31925950000002,59.45355691027413,12.55708755832826,1.1,322.0,,0.578125,-0.67578125,-0.80078125,0.349609375,0.1796875,0.0703125,0.55078125,-8.71484375,1.14453125
4108311,,,,,,,,0.51171875,-0.921875,-0.73046875,0.46484375,0.322265625,0.083984375,0.24609375,-10.28515625,1.52734375
4108312,,,,,,,,0.5625,-1.00390625,-0.76171875,0.3828125,0.24609375,0.09375,0.28125,-10.3515625,1.52734375
4108313,,,,,,,,0.734375,-1.08984375,-1.1015625,0.251953125,0.1796875,0.099609375,0.4375,-10.4296875,1.21875
4108314,,,,,,,,0.81640625,-1.36328125,-1.15234375,0.107421875,0.150390625,0.1015625,0.51171875,-10.69921875,1.18359375
4108315,,,,,,,,0.82421875,-1.7109375,-1.0703125,0.017578125,0.13671875,0.107421875,0.51171875,-11.046875,1.2578125
4108316,,,,,,,,0.79296875,-2.015625,-0.91796875,-0.009765625,0.140625,0.099609375,0.47265625,-11.35546875,1.41015625
4108317,,,,,,,,0.6953125,-3.6640625,-0.5703125,-0.05078125,0.095703125,0.09375,0.359375,-13.00390625,1.7578125
4108318,,,,,,,,-0.0234375,-6.03125,-0.40234375,-0.12890625,0.015625,0.087890625,-0.3671875,-15.37890625,1.91015625
4108319,,,,,,,,-1.05859375,-6.796875,0.1171875,-0.25390625,-0.044921875,0.08203125,-1.40234375,-16.14453125,2.40625
4108320,36.01251383333333,129.31925850000002,59.363406970304005,12.631059769859679,1.1,319.0,,-2.46875,-4.75,2.6328125,0.349609375,0.1796875,0.0703125,0.55078125,-8.71484375,1.14453125
4108321,,,,,,,,-2.421875,-1.91015625,3.484375,-0.455078125,-0.056640625,0.0625,-2.78125,-11.27734375,5.703125
4108322,,,,,,,,-1.12109375,0.55859375,2.6484375,-0.5546875,-0.13671875,0.07421875,-1.48046875,-8.8203125,4.8203125
4108323,,,,,,,,0.18359375,1.578125,2.53515625,-0.5546875,-0.166015625,0.060546875,-0.17578125,-7.828125,4.62890625
4108324,,,,,,,,2.2578125,1.81640625,1.47265625,-0.28515625,0.115234375,0.0234375,1.890625,-7.59375,3.51953125
4108325,,,,,,,,3.109375,0.20703125,1.15625,0.373046875,-0.099609375,0.052734375,2.734375,-9.203125,3.2109375
4108326,,,,,,,,3.1015625,-0.3359375,0.94921875,0.505859375,-0.244140625,0.07421875,2.734375,-9.7421875,3.01953125
4108327,,,,,,,,2.48828125,-1.2578125,0.12890625,0.578125,-0.30078125,0.08984375,2.12109375,-10.6640625,2.25390625
4108328,,,,,,,,1.03125,-1.73046875,0.7734375,0.470703125,-0.150390625,0.029296875,0.6640625,-11.12109375,2.9453125
4108329,,,,,,,,-0.26953125,-2.0078125,1.73046875,0.20703125,-0.048828125,-0.05859375,-0.63671875,-11.39453125,3.94140625
4108330,36.01251483333333,129.3192575,59.27325677784213,12.742018393405228,1.2000000000000002,319.0,,-1.3203125,-1.921875,2.265625,-0.166015625,-0.048828125,-0.146484375,-1.671875,-11.31640625,4.4765625
4108331,,,,,,,,-2.0625,-1.1484375,2.2578125,-0.380859375,0.001953125,-0.232421875,-2.3984375,-10.546875,4.4375
4108332,,,,,,,,-1.82421875,-0.64453125,1.9140625,-0.439453125,0.197265625,-0.279296875,-2.12890625,-10.046875,4.0546875
4108333,,,,,,,,-0.69921875,-0.703125,1.46484375,-0.41796875,0.484375,-0.306640625,-0.98046875,-10.12890625,3.55859375
4108334,,,,,,,,-0.5234375,-0.49609375,1.12109375,-0.31640625,0.75390625,-0.306640625,-0.7890625,-9.93359375,3.17578125
4108335,,,,,,,,-0.4921875,-0.11328125,1.06640625,-0.140625,0.8125,-0.2734375,-0.75,-9.546875,3.09765625
4108336,,,,,,,,-0.5,0.15234375,0.9140625,-0.048828125,0.775390625,-0.255859375,-0.75,-9.28515625,2.9453125
4108337,,,,,,,,-0.125,1.01171875,0.5,0.064453125,0.626953125,-0.24609375,-0.3671875,-8.44140625,2.5234375
4108338,,,,,,,,0.125,1.51171875,0.29296875,0.080078125,0.541015625,-0.22265625,-0.1015625,-7.9375,2.33203125
4108339,,,,,,,,0.1171875,2.30859375,-0.16796875,0.0625,0.5625,-0.236328125,-0.1015625,-7.1328125,1.87109375
4108340,36.0125155,129.3192565,59.18310683938157,12.815990608502055,1.2000000000000002,317.0,,-0.28125,2.96484375,-0.375,0.103515625,0.501953125,-0.2734375,-0.484375,-6.484375,1.6796875
4108341,,,,,,,,-0.41796875,3.34765625,-0.34375,0.166015625,0.361328125,-0.30078125,-0.59765625,-6.10546875,1.71875
4108342,,,,,,,,-0.2890625,3.5703125,-0.51953125,0.20703125,0.251953125,-0.3359375,-0.4453125,-5.875,1.56640625
4108343,,,,,,,,-0.12109375,3.49609375,-0.69140625,0.228515625,0.224609375,-0.357421875,-0.25390625,-5.94921875,1.41015625
4108344,,,,,,,,-0.0546875,3.33203125,-0.8359375,0.181640625,0.26953125,-0.369140625,-0.140625,-6.10546875,1.296875
4108345,,,,,,,,-0.16015625,3.1796875,-0.8125,0.13671875,0.248046875,-0.376953125,-0.21484375,-6.26171875,1.3359375
4108346,,,,,,,,-0.29296875,3.09375,-0.8515625,0.125,0.236328125,-0.384765625,-0.33203125,-6.3359375,1.296875
4108347,,,,,,,,-0.62890625,2.7109375,-0.8671875,0.1328125,0.21484375,-0.392578125,-0.63671875,-6.71875,1.296875
4108348,,,,,,,,-1.01171875,2.58984375,-0.875,0.126953125,0.25,-0.408203125,-0.98046875,-6.83203125,1.296875
4108349,,,,,,,,-1.3515625,2.24609375,-1.00390625,0.109375,0.302734375,-0.40234375,-1.2890625,-7.171875,1.18359375
