time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4004830,36.0130815,129.32015033333334,139.76068141448724,75.61983167442155,4.7,230.0,,-3.85546875,15.58203125,-1.07421875,1.392578125,0.65625,-0.171875,-4.1796875,2.359375,1.5078125,1.0
4004831,,,,,,,,-4.15625,8.85546875,-2.39453125,1.89453125,0.3203125,-0.279296875,-2.875,-3.2734375,1.125,1.0
4004832,,,,,,,,-3.18359375,-12.62890625,3.68359375,1.78125,-0.30078125,-0.365234375,-2.72265625,-21.578125,7.29296875,1.0
4004833,,,,,,,,8.0546875,-30.63671875,15.99609375,1.4140625,-0.716796875,-0.384765625,8.5390625,-39.55078125,19.66796875,1.0
4004834,,,,,,,,13.30078125,-51.0,22.31640625,-0.72265625,-1.712890625,-0.240234375,13.90234375,-59.89453125,26.02734375,1.0
4004835,,,,,,,,-0.8203125,-14.8359375,5.5703125,-1.462890625,-1.169921875,0.15234375,-0.15625,-23.765625,9.171875,1.0
4004836,,,,,,,,-8.55078125,-0.859375,3.9453125,-1.48046875,-0.41796875,0.716796875,-7.89453125,-9.86328125,7.40625,1.0
4004837,,,,,,,,-9.1015625,0.88671875,2.69921875,-0.080078125,0.412109375,1.0859375,-8.55078125,-8.13671875,6.10546875,1.0
4004838,,,,,,,,-6.484375,-1.91015625,-0.7265625,0.599609375,-1.216796875,1.021484375,-5.9765625,-10.9296875,2.6953125,1.0
4004839,,,,,,,,-1.078125,-11.3203125,-2.0703125,3.30078125,-1.87109375,0.37109375,-0.578125,-20.28515625,1.5078125,1.0
4004840,36.013079,129.320146,139.37004103608882,75.34242736050179,4.7,231.0,,0.1328125,-14.69921875,2.23828125,1.392578125,0.65625,-0.171875,0.6875,-23.53515625,6.14453125,1.0
4004841,,,,,,,,-1.05859375,-14.87890625,3.4375,0.587890625,-4.037109375,0.80859375,-0.42578125,-23.6484375,7.484375,1.0
4004842,,,,,,,,-1.953125,-8.77734375,-2.7421875,-1.689453125,-3.48046875,1.37109375,-1.265625,-17.59765625,1.203125,1.0
4004843,,,,,,,,-1.25,-7.09375,-3.22265625,-2.08984375,-2.9609375,1.751953125,-0.578125,-15.99609375,0.55078125,1.0
4004844,,,,,,,,0.19140625,-2.9375,-3.41796875,-1.583984375,-2.765625,2.046875,0.80078125,-11.9296875,0.16796875,1.0
4004845,,,,,,,,1.21484375,-0.38671875,-3.72265625,-1.01171875,-3.080078125,2.369140625,1.72265625,-9.4375,-0.25390625,1.0
4004846,,,,,,,,2.96875,4.01171875,-2.80859375,-0.9609375,-3.25,2.427734375,3.40625,-5.0703125,0.58984375,1.0
4004847,,,,,,,,5.46484375,8.16796875,-0.62109375,-1.03125,-3.033203125,2.10546875,5.703125,-1.01171875,2.58203125,1.0
4004848,,,,,,,,7.38671875,9.79296875,-0.4921875,-1.029296875,-2.9375,2.02734375,7.58203125,0.59765625,2.65625,1.0
4004849,,,,,,,,10.390625,10.453125,-2.58984375,-0.986328125,-2.65625,1.767578125,10.4921875,1.2109375,0.47265625,1.0
4004850,36.01307633333333,129.32014166666667,138.9794009288946,75.04652985638246,4.800000000000001,232.0,,13.44921875,6.1484375,-6.484375,-0.73046875,-2.83984375,1.38671875,13.4765625,-3.1171875,-3.5078125,1.0
4004851,,,,,,,,13.98828125,1.71875,-8.515625,0.37109375,-3.48828125,0.9296875,14.01953125,-7.5625,-5.578125,1.0
4004852,,,,,,,,7.92578125,1.97265625,-6.953125,0.546875,-3.255859375,1.080078125,7.9609375,-7.29296875,-3.96875,1.0
4004853,,,,,,,,5.78125,2.76953125,-6.2890625,0.462890625,-3.05859375,1.123046875,5.8203125,-6.48828125,-3.28125,1.0
4004854,,,,,,,,-0.26171875,6.33203125,-4.05078125,0.251953125,-2.4140625,0.892578125,-0.23046875,-2.921875,-1.01953125,1.0
4004855,,,,,,,,-4.4296875,9.34765625,-0.47265625,0.365234375,-1.025390625,0.62109375,-4.40625,0.09765625,2.58203125,1.0
4004856,,,,,,,,-12.11328125,13.5859375,13.578125,0.75,1.26171875,0.4375,-12.14453125,4.3515625,16.6796875,1.0
4004857,,,,,,,,-7.72265625,14.05078125,5.53125,0.95703125,3.52734375,0.283203125,-7.85546875,4.84765625,8.7109375,1.0
4004858,,,,,,,,-4.89453125,14.2265625,1.77734375,0.935546875,4.46484375,0.306640625,-5.09375,5.0390625,4.99609375,1.0
4004859,,,,,,,,-0.66796875,14.6171875,-4.33984375,0.75,5.4609375,0.509765625,-1.07421875,5.46484375,-1.05859375,1.0
4004860,36.013073166666665,129.32013733333332,138.5887616687241,74.69515274872228,5.0,230.0,,2.67578125,16.6875,-6.63671875,-0.73046875,-2.83984375,1.38671875,2.06640625,7.5703125,-3.31640625,1.0
4004861,,,,,,,,3.91796875,18.03125,-6.28125,1.28125,-1.419921875,0.705078125,3.17578125,8.98828125,-2.8203125,1.0
4004862,,,,,,,,4.1484375,16.859375,-6.8046875,1.37109375,-1.4453125,0.52734375,3.40625,7.8359375,-3.28125,1.0
4004863,,,,,,,,5.3359375,10.1640625,-7.1953125,1.287109375,-0.583984375,0.521484375,4.59375,1.2109375,-3.546875,1.0
4004864,,,,,,,,6.1640625,6.8828125,-7.328125,1.1953125,-0.0625,0.544921875,5.3984375,-2.046875,-3.625,1.0
4004865,,,,,,,,7.29296875,-0.3828125,-8.1875,1.1015625,0.751953125,0.4765625,6.47265625,-9.25390625,-4.390625,1.0
4004866,,,,,,,,6.17578125,-7.32421875,-6.609375,0.791015625,1.373046875,0.31640625,5.28515625,-16.140625,-2.7421875,1.0
4004867,,,,,,,,-28.1015625,-59.328125,38.6875,-1.71484375,2.53125,-0.11328125,-29.15625,-68.1640625,42.4609375,1.0
4004868,,,,,,,,-10.171875,-42.43359375,6.33984375,-2.55859375,3.07421875,-0.224609375,-11.265625,-51.3046875,10.01171875,1.0
4004869,,,,,,,,-0.1484375,-6.24609375,-1.71484375,-4.248046875,3.18359375,-0.59765625,-1.3828125,-15.296875,1.43359375,1.0
4004870,36.013070166666665,129.3201335,138.2431964921303,74.3622695750775,4.9,226.0,,1.8671875,-2.10546875,-4.2421875,-4.36328125,-0.84375,-1.064453125,2.06640625,7.5703125,-3.31640625,1.0
4004871,,,,,,,,5.13671875,1.56640625,-4.6953125,-1.365234375,-1.67578125,-1.271484375,4.09765625,-7.67578125,-2.015625,1.0
4004872,,,,,,,,5.48828125,3.609375,-1.8515625,0.822265625,0.728515625,-1.470703125,4.51953125,-5.65234375,0.8203125,1.0
4004873,,,,,,,,8.7421875,1.75390625,1.33984375,3.990234375,2.57421875,-2.009765625,7.89453125,-7.44921875,4.23046875,1.0
4004874,,,,,,,,6.875,-11.484375,2.578125,4.25,2.541015625,-1.921875,6.125,-20.5859375,5.8359375,1.0
4004875,,,,,,,,4.1015625,-12.5,2.078125,1.826171875,2.560546875,-2.01953125,3.4453125,-21.5078125,5.609375,1.0
