time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3936600,36.01259816666666,129.319234,57.154684780026486,21.98860714364601,0.0,65535.0,0.0,0.140625,-0.125,-0.140625,-0.013671875,-0.00390625,0.0859375,-0.6640625,-9.7265625,1.20703125
3936601,,,,,,,,0.1875,-0.1640625,-0.1015625,0.021484375,0.013671875,0.0859375,-0.5859375,-9.80859375,1.09375
3936602,,,,,,,,0.2265625,-0.203125,-0.1015625,0.025390625,0.0078125,0.087890625,-0.546875,-9.84765625,1.09375
3936603,,,,,,,,0.1875,-0.1171875,-0.171875,0.025390625,0.0078125,0.083984375,-0.5859375,-9.765625,1.015625
3936604,,,,,,,,0.1875,-0.078125,-0.140625,0.01953125,0.013671875,0.078125,-0.5859375,-9.73046875,1.0546875
3936605,,,,,,,,0.1953125,0.00390625,-0.1796875,0.025390625,0.021484375,0.083984375,-0.5859375,-9.6484375,1.015625
3936606,,,,,,,,0.1875,0.03515625,-0.1328125,0.02734375,0.015625,0.078125,-0.5859375,-9.609375,1.0546875
3936607,,,,,,,,0.1953125,0.00390625,-0.171875,0.048828125,0.01953125,0.076171875,-0.5859375,-9.6484375,1.015625
3936608,,,,,,,,0.1953125,-0.00390625,-0.09375,0.044921875,0.021484375,0.07421875,-0.5859375,-9.65234375,1.09375
3936609,,,,,,,,0.1953125,0.04296875,-0.1328125,0.044921875,0.015625,0.072265625,-0.5859375,-9.609375,1.0546875
3936610,36.01259816666666,129.319234,57.154684780026486,21.98860714364601,0.0,65535.0,,0.2734375,-0.03125,-0.1328125,0.029296875,0.017578125,0.064453125,-0.6640625,-9.7265625,1.20703125
3936611,,,,,,,,0.2265625,-0.15625,-0.0546875,0.03515625,0.017578125,0.05859375,-0.546875,-9.8046875,1.1328125
3936612,,,,,,,,0.2265625,-0.1953125,0.0234375,0.04296875,0.01953125,0.052734375,-0.546875,-9.84765625,1.2109375
3936613,,,,,,,,0.109375,-0.1875,0.06640625,0.0390625,0.015625,0.046875,-0.6640625,-9.84375,1.24609375
3936614,,,,,,,,0.03515625,-0.1484375,0.06640625,0.025390625,0.01171875,0.04296875,-0.73828125,-9.80859375,1.24609375
3936615,,,,,,,,0.1015625,0.00390625,-0.015625,0.005859375,0.01171875,0.04296875,-0.6640625,-9.6484375,1.171875
3936616,,,,,,,,0.1796875,0.08984375,-0.046875,0.029296875,0.001953125,0.037109375,-0.5859375,-9.5703125,1.1328125
3936617,,,,,,,,0.171875,0.08984375,-0.0546875,0.029296875,-0.00390625,0.03125,-0.5859375,-9.5703125,1.1328125
3936618,,,,,,,,0.171875,0.08984375,-0.0078125,0.052734375,-0.0078125,0.03125,-0.5859375,-9.57421875,1.171875
3936619,,,,,,,,0.1328125,0.08984375,-0.0546875,0.046875,-0.013671875,0.02734375,-0.625,-9.5703125,1.1328125
3936620,36.012598000000004,129.319234,57.15468490019979,21.970113939139427,0.0,65535.0,,0.125,0.04296875,-0.0546875,0.029296875,0.017578125,0.064453125,-0.625,-9.61328125,1.1328125
3936621,,,,,,,,0.0859375,0.00390625,-0.0234375,0.046875,-0.025390625,0.025390625,-0.6640625,-9.6484375,1.171875
3936622,,,,,,,,0.04296875,0.04296875,-0.015625,0.03515625,-0.04296875,0.0234375,-0.69921875,-9.61328125,1.171875
3936623,,,,,,,,0.04296875,0.00390625,-0.0234375,0.0390625,-0.041015625,0.0234375,-0.69921875,-9.65234375,1.171875
3936624,,,,,,,,0.0703125,-0.03125,0.015625,0.025390625,-0.0546875,0.025390625,-0.6640625,-9.6875,1.2109375
3936625,,,,,,,,0.0703125,-0.0390625,0.05078125,0.02734375,-0.060546875,0.01953125,-0.6640625,-9.6875,1.24609375
3936626,,,,,,,,0.1015625,-0.03125,0.04296875,0.029296875,-0.06640625,0.01953125,-0.625,-9.6875,1.24609375
3936627,,,,,,,,0.0625,0.04296875,-0.0703125,0.01953125,-0.076171875,0.017578125,-0.6640625,-9.61328125,1.1328125
3936628,,,,,,,,0.1015625,0.03515625,-0.0703125,0.021484375,-0.08203125,0.021484375,-0.625,-9.61328125,1.1328125
3936629,,,,,,,,0.1328125,0.07421875,-0.109375,0.03125,-0.087890625,0.015625,-0.5859375,-9.5703125,1.09375
3936630,36.012598000000004,129.31923416666666,57.16970979060086,21.970114036538302,0.0,65535.0,,0.171875,0.03515625,-0.1171875,0.025390625,-0.08984375,0.017578125,-0.546875,-9.609375,1.09375
3936631,,,,,,,,0.125,0.04296875,-0.078125,0.03125,-0.09375,0.01953125,-0.5859375,-9.61328125,1.1328125
3936632,,,,,,,,0.125,-0.00390625,-0.078125,0.02734375,-0.099609375,0.015625,-0.5859375,-9.65234375,1.1328125
3936633,,,,,,,,0.125,-0.00390625,-0.078125,0.01953125,-0.095703125,0.013671875,-0.5859375,-9.65234375,1.1328125
3936634,,,,,,,,0.0703125,0.03515625,-0.0390625,0.017578125,-0.103515625,0.01171875,-0.625,-9.609375,1.171875
3936635,,,,,,,,0.03125,-0.00390625,-0.078125,0.017578125,-0.10546875,0.01171875,-0.6640625,-9.65234375,1.1328125
3936636,,,,,,,,0.109375,-0.00390625,-0.0390625,0.015625,-0.103515625,0.001953125,-0.5859375,-9.6484375,1.171875
3936637,,,,,,,,0.1015625,-0.01171875,-0.078125,0.025390625,-0.103515625,0.00390625,-0.5859375,-9.65234375,1.1328125
