time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
4080300,36.01251833,129.3192505,58.64220811,13.13037147,1.2,323,0,1,-1.5625,-0.703125,0.041015625,0.021484375,0.126953125,0.7421875,-8.9375,0.37890625,
4080301,,,,,,,,0.75390625,-2.03125,-0.87109375,0.140625,0.26171875,0.15625,0.16796875,-11.4296875,1.14453125,
4080302,,,,,,,,0.546875,-2.26171875,-0.83203125,0.123046875,0.236328125,0.16015625,-0.0625,-11.66015625,1.18359375,
4080303,,,,,,,,-0.05078125,-2.8359375,-1.0703125,0.078125,0.197265625,0.1640625,-0.67578125,-12.234375,0.953125,
4080304,,,,,,,,-0.88671875,-3.80078125,-0.19921875,0.072265625,0.212890625,0.140625,-1.51953125,-13.1875,1.83203125,
4080305,,,,,,,,-2.15625,-6.90234375,0.64453125,0.060546875,0.244140625,0.119140625,-2.8203125,-16.29296875,2.67578125,
4080306,,,,,,,,-3.21484375,-6.13671875,2.29296875,0.021484375,0.24609375,0.109375,-3.89453125,-15.52734375,4.32421875,
4080307,,,,,,,,-4.26953125,-3.75390625,2.98828125,-0.05078125,0.25,0.099609375,-4.96484375,-13.15234375,5.01171875,
4080308,,,,,,,,-2.921875,-1.2265625,2.0859375,-0.189453125,0.216796875,0.09765625,-3.625,-10.62890625,4.09375,
4080309,,,,,,,,0.50390625,-0.4609375,2.30078125,-0.298828125,0.1328125,0.09765625,-0.21484375,-9.86328125,4.28515625,
4080310,36.01251917,129.3192495,58.55205805,13.2228369,1.1,319,,2.80859375,-0.4453125,2.37890625,-0.439453125,-0.123046875,0.09375,0.7421875,-8.9375,0.37890625,
4080311,,,,,,,,4.04296875,0.21484375,1.23046875,-0.15625,-0.1796875,0.013671875,3.30859375,-9.20703125,3.13671875,
4080312,,,,,,,,4.03515625,0.29296875,0.44921875,0.4140625,-0.359375,0.021484375,3.30859375,-9.12890625,2.37109375,
4080313,,,,,,,,3.95703125,-0.0625,0.34765625,0.515625,-0.513671875,0.0546875,3.23046875,-9.48046875,2.29296875,
4080314,,,,,,,,2.953125,-1.59375,0.33984375,0.43359375,-0.71484375,0.029296875,2.234375,-11.01171875,2.33203125,
4080315,,,,,,,,0.25,-2.25390625,2.33203125,0.267578125,-0.587890625,-0.05078125,-0.4453125,-11.65625,4.36328125,
4080316,,,,,,,,-1.4140625,-2.10546875,3.1171875,0.109375,-0.208984375,-0.115234375,-2.09375,-11.5,5.1640625,
4080317,,,,,,,,-1.66796875,-1.171875,2.4296875,-0.1875,0.017578125,-0.23046875,-2.32421875,-10.58984375,4.4765625,
4080318,,,,,,,,-1.67578125,-1.171875,2.4453125,-0.568359375,0.025390625,-0.36328125,-1.86328125,-10.5078125,4.28515625,
4080319,,,,,,,,-0.78515625,-0.92578125,2.0703125,-0.798828125,0.125,-0.466796875,-1.2890625,-10.28515625,4.0546875,
4080320,36.01252,129.3192482,58.43185819,13.31530213,1.3,319,,2.80859375,-0.4453125,2.37890625,-0.685546875,0.41015625,-0.51953125,-1.13671875,-10.0078125,3.82421875,
4080321,,,,,,,,-0.56640625,-0.3515625,1.828125,-0.3359375,0.478515625,-0.541015625,-0.94140625,-9.4375,3.01953125,
4080322,,,,,,,,-0.3359375,0.1640625,0.984375,-0.0625,0.380859375,-0.509765625,-0.75,-9.125,2.67578125,
4080323,,,,,,,,-0.24609375,0.515625,0.91015625,0.033203125,0.373046875,-0.490234375,-0.71484375,-8.98046875,2.71484375,
