time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3022700,36.012527999999996,129.31927916666666,61.226484461034595,14.202995021607983,0.4,312.0,0.0,0.046875,-1.46484375,-0.39453125,-0.265625,0.38671875,0.060546875,-1.38671875,1.22265625,10.296875
3022701,,,,,,,,0.24609375,-1.7109375,-0.44921875,-0.154296875,0.376953125,-0.01171875,-3.33984375,-0.65625,8.8359375
3022702,,,,,,,,-0.09765625,-1.2734375,-0.32421875,-0.046875,0.328125,-0.056640625,-3.72265625,-0.234375,8.953125
3022703,,,,,,,,-0.41796875,-0.77734375,-0.28125,0.09765625,0.263671875,-0.00390625,-4.06640625,0.26171875,8.9921875
3022704,,,,,,,,-0.546875,-0.0625,-0.30078125,0.21875,0.15234375,0.107421875,-4.21875,0.9921875,8.953125
3022705,,,,,,,,-0.5390625,0.328125,-0.45703125,0.275390625,0.04296875,0.1796875,-4.21875,1.4140625,8.80078125
3022706,,,,,,,,-0.5,0.54296875,-0.41015625,0.283203125,0.009765625,0.171875,-4.1796875,1.64453125,8.83984375
3022707,,,,,,,,-0.5859375,0.9296875,-0.44921875,0.2578125,-0.048828125,0.12890625,-4.2578125,2.0625,8.80078125
3022708,,,,,,,,-0.32421875,1.2890625,-0.33203125,0.205078125,-0.1015625,0.03125,-3.98828125,2.4453125,8.9140625
3022709,,,,,,,,0.203125,1.4296875,-0.21875,0.173828125,-0.1015625,-0.076171875,-3.453125,2.6015625,9.03125
3022710,36.01252833333333,129.31927916666666,61.22648420287829,14.239981432492186,0.4,323.0,,0.65625,1.3359375,0.01171875,-0.265625,0.38671875,0.060546875,-2.9921875,2.5234375,9.26171875
3022711,,,,,,,,0.8828125,1.22265625,0.15625,0.01171875,-0.03125,-0.26171875,-2.765625,2.41015625,9.4140625
3022712,,,,,,,,1.15234375,1.07421875,0.35546875,0.001953125,-0.015625,-0.2421875,-2.49609375,2.25390625,9.60546875
3022713,,,,,,,,1.265625,0.890625,0.43359375,0.025390625,0.03515625,-0.162109375,-2.3828125,2.0625,9.6796875
3022714,,,,,,,,1.3125,0.890625,0.43359375,0.044921875,0.044921875,-0.10546875,-2.34375,2.0625,9.6796875
3022715,,,,,,,,1.16796875,0.65625,0.43359375,0.078125,0.04296875,0.052734375,-2.49609375,1.8359375,9.6796875
3022716,,,,,,,,0.9296875,0.41015625,0.43359375,0.08984375,0.05078125,0.107421875,-2.7265625,1.60546875,9.68359375
3022717,,,,,,,,0.81640625,0.40234375,0.39453125,0.109375,0.056640625,0.123046875,-2.83984375,1.60546875,9.64453125
3022718,,,,,,,,0.36328125,0.23046875,0.32421875,0.1640625,0.03515625,0.19921875,-3.4140625,1.48828125,9.5625
3022719,,,,,,,,0.25,0.26171875,0.32421875,0.189453125,0.02734375,0.216796875,-3.5703125,1.44921875,9.6015625
3022720,36.0125285,129.31927883333336,61.196434269051935,14.25847442975206,0.30000000000000004,321.0,,0.65625,1.3359375,0.01171875,0.23828125,0.025390625,0.23046875,-2.9921875,2.5234375,9.26171875
3022721,,,,,,,,-0.25,0.16015625,0.296875,0.29296875,0.03125,0.2265625,-3.9140625,1.4140625,9.4921875
3022722,,,,,,,,-0.09765625,0.12109375,-0.04296875,0.30859375,0.00390625,0.212890625,-3.76171875,1.44921875,9.18359375
3022723,,,,,,,,0.2890625,0.08984375,-0.26953125,0.302734375,-0.05078125,0.181640625,-3.375,1.44921875,8.95703125
3022724,,,,,,,,0.34765625,0.421875,-0.30078125,0.306640625,-0.09765625,0.146484375,-3.30078125,1.8359375,8.9140625
3022725,,,,,,,,0.1875,0.88671875,-0.03515625,0.322265625,-0.1875,0.119140625,-3.453125,2.33203125,9.18359375
3022726,,,,,,,,-0.03515625,1.30859375,0.2265625,0.353515625,-0.271484375,0.134765625,-3.64453125,2.79296875,9.453125
3022727,,,,,,,,-0.40234375,1.7265625,0.41015625,0.40625,-0.306640625,0.177734375,-3.98828125,3.25,9.640625
