time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
2393800,36.012958,129.3188077,18.72092891,61.91527348,0.1,65535,0,-2.6015625,-4.64453125,10.1953125,-0.443359375,-0.0078125,0.14453125,-3.0390625,-9.546875,3.57421875,
2393801,,,,,,,,-2.24609375,-5.24609375,10.48828125,0.197265625,-0.072265625,0.099609375,-2.65234375,-9.58203125,3.53515625,
2393802,,,,,,,,-1.8828125,-5.16015625,10.3671875,0.21875,-0.060546875,0.11328125,-2.078125,-9.5078125,3.34375,
2393803,,,,,,,,-1.37890625,-5.0390625,10.1640625,0.25,-0.052734375,0.125,-1.8515625,-9.546875,3.34375,
2393804,,,,,,,,-1.02734375,-5,10.30078125,0.294921875,-0.05859375,0.115234375,-1.62109375,-9.51171875,3.53515625,
2393805,,,,,,,,-0.8203125,-4.72265625,10.2109375,0.298828125,-0.078125,0.107421875,-1.4296875,-9.27734375,3.5,
2393806,,,,,,,,-0.734375,-4.4765625,10.0390625,0.306640625,-0.0859375,0.115234375,-1.3515625,-9.046875,3.34375,
2393807,,,,,,,,-0.48828125,-4.3828125,9.79296875,0.29296875,-0.111328125,0.10546875,-1.12109375,-9.01171875,3.15234375,
2393808,,,,,,,,-0.359375,-4.34375,9.81640625,0.287109375,-0.1328125,0.072265625,-1.0078125,-9.0078125,3.23046875,
2393809,,,,,,,,-0.11328125,-4.42578125,9.80859375,0.267578125,-0.150390625,0.048828125,-0.77734375,-9.15625,3.30859375,
2393810,36.01295783,129.3188082,18.76600341,61.89678037,0.1,65535,,0.0234375,-4.6953125,9.8671875,-0.443359375,-0.0078125,0.14453125,-0.6640625,-9.46875,3.421875,
2393811,,,,,,,,-0.10546875,-4.53515625,9.66015625,0.23046875,-0.201171875,0.126953125,-0.81640625,-9.3515625,3.26953125,
2393812,,,,,,,,-0.12890625,-4.42578125,9.56640625,0.224609375,-0.234375,0.158203125,-0.85546875,-9.2734375,3.23046875,
2393813,36.01295767,129.3188083,18.78102828,61.8782872,0.2,65535,,0.17578125,-3.6015625,8.984375,0.1796875,-0.220703125,0.09375,-0.73828125,-8.74609375,3.078125,
2393814,,,,,,,,0.4296875,-3.60546875,8.8125,0.1953125,-0.212890625,0.083984375,-0.5078125,-8.7734375,2.9609375,
