time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4468170,36.012543,129.31934533333333,67.1913586834093,15.867427115794143,3.4000000000000004,52.0,,-0.31640625,0.25,1.546875,0.4453125,-0.861328125,0.158203125,-3.45703125,0.9375,4.01171875,1.0
4468171,,,,,,,,0.609375,-3.51953125,0.62890625,0.333984375,-1.017578125,0.228515625,-2.5,-2.85546875,3.12890625,1.0
4468172,,,,,,,,1.99609375,-9.5390625,0.3671875,0.2578125,-1.048828125,0.087890625,-1.08203125,-8.91015625,2.8984375,1.0
4468173,,,,,,,,9.2578125,-28.68359375,8.171875,0.25,-0.896484375,-0.314453125,6.1953125,-28.09375,10.75,1.0
4468174,,,,,,,,14.5234375,-48.42578125,13.28125,0.234375,-0.34765625,-0.814453125,11.484375,-47.90234375,15.8828125,1.0
4468175,,,,,,,,9.3203125,-23.984375,9.08984375,0.23046875,0.515625,-1.349609375,6.2734375,-23.578125,11.70703125,1.0
4468176,,,,,,,,4.46484375,-17.42578125,4.53125,0.21875,0.67578125,-1.326171875,1.41015625,-17.0625,7.1484375,1.0
4468177,,,,,,,,1.69140625,-17.9921875,2.984375,0.083984375,0.94921875,-0.904296875,-1.38671875,-17.72265625,5.578125,1.0
4468178,,,,,,,,4.953125,-22.578125,1.4140625,-0.04296875,0.40625,-1.09375,1.8671875,-22.390625,4.0078125,1.0
4468179,,,,,,,,6.15625,-23.78515625,4.07421875,-0.291015625,-1.958984375,-1.240234375,3.09375,-23.6875,6.69140625,1.0
4468180,36.0125445,129.31934766666666,67.40170602456152,16.033867576487225,3.0,52.0,,7.14453125,-21.15625,3.625,-0.16015625,-3.15234375,-1.275390625,4.16796875,-21.1640625,6.34375,1.0
4468181,,,,,,,,7.90625,-19.35546875,2.3515625,-0.3515625,-1.5078125,-2.216796875,5.0078125,-19.4765625,5.15625,1.0
4468182,,,,,,,,8.94921875,-17.671875,1.01953125,-0.833984375,-0.22265625,-2.748046875,6.08203125,-17.94921875,3.85546875,1.0
4468183,,,,,,,,8.49609375,-15.87109375,0.8203125,-1.078125,-0.166015625,-2.3828125,5.66015625,-16.30078125,3.6640625,1.0
4468184,,,,,,,,7.1171875,-12.87109375,-0.0390625,-1.25390625,-0.38671875,-2.2734375,4.3203125,-13.46484375,2.8203125,1.0
4468185,,,,,,,,6.53515625,-10.68359375,-1.04296875,-1.35546875,-0.32421875,-2.439453125,3.78515625,-11.4296875,1.82421875,1.0
4468186,,,,,,,,6.5859375,-9.640625,-1.31640625,-1.416015625,-0.275390625,-2.478515625,3.859375,-10.4765625,1.55859375,1.0
4468187,,,,,,,,6.234375,-5.4765625,-2.27734375,-1.474609375,-0.18359375,-2.369140625,3.5546875,-6.49609375,0.59765625,1.0
4468188,,,,,,,,6.1015625,-3.63671875,-2.15234375,-1.494140625,-0.111328125,-2.267578125,3.4765625,-4.8046875,0.71484375,1.0
4468189,,,,,,,,6.359375,-0.7734375,-2.25390625,-1.458984375,-0.0234375,-2.18359375,3.8203125,-2.1640625,0.59765625,1.0
4468190,36.01254633333333,129.31935049999998,67.65712777452589,16.237294801459885,3.5,53.0,,6.26953125,1.14453125,-2.54296875,-1.361328125,0.05078125,-2.0078125,4.16796875,-21.1640625,6.34375,1.0
4468191,,,,,,,,6.2890625,3.65234375,-2.671875,-1.255859375,0.08984375,-1.80859375,3.86328125,1.97265625,0.140625,1.0
4468192,,,,,,,,5.39453125,5.578125,-3.65234375,-1.16015625,0.08203125,-1.666015625,3.01953125,3.7734375,-0.85546875,1.0
4468193,,,,,,,,4.79296875,6.1171875,-4.51171875,-1.0390625,0.048828125,-1.55859375,2.48046875,4.19921875,-1.73828125,1.0
4468194,,,,,,,,4.921875,5.61328125,-4.9453125,-0.95703125,0.025390625,-1.40234375,2.671875,3.578125,-2.1953125,1.0
4468195,,,,,,,,6.0546875,3.33203125,-4.82421875,-0.87890625,-0.056640625,-1.203125,3.859375,1.20703125,-2.08203125,1.0
4468196,,,,,,,,6.30078125,2.49609375,-4.65625,-0.837890625,-0.0859375,-1.109375,4.125,0.32421875,-1.9296875,1.0
4468197,,,,,,,,6.69921875,1.12890625,-4.21875,-0.822265625,-0.08203125,-0.984375,4.5859375,-1.12890625,-1.5078125,1.0
4468198,,,,,,,,5.875,-1.28515625,-2.2421875,-0.859375,-0.013671875,-0.83203125,3.8203125,-3.62109375,0.4453125,1.0
4468199,,,,,,,,4.60546875,-2.125,-0.2265625,-0.8203125,0.205078125,-0.630859375,2.59765625,-4.54296875,2.4375,1.0
4468200,36.012548333333335,129.31935299999998,67.8824995700475,16.45921500735306,3.5,50.0,0.0,2.0078125,-1.44140625,2.79296875,-1.361328125,0.05078125,-2.0078125,0.03125,-3.92578125,5.421875,1.0
4468201,,,,,,,,0.7578125,0.875,2.93359375,-0.716796875,1.060546875,0.046875,-1.1953125,-1.703125,5.5,1.0
4468202,,,,,,,,0.07421875,5.2578125,-0.0546875,-0.8203125,0.998046875,0.47265625,-1.88671875,2.625,2.4765625,1.0
4468203,,,,,,,,0.6484375,7.640625,-2.390625,-0.97265625,0.560546875,0.73828125,-1.3125,4.9609375,0.1015625,1.0
4468204,,,,,,,,0.7265625,8.140625,-2.66015625,-0.98828125,-0.392578125,0.65234375,-1.234375,5.42578125,-0.20703125,1.0
4468205,,,,,,,,0.375,6.80859375,-0.3984375,-0.806640625,-1.501953125,0.45703125,-1.5390625,4.04296875,2.0546875,1.0
4468206,,,,,,,,0.2734375,5.56640625,0.7578125,-0.6796875,-1.896484375,0.380859375,-1.6171875,2.77734375,3.203125,1.0
4468207,,,,,,,,0.96875,0.85546875,1.6171875,-0.4765625,-2.19140625,0.349609375,-0.8515625,-1.97265625,4.0859375,1.0
4468208,,,,,,,,-0.359375,-20.640625,13.0546875,-0.279296875,-1.87109375,0.40625,-2.1171875,-23.5,15.5390625,1.0
4468209,,,,,,,,-2.2109375,-44.8203125,20.5,-0.125,-1.083984375,0.419921875,-3.9140625,-47.71484375,23.0078125,1.0
4468210,36.01255066666667,129.31935566666667,68.12289596881502,16.718121745096845,3.4000000000000004,47.0,,0.015625,-51.0625,9.58203125,-1.361328125,0.05078125,-2.0078125,-1.65625,-53.9921875,12.08984375,1.0
4468211,,,,,,,,4.875,-12.86328125,6.0,-0.064453125,1.451171875,-0.4453125,3.2109375,-15.8359375,8.4921875,1.0
4468212,,,,,,,,7.05859375,-10.2421875,0.3203125,-0.048828125,2.275390625,-1.0234375,5.39453125,-13.27734375,2.78125,1.0
4468213,,,,,,,,10.96484375,-21.140625,6.8828125,0.126953125,0.93359375,-0.83984375,9.33984375,-24.26953125,9.296875,1.0
4468214,,,,,,,,8.21875,-22.4140625,6.17578125,0.1328125,-2.126953125,1.337890625,6.6171875,-25.57421875,8.60546875,1.0
4468215,,,,,,,,6.203125,-17.2578125,2.40625,0.548828125,-3.525390625,0.787109375,4.6640625,-20.4375,4.890625,1.0
4468216,,,,,,,,3.09375,-13.2578125,1.1640625,0.626953125,-0.546875,1.68359375,1.6015625,-16.453125,3.703125,1.0
4468217,,,,,,,,2.07421875,-12.421875,0.765625,0.919921875,1.67578125,2.80859375,-0.58203125,-14.30859375,2.66796875,1.0
4468218,,,,,,,,0.69140625,-9.7734375,-0.0546875,1.34375,-0.109375,2.775390625,-1.2734375,-12.39453125,2.24609375,1.0
4468219,,,,,,,,-0.359375,-8.1171875,-0.8671875,1.65625,0.01953125,3.0625,-2.1171875,-11.2421875,1.75,1.0
4468220,36.012552166666666,129.31935800000002,68.33324327444622,16.884562227965855,3.2,48.0,,-1.0078125,-6.7109375,-1.10546875,1.822265625,0.56640625,3.07421875,-3.265625,-8.90625,1.75,1.0
4468221,,,,,,,,-1.87890625,-4.3125,-0.6171875,1.8359375,0.853515625,2.95703125,-3.9921875,-6.41796875,2.015625,1.0
4468222,,,,,,,,-2.0234375,-3.42578125,-0.71875,1.810546875,0.884765625,2.900390625,-4.14453125,-5.4921875,1.7109375,1.0
4468223,,,,,,,,-2.046875,-0.3515625,-1.9453125,1.7109375,0.880859375,2.740234375,-4.14453125,-2.0859375,-0.01171875,1.0
4468224,,,,,,,,-2.10546875,1.96875,-3.4765625,1.548828125,0.88671875,2.50390625,-4.3359375,0.171875,-0.85546875,1.0
4468225,,,,,,,,-2.171875,4.90234375,-2.6640625,1.37109375,0.76171875,2.283203125,-4.41796875,2.08984375,0.1796875,1.0
4468226,,,,,,,,-2.36328125,5.71875,-2.03125,1.302734375,0.65625,2.193359375,-4.640625,2.9296875,0.828125,1.0
4468227,,,,,,,,-1.41015625,7.25,-1.91015625,1.140625,0.46484375,2.087890625,-3.76171875,4.50390625,0.98046875,1.0
4468228,,,,,,,,-0.54296875,6.37109375,-3.15625,0.986328125,0.48828125,2.123046875,-2.95703125,3.66015625,-0.2421875,1.0
4468229,,,,,,,,-0.24609375,5.2734375,-3.6640625,0.931640625,0.59765625,2.1328125,-2.6875,2.5859375,-0.7421875,1.0
4468230,36.01255416666667,129.31936033333335,68.54359013681706,17.106482334113362,3.4000000000000004,47.0,,-0.375,1.55859375,-3.87890625,0.853515625,0.72265625,1.76171875,-3.265625,-8.90625,1.75,1.0
4468231,,,,,,,,-0.84765625,-0.07421875,-3.6640625,0.779296875,0.65234375,1.021484375,-3.4140625,-2.69921875,-0.703125,1.0
4468232,,,,,,,,-1.15234375,-0.97265625,-2.63671875,0.689453125,0.556640625,0.4296875,-3.76171875,-3.58203125,0.33203125,1.0
4468233,,,,,,,,-1.11328125,-1.0703125,-1.6953125,0.580078125,0.607421875,0.08203125,-3.7578125,-3.6953125,1.2890625,1.0
4468234,,,,,,,,1.0859375,0.1796875,-1.12109375,0.40625,0.8046875,-0.1171875,-1.578125,-2.47265625,1.86328125,1.0
4468235,,,,,,,,3.0703125,2.37109375,-1.75,0.171875,0.875,-0.279296875,0.375,-0.32421875,1.2109375,1.0
4468236,,,,,,,,4.07421875,4.09375,-2.125,0.216796875,0.623046875,-0.408203125,1.37109375,1.359375,0.828125,1.0
4468237,,,,,,,,4.7109375,6.203125,-1.98046875,0.30859375,0.154296875,-0.68359375,2.0234375,3.43359375,0.98046875,1.0
4468238,,,,,,,,2.84765625,6.515625,-2.38671875,0.439453125,-0.38671875,-0.88671875,0.18359375,3.69921875,0.59765625,1.0
4468239,,,,,,,,1.34375,5.22265625,-2.84375,0.490234375,-0.8203125,-0.876953125,-1.2734375,2.35546875,0.1796875,1.0
4468240,36.01255616666666,129.31936333333334,68.81403658305084,17.328402915148285,3.4000000000000004,49.0,,0.24609375,3.4140625,-2.1171875,0.853515625,0.72265625,1.76171875,-3.265625,-8.90625,1.75,1.0
4468241,,,,,,,,-1.1953125,0.95703125,1.57421875,0.43359375,-0.96875,0.029296875,-3.6875,-1.97265625,4.69921875,1.0
4468242,,,,,,,,-1.078125,-1.640625,2.875,0.384765625,-0.7265625,-0.119140625,-3.53125,-4.578125,6.04296875,1.0
