time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3542990,36.013010666666666,129.31898383333333,34.60214333503815,67.75917506193557,3.1,45.0,,6.69921875,-1.1015625,-3.64453125,3.13671875,0.080078125,0.142578125,1.453125,-10.79296875,-1.33203125,1.0
3542991,,,,,,,,5.85546875,-1.1953125,-3.5703125,0.486328125,0.078125,-0.37109375,3.75390625,-0.6015625,-1.484375,1.0
3542992,,,,,,,,5.39453125,-0.93359375,-3.5,-0.03515625,-0.091796875,-0.541015625,3.29296875,-0.37109375,-1.40625,1.0
3542993,,,,,,,,3.6328125,0.74609375,-1.53125,-0.3046875,0.060546875,-0.486328125,1.53515625,1.23828125,0.5859375,1.0
3542994,,,,,,,,2.25390625,1.7890625,-0.3046875,-0.408203125,0.15625,-0.341796875,0.15234375,2.23828125,1.8125,1.0
3542995,,,,,,,,-2.41015625,3.16796875,6.2734375,-0.302734375,0.138671875,-0.400390625,-5.36328125,3.5,9.125,1.0
3542996,,,,,,,,-3.26171875,3.1171875,6.99609375,-0.158203125,0.138671875,-0.533203125,-5.515625,3.1171875,8.90234375,1.0
3542997,,,,,,,,-2.640625,1.515625,5.03125,1.15234375,0.208984375,-0.90625,-4.75,1.8515625,7.171875,1.0
3542998,,,,,,,,-1.0703125,-1.83203125,3.0859375,2.390625,0.08203125,-0.74609375,-2.3359375,-5.234375,4.4921875,1.0
3542999,,,,,,,,-0.49609375,-18.578125,3.546875,2.798828125,-0.029296875,0.068359375,-1.5703125,-30.0546875,8.9375,1.0
3543000,36.013012499999995,129.31898583333336,34.78244028323604,67.96260105068701,3.0,42.0,0.0,6.69921875,-1.1015625,-3.64453125,2.75390625,-0.025390625,1.509765625,1.453125,-10.79296875,-1.33203125,1.0
3543001,,,,,,,,-11.7265625,-76.74609375,19.8203125,2.46875,0.330078125,2.044921875,-15.9765625,-59.8203125,27.20703125,1.0
3543002,,,,,,,,1.87109375,-25.00390625,10.203125,2.056640625,-0.24609375,1.060546875,-0.23046875,-24.5390625,12.34375,1.0
3543003,,,,,,,,8.98046875,-6.53125,-4.859375,1.8125,0.576171875,-3.072265625,6.890625,-6.0390625,-2.7109375,1.0
3543004,,,,,,,,15.74609375,-5.54296875,-6.58203125,2.759765625,0.08203125,-5.296875,13.63671875,-5.12109375,-4.43359375,1.0
3543005,,,,,,,,16.6484375,-7.1796875,-5.2890625,1.693359375,0.025390625,-4.244140625,14.515625,-6.84375,-3.1328125,1.0
3543006,,,,,,,,11.86328125,-14.75390625,1.1796875,-0.34765625,-0.037109375,-1.298828125,9.73046875,-14.50390625,3.34375,1.0
3543007,,,,,,,,10.16796875,-19.58984375,5.40625,-1.283203125,-0.005859375,2.19921875,8.04296875,-19.41015625,7.59375,1.0
3543008,,,,,,,,10.4140625,-22.171875,6.3359375,-0.681640625,-0.16796875,3.263671875,8.3125,-22.015625,8.5546875,1.0
3543009,,,,,,,,9.77734375,-19.16015625,4.08984375,0.185546875,-0.388671875,2.47265625,7.69921875,-18.984375,6.33203125,1.0
3543010,36.01301433333333,129.3189875,34.93268759309363,68.16602692347723,2.7,41.0,,7.33203125,-12.9140625,0.54296875,0.162109375,-0.8359375,0.931640625,5.28515625,-12.7421875,2.80859375,1.0
3543011,,,,,,,,3.31640625,-9.50390625,0.04296875,-0.33984375,-1.05078125,0.02734375,1.30078125,-9.37109375,2.34765625,1.0
3543012,,,,,,,,1.69921875,-9.171875,-0.42578125,-1.38671875,-0.927734375,0.1015625,-0.26953125,-9.14453125,1.92578125,1.0
3543013,,,,,,,,0.6484375,-8.33984375,-2.09765625,-1.673828125,-0.833984375,0.234375,-1.3046875,-8.3359375,0.27734375,1.0
3543014,,,,,,,,-0.64453125,-6.84375,-4.2578125,-1.8984375,-0.517578125,0.541015625,-2.56640625,-6.92578125,-1.8671875,1.0
3543015,,,,,,,,-2.5703125,-3.046875,-5.19921875,-1.58984375,-0.314453125,1.05078125,-4.48828125,-3.203125,-2.78515625,1.0
3543016,,,,,,,,-3.54296875,-0.47265625,-4.6796875,-1.0234375,-0.078125,1.81640625,-5.4375,-0.67578125,-2.25,1.0
3543017,,,,,,,,-4.0390625,1.9921875,-3.875,-0.58203125,0.28125,2.435546875,-5.94140625,1.7734375,-1.4453125,1.0
3543018,,,,,,,,-4.30859375,3.45703125,-3.4921875,-0.439453125,0.447265625,2.572265625,-6.20703125,3.23046875,-1.0625,1.0
3543019,,,,,,,,-3.94921875,5.41015625,-2.6484375,-0.291015625,0.599609375,2.55859375,-5.86328125,5.18359375,-0.21875,1.0
3543020,36.01301683333334,129.31898850000002,35.02283536105395,68.44342538868972,2.9000000000000004,32.0,,-3.39453125,5.5625,-2.6484375,0.162109375,-0.8359375,0.931640625,-5.32421875,5.33984375,-0.21875,1.0
3543021,,,,,,,,-3.2265625,4.0390625,-3.4453125,-0.224609375,0.46484375,1.833984375,-5.171875,3.8046875,-1.0234375,1.0
3543022,,,,,,,,-3.640625,0.59375,-3.5625,0.1328125,0.341796875,1.44140625,-5.59765625,0.359375,-1.140625,1.0
3543023,,,,,,,,-4.23828125,-2.234375,-2.41796875,0.671875,0.31640625,1.25390625,-6.20703125,-2.4765625,0.01171875,1.0
3543024,,,,,,,,-4.23046875,-4.65625,-1.30078125,1.208984375,0.4609375,1.296875,-6.203125,-4.890625,1.12109375,1.0
3543025,,,,,,,,-2.75,-5.9140625,-0.765625,1.884765625,0.6328125,1.275390625,-4.75,-6.1171875,1.65625,1.0
3543026,,,,,,,,-0.24609375,-5.1484375,-1.1875,2.7578125,0.611328125,0.92578125,-2.26171875,-5.31640625,1.234375,1.0
3543027,,,,,,,,4.296875,-2.828125,-2.02734375,3.544921875,0.4140625,0.283203125,2.2578125,-2.9375,0.39453125,1.0
3543028,,,,,,,,5.5703125,-0.73828125,-2.9921875,4.09765625,0.294921875,-0.291015625,3.5234375,-0.79296875,-0.5625,1.0
3543029,,,,,,,,6.91796875,0.234375,-0.96484375,4.1796875,0.169921875,-0.78125,4.86328125,0.2421875,1.46484375,1.0
3543030,36.013019166666666,129.31898983333335,35.14303281631946,68.7023307660523,2.8000000000000003,28.0,,3.2109375,0.1953125,3.77734375,3.4375,0.302734375,-1.107421875,1.1484375,0.2421875,6.2109375,1.0
3543031,,,,,,,,-0.49609375,-1.421875,6.375,2.021484375,0.490234375,-1.51953125,-2.56640625,-1.3671875,8.82421875,1.0
3543032,,,,,,,,-1.63671875,-7.05859375,5.3125,1.203125,0.548828125,-2.001953125,-3.71484375,-7.03515625,7.75390625,1.0
3543033,,,,,,,,7.265625,-31.19140625,0.36328125,1.78515625,0.4765625,-2.015625,5.171875,-31.203125,2.80859375,1.0
3543034,,,,,,,,11.8984375,-51.83203125,6.7890625,2.29296875,-0.32421875,-0.484375,9.8046875,-51.85546875,9.2421875,1.0
3543035,,,,,,,,24.39453125,-62.44921875,19.4765625,0.796875,-1.205078125,1.01953125,22.33203125,-62.4609375,21.9609375,1.0
3543036,,,,,,,,27.90234375,-49.2265625,20.5234375,0.337890625,-1.2890625,0.970703125,25.85546875,-49.25,23.03125,1.0
3543037,,,,,,,,11.36328125,-20.41015625,2.05859375,1.044921875,-1.083984375,0.169921875,9.34765625,-20.44140625,4.60546875,1.0
3543038,,,,,,,,-3.3125,-13.1328125,-4.109375,3.443359375,-1.23828125,-3.017578125,-5.2890625,-13.1640625,-1.5234375,1.0
3543039,,,,,,,,-3.76953125,-16.82421875,-7.6015625,1.658203125,0.37890625,-4.169921875,-5.70703125,-16.95703125,-4.96875,1.0
3543040,36.01302116666667,129.31899133333334,35.27825522310603,68.92424979164227,2.6,30.0,,2.44140625,-21.4140625,-6.30078125,3.4375,0.302734375,-1.107421875,1.1484375,0.2421875,6.2109375,1.0
3543041,,,,,,,,7.37890625,-24.9921875,-3.88671875,4.2734375,1.501953125,0.5859375,5.40234375,-25.12109375,-1.25390625,1.0
3543042,,,,,,,,11.46875,-23.5078125,2.7109375,4.59765625,1.822265625,1.0546875,9.4609375,-23.55078125,5.3359375,1.0
3543043,,,,,,,,9.984375,-19.1171875,1.40234375,3.806640625,2.283203125,0.5,7.9296875,-19.0625,3.99609375,1.0
3543044,,,,,,,,7.1171875,-14.78125,-1.6328125,2.828125,2.619140625,-0.564453125,5.015625,-14.69921875,0.9296875,1.0
3543045,,,,,,,,6.33984375,-10.921875,-2.75,2.63671875,2.63671875,-0.9375,4.17578125,-10.828125,-0.21875,1.0
3543046,,,,,,,,6.24609375,-9.65625,-2.49609375,2.607421875,2.576171875,-0.80078125,4.05859375,-9.5625,0.01171875,1.0
3543047,,,,,,,,5.99609375,-6.140625,-1.01171875,2.525390625,2.474609375,-0.32421875,3.75390625,-6.0390625,1.46484375,1.0
3543048,,,,,,,,7.40625,-5.0234375,-1.9609375,2.287109375,2.1015625,0.431640625,5.09765625,-4.890625,0.46875,1.0
3543049,,,,,,,,9.46875,-3.58984375,-3.09375,2.2265625,1.68359375,0.634765625,7.125,-3.43359375,-0.6796875,1.0
3543050,36.013023833333335,129.31899116666668,35.263229224823085,69.22014104432567,2.9000000000000004,19.0,,10.07421875,-2.3828125,-1.69140625,2.208984375,0.923828125,1.109375,7.6953125,-2.171875,0.69921875,1.0
3543051,,,,,,,,8.42578125,-0.359375,-1.8125,2.015625,0.443359375,1.40625,6.046875,-0.1015625,0.5859375,1.0
3543052,,,,,,,,7.33984375,0.3671875,-2.05859375,1.541015625,0.11328125,1.1640625,4.98046875,0.6640625,0.35546875,1.0
3543053,,,,,,,,6.11328125,1.2265625,-2.19921875,1.32421875,0.080078125,1.02734375,3.75390625,1.546875,0.23828125,1.0
