time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
3312040,36.013058,129.31896816666668,33.189791111899396,73.01124041646614,2.7,60.0,,16.04296875,-53.51953125,15.91796875,0.4375,-0.44140625,0.6640625,14.66015625,-62.859375,17.04296875,1.0
3312041,,,,,,,,9.328125,-25.265625,22.0859375,-0.50390625,-0.787109375,2.19140625,7.8046875,-34.59765625,23.2109375,1.0
3312042,,,,,,,,0.19921875,-3.765625,0.94140625,-0.3671875,-0.275390625,1.63671875,-1.50390625,-13.0625,2.02734375,1.0
3312043,,,,,,,,-6.96875,-8.76953125,-0.94140625,-1.154296875,0.017578125,-4.53125,-8.4375,-18.1171875,0.03515625,1.0
3312044,,,,,,,,-4.29296875,-12.0,2.36328125,0.16015625,-0.2109375,-3.169921875,-5.37109375,-21.4140625,3.29296875,1.0
3312045,,,,,,,,-2.60546875,-13.9296875,5.35546875,1.158203125,-0.337890625,0.140625,-3.53515625,-23.37109375,6.35546875,1.0
3312046,,,,,,,,-0.56640625,-12.69140625,4.9921875,1.2890625,-0.1171875,1.267578125,-1.58203125,-22.1015625,6.125,1.0
3312047,,,,,,,,2.36328125,-8.1484375,1.24609375,1.048828125,0.087890625,0.583984375,1.25390625,-17.55078125,2.48828125,1.0
3312048,,,,,,,,2.65625,-5.98046875,0.50390625,1.279296875,0.58203125,0.177734375,1.5234375,-15.359375,1.94921875,1.0
3312049,,,,,,,,2.88671875,-5.11328125,1.15234375,1.193359375,0.728515625,0.609375,1.71484375,-14.48046875,2.71484375,1.0
3312050,36.01305916666667,129.3189705,33.400137869244695,73.14069366306717,2.5,61.0,,3.9609375,-3.7890625,0.90625,0.96875,0.755859375,0.787109375,14.66015625,-62.859375,17.04296875,1.0
3312051,,,,,,,,4.7734375,-2.08203125,0.1015625,0.92578125,0.703125,0.7265625,3.4375,-11.41796875,1.8359375,1.0
3312052,,,,,,,,5.38671875,-0.3359375,-0.86328125,0.9140625,0.650390625,0.685546875,4.01171875,-9.66015625,0.91796875,1.0
3312053,,,,,,,,5.83203125,1.06640625,-1.6328125,0.904296875,0.4921875,0.703125,4.39453125,-8.234375,0.2265625,1.0
3312054,,,,,,,,5.91015625,1.75,-1.86328125,0.90625,0.40234375,0.779296875,4.43359375,-7.55078125,0.03515625,1.0
3312055,,,,,,,,5.31640625,7.53125,-1.15234375,0.443359375,0.0078125,1.080078125,3.66796875,-1.7265625,0.87890625,1.0
3312056,,,,,,,,5.06640625,9.30859375,-1.65234375,0.140625,-0.15234375,0.90234375,3.28125,0.07421875,0.41796875,1.0
3312057,,,,,,,,4.53125,11.1015625,-1.8984375,0.1015625,-0.177734375,0.82421875,2.71484375,1.875,0.1875,1.0
3312058,,,,,,,,3.98046875,13.078125,-2.36328125,0.044921875,-0.17578125,0.79296875,2.09765625,3.87109375,-0.26953125,1.0
3312059,,,,,,,,3.7890625,13.4140625,-2.6015625,-0.005859375,-0.169921875,0.83203125,1.8671875,4.2109375,-0.5,1.0
3312060,36.01305966666666,129.318973,33.6255097070882,73.19617414338559,2.5,64.0,,3.69921875,13.21484375,-3.140625,0.96875,0.755859375,0.787109375,1.71484375,4.015625,-1.0390625,1.0
3312061,,,,,,,,3.9296875,11.9375,-3.46875,-0.26953125,-0.169921875,0.970703125,1.8671875,2.76171875,-1.3828125,1.0
3312062,,,,,,,,4.4765625,9.578125,-3.421875,-0.515625,-0.181640625,1.140625,2.29296875,0.421875,-1.3828125,1.0
3312063,,,,,,,,4.875,8.0,-3.12890625,-0.716796875,-0.169921875,1.1875,2.63671875,-1.1484375,-1.11328125,1.0
3312064,,,,,,,,4.73828125,6.21875,-2.58984375,-1.16796875,-0.060546875,1.19921875,2.40234375,-2.91796875,-0.65234375,1.0
3312065,,,,,,,,3.64453125,5.9921875,-1.76953125,-1.63671875,0.099609375,0.982421875,1.21484375,-3.14453125,0.03515625,1.0
3312066,,,,,,,,2.40625,6.765625,-0.79296875,-2.09765625,0.25390625,0.533203125,-0.0859375,-2.375,0.83984375,1.0
3312067,,,,,,,,1.2421875,8.21484375,0.10546875,-2.357421875,0.337890625,-0.02734375,-1.2734375,-0.95703125,1.5234375,1.0
3312068,,,,,,,,1.15625,8.7265625,0.21484375,-2.310546875,0.365234375,-0.3125,-1.3515625,-0.4609375,1.52734375,1.0
3312069,,,,,,,,1.67578125,10.08203125,0.23046875,-1.39453125,0.388671875,-1.041015625,-0.73828125,0.83984375,1.2578125,1.0
3312070,36.013060833333334,129.31897566666666,33.86590605980103,73.32562751756656,2.6,66.0,,2.5078125,10.8828125,0.0234375,0.96875,0.755859375,0.787109375,1.71484375,4.015625,-1.0390625,1.0
3312071,,,,,,,,4.89453125,8.453125,2.01953125,-0.935546875,0.16015625,-1.634765625,2.8984375,-0.8828125,2.83203125,1.0
3312072,,,,,,,,3.98046875,5.49609375,1.66015625,-2.1328125,-0.02734375,-1.396484375,2.13671875,-3.8671875,2.33203125,1.0
3312073,,,,,,,,2.3828125,-8.84375,2.1015625,-3.015625,-0.00390625,-0.505859375,0.640625,-18.23828125,2.5234375,1.0
3312074,,,,,,,,0.0703125,-28.87890625,4.64453125,-2.0859375,0.298828125,1.271484375,-1.6953125,-38.265625,4.82421875,1.0
3312075,,,,,,,,-14.24609375,-39.796875,15.58984375,-1.76953125,-0.11328125,2.169921875,-16.17578125,-49.15234375,15.58984375,1.0
3312076,,,,,,,,-11.34765625,-28.0625,15.7734375,-1.568359375,-0.3984375,2.244140625,-13.37890625,-37.390625,15.703125,1.0
3312077,,,,,,,,0.77734375,-7.71875,1.90234375,-1.521484375,-0.876953125,1.302734375,-1.42578125,-17.0078125,1.72265625,1.0
3312078,,,,,,,,11.3046875,-9.4453125,-2.46484375,-1.896484375,-0.484375,-1.529296875,9.109375,-18.734375,-2.80078125,1.0
3312079,,,,,,,,13.46875,-11.375,-1.703125,-1.36328125,-0.236328125,-2.509765625,11.3671875,-20.69140625,-2.109375,1.0
3312080,36.01306183333334,129.31897833333332,34.10630247732641,73.43658769072532,2.6,67.0,,9.88671875,-11.25,3.5546875,-1.4375,0.05078125,-2.013671875,8.03515625,-20.61328125,3.0234375,1.0
3312081,,,,,,,,5.43359375,-11.6640625,5.671875,-3.111328125,-0.7421875,0.208984375,3.66796875,-21.03125,4.9375,1.0
3312082,,,,,,,,4.8359375,-11.01953125,4.48828125,-3.921875,-1.0,0.97265625,3.0546875,-20.375,3.63671875,1.0
3312083,,,,,,,,3.34375,-5.15625,0.37109375,-3.291015625,-1.59765625,0.076171875,1.40625,-14.41015625,-1.15234375,1.0
3312084,,,,,,,,1.0546875,-3.76171875,0.8828125,-2.92578125,-1.880859375,-0.12890625,-0.890625,-12.9453125,-1.0,1.0
3312085,,,,,,,,-0.31640625,-2.734375,2.12109375,-3.16796875,-1.97265625,0.333984375,-2.30859375,-11.87890625,-0.00390625,1.0
3312086,,,,,,,,-2.0,-0.859375,1.796875,-3.171875,-1.900390625,0.77734375,-4.0703125,-9.921875,-0.578125,1.0
3312087,,,,,,,,-2.328125,-0.2109375,1.37890625,-3.05859375,-1.810546875,0.859375,-4.453125,-9.234375,-1.11328125,1.0
3312088,,,,,,,,-2.59375,2.80078125,0.953125,-2.9140625,-1.5703125,0.908203125,-4.8359375,-6.12890625,-1.765625,1.0
3312089,,,,,,,,-2.42578125,4.0625,1.0625,-2.9453125,-1.42578125,0.95703125,-4.72265625,-4.83203125,-1.765625,1.0
3312090,36.01306216666667,129.3189808333333,34.33167437511038,73.47357498272194,2.6,70.0,,-1.53515625,7.8984375,1.71875,-2.9921875,-1.16015625,1.154296875,-3.95703125,-0.8828125,-1.34375,1.0
3312091,,,,,,,,-0.82421875,11.23046875,2.6796875,-2.958984375,-0.962890625,1.359375,-3.37890625,2.56640625,-0.6171875,1.0
3312092,,,,,,,,-0.484375,12.1015625,2.73828125,-2.744140625,-0.8203125,1.45703125,-3.1875,3.56640625,-0.76953125,1.0
3312093,,,,,,,,0.21484375,10.02734375,1.80078125,-1.58203125,-0.5859375,1.421875,-2.76953125,1.72265625,-2.03515625,1.0
3312094,,,,,,,,0.2734375,8.515625,1.66015625,-1.017578125,-0.5078125,1.625,-2.84765625,0.3046875,-2.26171875,1.0
3312095,,,,,,,,-0.09765625,3.91015625,2.48046875,-0.638671875,-0.392578125,2.078125,-3.37890625,-4.2109375,-1.49609375,1.0
3312096,,,,,,,,0.1171875,3.09765625,2.6171875,-0.5859375,-0.33984375,2.23046875,-3.265625,-4.98046875,-1.3828125,1.0
3312097,,,,,,,,0.71875,2.4609375,3.03125,-0.626953125,-0.240234375,2.333984375,-2.84375,-5.51953125,-1.0,1.0
3312098,,,,,,,,1.203125,2.75,3.31640625,-0.609375,-0.212890625,2.197265625,-2.4609375,-5.171875,-0.73046875,1.0
3312099,,,,,,,,4.35546875,5.96484375,4.42578125,-0.279296875,-0.23046875,1.10546875,0.48828125,-1.8359375,0.33984375,1.0
3312100,36.01306266666666,129.31898366666667,34.58709580541859,73.52905560506699,2.6,72.0,0.0,5.0390625,6.859375,4.42578125,-2.9921875,-1.16015625,1.154296875,-3.95703125,-0.8828125,-1.34375,1.0
3312101,,,,,,,,5.8125,8.30859375,4.16015625,0.041015625,-0.16796875,-0.46875,1.91015625,0.53515625,0.07421875,1.0
3312102,,,,,,,,5.828125,9.85546875,3.80859375,0.08984375,-0.15625,-0.888671875,1.9453125,2.0625,-0.26953125,1.0
3312103,,,,,,,,3.5390625,10.265625,4.375,-0.50390625,-0.1171875,-1.701171875,-0.125,2.37890625,0.3046875,1.0
3312104,,,,,,,,2.7421875,9.97265625,4.96484375,-0.890625,-0.12109375,-1.7265625,-0.8515625,2.0625,0.87890625,1.0
3312105,,,,,,,,1.18359375,8.9375,6.4453125,-1.8046875,-0.18359375,-1.625,-2.26953125,1.03125,2.2578125,1.0
3312106,,,,,,,,0.0703125,4.49609375,7.40625,-2.404296875,-0.40625,-1.14453125,-3.2265625,-3.328125,2.984375,1.0
3312107,,,,,,,,0.796875,0.625,6.91015625,-2.13671875,-0.4765625,-0.90625,-2.4609375,-7.1640625,2.41015625,1.0
3312108,,,,,,,,2.6875,-7.4375,8.12890625,-1.265625,-0.6796875,-0.255859375,-0.546875,-15.171875,3.51953125,1.0
3312109,,,,,,,,3.38671875,-14.75390625,9.5390625,-1.046875,-0.7890625,0.1171875,0.14453125,-22.4453125,4.8984375,1.0
3312110,36.013063,129.31898666666666,34.857542106049195,73.56604308951549,2.7,78.0,,3.83984375,-22.84765625,10.765625,-0.765625,-0.9453125,0.767578125,0.48828125,-30.45703125,6.0859375,1.0
3312111,,,,,,,,5.7265625,-30.40234375,12.1640625,-0.42578125,-0.76953125,0.607421875,2.2890625,-37.9609375,7.46875,1.0
3312112,,,,,,,,8.40234375,-27.88671875,12.61328125,-0.189453125,-0.60546875,0.431640625,4.93359375,-35.4296875,7.92578125,1.0
3312113,,,,,,,,3.3203125,-20.07421875,8.33984375,-0.736328125,-0.54296875,-0.646484375,-0.1640625,-27.62109375,3.67578125,1.0
3312114,,,,,,,,0.1640625,-19.5,6.71484375,-1.216796875,-0.5390625,-0.98046875,-3.3046875,-27.046875,2.02734375,1.0
3312115,,,,,,,,-2.171875,-20.86328125,7.92578125,-1.337890625,-0.69140625,-1.548828125,-5.5625,-28.38671875,3.17578125,1.0
3312116,,,,,,,,-2.48828125,-19.0546875,10.1796875,-1.00390625,-0.630859375,-1.63671875,-5.83203125,-26.58984375,5.3984375,1.0
3312117,,,,,,,,0.12890625,-14.53515625,7.60546875,0.408203125,-0.310546875,-1.228515625,-3.07421875,-22.14453125,2.83203125,1.0
3312118,,,,,,,,0.44140625,-9.3203125,6.77734375,0.54296875,-0.072265625,-1.57421875,-2.65234375,-17.0078125,2.06640625,1.0
3312119,,,,,,,,2.44140625,-4.90625,6.24609375,-0.298828125,0.15625,-1.130859375,-0.39453125,-12.72265625,1.56640625,1.0
3312120,36.01306316666667,129.31898950000001,35.112963678399154,73.58453731293476,2.6,83.0,,4.734375,-3.20703125,5.98046875,-0.326171875,0.2265625,-0.697265625,1.9453125,-11.03125,1.30078125,1.0
3312121,,,,,,,,7.5,-2.1640625,5.06640625,0.060546875,0.306640625,0.263671875,4.7421875,-10.0,0.37890625,1.0
3312122,,,,,,,,7.84375,-2.1171875,4.74609375,0.3671875,0.314453125,0.654296875,5.0859375,-9.96484375,0.07421875,1.0
3312123,,,,,,,,7.74609375,-1.98828125,4.27734375,0.673828125,0.27734375,1.201171875,4.93359375,-9.84765625,-0.34765625,1.0
3312124,,,,,,,,7.1328125,-1.55859375,4.078125,0.404296875,0.224609375,1.51171875,4.2421875,-9.42578125,-0.5,1.0
3312125,,,,,,,,6.76171875,-0.0703125,4.23046875,-0.095703125,0.05078125,1.70703125,3.70703125,-7.890625,-0.30859375,1.0
3312126,,,,,,,,6.8984375,0.44140625,4.19921875,-0.171875,-0.041015625,1.72265625,3.78125,-7.35546875,-0.34765625,1.0
3312127,,,,,,,,6.54296875,2.80078125,4.3359375,-0.166015625,-0.193359375,1.697265625,3.28515625,-4.94140625,-0.1953125,1.0
3312128,,,,,,,,6.3984375,3.55859375,4.3359375,-0.17578125,-0.30078125,1.58203125,3.015625,-4.1328125,-0.1953125,1.0
3312129,,,,,,,,6.4453125,3.80078125,4.40625,-0.23046875,-0.3203125,1.517578125,3.015625,-3.87109375,-0.1171875,1.0
3312130,36.013062,129.31899183333334,35.32331143539991,73.45508570645755,2.5,94.0,,6.3515625,4.375,4.671875,-0.326171875,0.2265625,-0.697265625,1.9453125,-11.03125,1.30078125,1.0
3312131,,,,,,,,5.71484375,5.8359375,4.66015625,-0.75390625,-0.23828125,1.083984375,2.01953125,-1.6875,0.11328125,1.0
3312132,,,,,,,,4.96484375,7.12890625,4.69140625,-0.916015625,-0.23828125,0.7734375,1.21484375,-0.34765625,0.11328125,1.0
3312133,,,,,,,,4.078125,8.44140625,4.453125,-0.984375,-0.208984375,0.60546875,0.296875,0.99609375,-0.15625,1.0
3312134,,,,,,,,3.56640625,9.16796875,4.078125,-1.220703125,-0.08984375,0.0,-0.23828125,1.80078125,-0.6171875,1.0
3312135,,,,,,,,3.46484375,9.51171875,3.3828125,-1.208984375,0.07421875,-0.337890625,-0.31640625,2.1796875,-1.3828125,1.0
