time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
3385500,36.013056666666664,129.318997,35.78908273288458,72.86330496274786,2.4000000000000004,350.0,0.0,-3.2734375,-4.671875,-6.04296875,0.431640625,0.658203125,0.630859375,-6.6015625,-4.8984375,-1.45703125,2.0
3385501,,,,,,,,-3.07421875,-3.9296875,-4.87109375,-0.408203125,-0.27734375,0.94140625,-6.3671875,-4.2109375,-0.26953125,2.0
3385502,,,,,,,,-2.8203125,-2.2578125,-4.2734375,-0.009765625,0.07421875,1.53125,-6.1015625,-2.5625,0.34375,2.0
3385503,,,,,,,,-2.20703125,0.40234375,-3.046875,0.408203125,0.259765625,1.509765625,-5.48828125,0.12109375,1.5703125,2.0
3385504,,,,,,,,-0.67578125,2.37890625,-3.23046875,0.697265625,0.23046875,1.23828125,-3.95703125,2.11328125,1.37890625,2.0
3385505,,,,,,,,0.12890625,2.8359375,-3.66015625,1.134765625,0.146484375,0.84375,-3.1484375,2.609375,0.95703125,2.0
3385506,,,,,,,,1.77734375,1.609375,-4.7421875,1.583984375,0.03125,0.455078125,-1.50390625,1.421875,-0.1171875,2.0
3385507,,,,,,,,2.57421875,0.4140625,-5.58203125,2.00390625,-0.001953125,0.181640625,-0.69921875,0.2734375,-0.95703125,2.0
3385508,,,,,,,,3.25390625,-1.2890625,-5.90625,2.333984375,-0.0703125,-0.0625,-0.01171875,-1.3359375,-1.265625,2.0
3385509,,,,,,,,2.85546875,-1.11328125,-5.22265625,2.197265625,-0.140625,-0.185546875,-0.39453125,-1.10546875,-0.57421875,2.0
3385510,36.01305833333333,129.31899533333333,35.63883394537192,73.04823642411547,2.3000000000000003,337.0,,2.41015625,-0.44921875,-4.47265625,0.431640625,0.658203125,0.630859375,-6.6015625,-4.8984375,-1.45703125,2.0
3385511,,,,,,,,1.65234375,1.3203125,-3.64453125,1.505859375,-0.23828125,-0.443359375,-1.54296875,1.421875,1.03515625,2.0
3385512,,,,,,,,1.5,1.58203125,-3.609375,1.48046875,-0.21875,-0.515625,-1.6953125,1.69140625,1.0703125,2.0
3385513,,,,,,,,1.0625,2.1015625,-3.1640625,1.6015625,-0.138671875,-0.689453125,-2.1171875,2.23046875,1.53125,2.0
3385514,,,,,,,,0.69921875,1.43359375,-2.671875,1.833984375,0.029296875,-0.76953125,-2.4609375,1.57421875,2.03125,2.0
3385515,,,,,,,,0.9296875,-2.78125,-1.9453125,2.125,0.216796875,-0.7890625,-2.234375,-2.6015625,2.7578125,2.0
3385516,,,,,,,,1.15234375,-5.37109375,-2.09765625,2.291015625,0.2890625,-0.763671875,-2.00390625,-5.1640625,2.60546875,2.0
3385517,,,,,,,,1.93359375,-12.6328125,-1.9296875,2.6328125,0.357421875,-0.546875,-1.23828125,-12.37109375,2.7578125,2.0
3385518,,,,,,,,11.703125,-37.3359375,2.59765625,2.775390625,0.1640625,-0.015625,8.53125,-37.0,7.27734375,2.0
3385519,,,,,,,,15.44921875,-50.453125,8.0390625,2.875,0.07421875,0.26171875,12.28515625,-50.0625,12.71875,2.0
3385520,36.01306066666667,129.31899416666664,35.53365927094046,73.30714089838676,2.6,336.0,,24.828125,-52.234375,16.65625,2.810546875,0.08984375,-0.099609375,21.671875,-51.75,21.3359375,2.0
3385521,,,,,,,,11.2265625,-19.54296875,-0.46484375,2.455078125,0.220703125,-0.56640625,8.0703125,-18.9921875,4.21484375,2.0
3385522,,,,,,,,0.82421875,-22.41015625,-2.6953125,1.92578125,0.2265625,-3.583984375,-2.34765625,-21.83203125,1.953125,2.0
3385523,,,,,,,,0.3046875,-26.14453125,2.515625,1.146484375,0.658203125,-2.806640625,-2.8828125,-25.66015625,7.1640625,2.0
3385524,,,,,,,,5.23828125,-27.6875,3.48828125,3.125,1.005859375,-0.1171875,2.01953125,-27.19921875,8.12109375,2.0
3385525,,,,,,,,9.40625,-25.09765625,1.6953125,4.13671875,1.236328125,0.220703125,6.15625,-24.46875,6.28125,2.0
3385526,,,,,,,,8.74609375,-23.8359375,0.5390625,4.01171875,1.306640625,-0.2265625,5.46484375,-23.1328125,5.09375,2.0
3385527,,,,,,,,7.828125,-20.97265625,-1.21484375,3.234375,1.5234375,-0.59765625,4.5078125,-20.18359375,3.29296875,2.0
3385528,,,,,,,,8.3046875,-19.59765625,-0.96875,3.279296875,1.94140625,-0.107421875,4.890625,-18.6875,3.4453125,2.0
3385529,,,,,,,,8.03125,-16.9765625,-1.4921875,3.333984375,2.1171875,-0.0234375,4.546875,-15.97265625,2.8359375,2.0
3385530,36.01306233333333,129.31899233333334,35.368385694012396,73.49207230176773,2.3000000000000003,328.0,,7.6796875,-12.96484375,-3.9453125,2.810546875,0.08984375,-0.099609375,4.125,-11.87109375,0.3046875,2.0
3385531,,,,,,,,7.859375,-12.19921875,-4.2421875,2.974609375,2.224609375,0.0390625,4.46875,-9.34375,-0.26953125,2.0
3385532,,,,,,,,8.1328125,-10.5546875,-4.38671875,2.83203125,2.21484375,0.1875,4.77734375,-7.921875,0.0,2.0
3385533,,,,,,,,8.89453125,-8.70703125,-3.83984375,2.62109375,2.046875,0.47265625,5.12109375,-6.7734375,0.07421875,2.0
3385534,,,,,,,,8.94921875,-7.33203125,-4.0234375,2.568359375,1.80078125,0.6640625,5.27734375,-5.16796875,-0.23046875,2.0
