time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
3312400,36.013015,129.3189751666667,33.82085123377905,68.2399954019052,2.9000000000000004,235.0,0.0,0.70703125,4.5078125,2.4453125,1.5546875,-0.111328125,-0.24609375,-5.21875,-9.765625,0.80078125,1.0
3312401,,,,,,,,1.67578125,-16.98828125,5.62109375,1.662109375,0.013671875,1.05078125,-1.54296875,-20.87890625,3.17578125,1.0
3312402,,,,,,,,6.18359375,-14.96484375,6.1796875,1.421875,0.162109375,0.765625,2.94140625,-18.92578125,3.8671875,1.0
3312403,,,,,,,,8.05859375,-13.20703125,5.765625,1.291015625,0.322265625,0.3828125,4.81640625,-17.1953125,3.484375,1.0
3312404,,,,,,,,8.6484375,-11.5390625,4.94140625,1.1796875,0.591796875,-0.130859375,5.4296875,-15.59375,2.71484375,1.0
3312405,,,,,,,,7.30859375,-8.5078125,4.734375,0.8984375,0.74609375,-0.115234375,4.12890625,-12.640625,2.5625,1.0
3312406,,,,,,,,6.546875,-6.921875,4.90234375,0.421875,0.75,0.21484375,3.3984375,-11.109375,2.75390625,1.0
3312407,,,,,,,,6.03515625,-5.421875,3.53125,0.322265625,0.50390625,0.43359375,2.90234375,-9.65625,1.4140625,1.0
3312408,,,,,,,,5.98828125,-4.09375,2.6796875,0.427734375,0.39453125,0.4296875,2.86328125,-8.3515625,0.5703125,1.0
3312409,,,,,,,,5.98828125,-0.8359375,1.8359375,0.587890625,0.20703125,0.478515625,2.86328125,-5.1328125,-0.234375,1.0
3312410,36.013014,129.3189725,33.580454666042755,68.12903523617693,2.8000000000000003,240.0,,5.8046875,2.79296875,1.97265625,1.5546875,-0.111328125,-0.24609375,2.671875,-1.53515625,-0.04296875,1.0
3312411,,,,,,,,5.55859375,5.36328125,2.28515625,0.076171875,-0.33203125,0.90234375,2.40234375,0.99609375,0.33984375,1.0
3312412,,,,,,,,5.32421875,8.16796875,2.72265625,-0.390625,-0.416015625,0.896484375,2.13671875,3.7890625,0.80078125,1.0
3312413,,,,,,,,5.35546875,9.19921875,2.59375,-0.763671875,-0.470703125,0.732421875,2.13671875,4.82421875,0.6875,1.0
3312414,,,,,,,,5.5625,9.765625,1.828125,-0.818359375,-0.51171875,0.55078125,2.328125,5.40234375,-0.078125,1.0
3312415,,,,,,,,6.265625,7.859375,0.73828125,-0.611328125,-0.525390625,0.40625,3.015625,3.48828125,-1.15234375,1.0
3312416,,,,,,,,6.89453125,4.234375,0.01953125,-0.341796875,-0.451171875,0.41015625,3.62890625,-0.15625,-1.83984375,1.0
3312417,,,,,,,,6.7890625,1.67578125,0.1953125,-0.388671875,-0.357421875,0.59375,3.515625,-2.72265625,-1.6484375,1.0
3312418,,,,,,,,5.203125,0.7578125,1.10546875,-0.80078125,-0.279296875,0.765625,1.90625,-3.64453125,-0.73046875,1.0
3312419,,,,,,,,3.578125,1.04296875,2.27734375,-1.505859375,-0.197265625,0.6875,0.2578125,-3.33203125,0.41796875,1.0
3312420,36.01301283333333,129.31896966666667,33.3250333549981,67.99958181518465,2.8000000000000003,242.0,,1.77734375,1.8125,4.78515625,-2.234375,-0.01171875,0.162109375,-1.54296875,-2.53125,2.828125,1.0
3312421,,,,,,,,1.87890625,3.37109375,6.3125,-2.107421875,0.134765625,-0.341796875,-1.42578125,-0.95703125,4.2890625,1.0
3312422,,,,,,,,2.97265625,4.80078125,6.49609375,-1.626953125,0.19140625,-0.876953125,-0.27734375,0.45703125,4.3984375,1.0
3312423,,,,,,,,4.703125,6.16796875,6.17578125,-1.341796875,0.169921875,-1.150390625,1.484375,1.80078125,4.0546875,1.0
3312424,,,,,,,,5.7734375,6.93359375,5.75390625,-1.0234375,0.0625,-1.60546875,2.6328125,2.52734375,3.59765625,1.0
3312425,,,,,,,,5.45703125,3.1875,4.484375,-1.490234375,-0.123046875,-1.701171875,2.3984375,-1.265625,2.296875,1.0
3312426,,,,,,,,5.52734375,-3.63671875,3.47265625,-2.111328125,-0.208984375,-1.048828125,2.55859375,-8.12109375,1.22265625,1.0
3312427,,,,,,,,2.96484375,-27.08984375,4.80859375,-2.068359375,0.00390625,0.44140625,0.02734375,-31.56640625,2.48828125,1.0
3312428,,,,,,,,-6.640625,-46.99609375,15.7265625,-1.578125,0.189453125,1.400390625,-9.5859375,-51.4453125,13.3671875,1.0
3312429,,,,,,,,-17.21875,-49.9375,18.30859375,-1.841796875,-0.154296875,2.37109375,-20.234375,-54.32421875,15.89453125,1.0
3312430,36.0130115,129.31896700000001,33.08463691844092,67.8516352504675,2.9000000000000004,239.0,,-4.70703125,-20.40625,8.80859375,-1.330078125,-0.625,2.337890625,-7.82421875,-24.71484375,6.35546875,1.0
3312431,,,,,,,,7.18359375,-16.65234375,2.95703125,-2.384765625,-0.578125,-1.263671875,4.01171875,-20.9140625,0.45703125,1.0
3312432,,,,,,,,15.57421875,-17.546875,2.296875,-1.630859375,-0.197265625,-2.2890625,12.44140625,-21.8359375,-0.234375,1.0
3312433,,,,,,,,15.6796875,-16.89453125,5.74609375,-1.36328125,-0.01171875,-2.10546875,12.671875,-21.2578125,3.17578125,1.0
3312434,,,,,,,,8.26171875,-17.29296875,8.16015625,-3.400390625,-0.583984375,-0.421875,5.31640625,-21.68359375,5.51171875,1.0
3312435,,,,,,,,6.0078125,-16.71875,3.828125,-4.609375,-0.890625,0.47265625,3.0546875,-21.03125,1.03125,1.0
3312436,,,,,,,,5.7109375,-14.58203125,1.71484375,-4.3359375,-1.0234375,0.359375,2.75,-18.84765625,-1.15234375,1.0
3312437,,,,,,,,5.08984375,-12.30859375,1.671875,-3.205078125,-1.361328125,0.0625,2.09765625,-16.47265625,-1.34375,1.0
3312438,,,,,,,,2.28515625,-10.140625,3.05078125,-3.109375,-1.556640625,0.39453125,-0.73828125,-14.25390625,-0.04296875,1.0
3312439,,,,,,,,1.20703125,-9.9453125,3.7421875,-3.19921875,-1.62890625,0.576171875,-1.84765625,-14.02734375,0.609375,1.0
3312440,36.013010666666666,129.31896433333335,32.8442402662221,67.75916831386424,2.6,242.0,,-4.70703125,-20.40625,8.80859375,-3.4375,-1.6015625,0.705078125,-4.53125,-12.1015625,0.80078125,1.0
3312441,,,,,,,,-2.19921875,-6.66015625,2.828125,-3.2421875,-1.44921875,0.47265625,-5.71875,-9.92578125,-1.0390625,1.0
3312442,,,,,,,,-2.8359375,-5.12890625,1.9765625,-3.13671875,-1.27734375,0.330078125,-6.17578125,-7.890625,-1.7265625,1.0
3312443,,,,,,,,-3.0859375,-0.56640625,1.05859375,-3.10546875,-0.9296875,0.546875,-6.37109375,-3.296875,-2.30078125,1.0
3312444,,,,,,,,-2.3984375,1.9921875,1.7890625,-3.044921875,-0.751953125,0.880859375,-5.30078125,-0.8046875,-1.49609375,1.0
3312445,,,,,,,,-1.546875,3.5078125,2.296875,-2.83203125,-0.638671875,1.1796875,-4.56640625,0.7265625,-1.15234375,1.0
3312446,,,,,,,,-0.38671875,5.51171875,2.87109375,-2.3828125,-0.66015625,1.373046875,-3.80078125,2.06640625,-0.84765625,1.0
