time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4226280,36.01350216666666,129.31965283333332,94.91115173787408,122.29608924303135,4.3,226.0,,7.6015625,-14.90234375,3.53515625,0.0,0.861328125,0.572265625,6.4140625,-25.54296875,8.50390625,1.0
4226281,,,,,,,,6.5859375,-17.73828125,5.3359375,-0.193359375,-1.41796875,0.28515625,4.5390625,-22.66796875,7.46875,1.0
4226282,,,,,,,,3.2578125,-9.25,1.3203125,-0.412109375,-0.427734375,-2.435546875,2.7734375,-17.76953125,5.015625,1.0
4226283,,,,,,,,2.62890625,-7.546875,-0.15625,-0.19140625,-0.58984375,-3.455078125,2.23828125,-16.078125,3.5234375,1.0
4226284,,,,,,,,-0.42578125,-4.84375,-2.80859375,-1.37890625,-0.125,-2.701171875,-0.51953125,-13.3984375,0.83984375,1.0
4226285,,,,,,,,-2.30859375,-3.27734375,-1.30859375,-3.146484375,-0.39453125,0.73828125,-2.16796875,-11.94140625,2.10546875,1.0
4226286,,,,,,,,-3.41015625,-2.6953125,-0.20703125,-3.361328125,-0.77734375,1.521484375,-3.35546875,-11.484375,2.91015625,1.0
4226287,,,,,,,,-4.08203125,-1.56640625,-0.48046875,-2.63671875,-1.14453125,0.3203125,-4.08203125,-10.4453125,2.37109375,1.0
4226288,,,,,,,,-4.6015625,-0.30859375,-0.5234375,-2.4609375,-1.3984375,-0.19140625,-4.578125,-9.22265625,2.21875,1.0
4226289,,,,,,,,-6.0,5.6328125,-0.9765625,-2.755859375,-1.859375,0.119140625,-5.8828125,-3.3984375,1.4140625,1.0
4226290,36.01349966666667,129.31964950000003,94.61066034194462,122.01868787548234,4.0,227.0,,-6.11328125,8.421875,-1.40625,-2.71875,-1.9765625,0.837890625,6.4140625,-25.54296875,8.50390625,1.0
4226291,,,,,,,,-5.34765625,11.6953125,-2.59765625,-2.3359375,-1.955078125,0.91796875,-5.265625,2.5390625,-0.69140625,1.0
4226292,,,,,,,,-4.88671875,12.23046875,-2.9609375,-2.41015625,-1.599609375,0.3828125,-4.84375,2.99609375,-1.3828125,1.0
4226293,,,,,,,,-4.41796875,11.265625,-3.0,-2.525390625,-1.271484375,0.146484375,-4.38671875,2.0,-1.6484375,1.0
4226294,,,,,,,,-4.42578125,10.41796875,-2.875,-2.4375,-1.00390625,0.0,-4.3828125,1.12109375,-1.765625,1.0
4226295,,,,,,,,-4.47265625,8.1875,-2.65625,-2.24609375,-0.826171875,0.015625,-4.421875,-1.140625,-1.765625,1.0
4226296,,,,,,,,-4.328125,7.5,-2.5625,-2.083984375,-0.77734375,0.0546875,-4.27734375,-1.828125,-1.765625,1.0
4226297,,,,,,,,-2.52734375,6.25,-1.953125,-1.634765625,-0.755859375,0.130859375,-2.47265625,-3.09375,-1.34375,1.0
4226298,,,,,,,,-0.08984375,7.29296875,-0.70703125,-1.08984375,-0.728515625,0.267578125,-0.05859375,-2.0546875,-0.23046875,1.0
4226299,,,,,,,,0.68359375,7.90625,-0.36328125,-0.806640625,-0.685546875,0.34375,0.70703125,-1.4453125,0.07421875,1.0
4226300,36.0134975,129.319646,94.29514380550641,121.77827277210133,3.9000000000000004,229.0,0.0,1.640625,9.015625,0.3828125,-2.71875,-1.9765625,0.837890625,6.4140625,-25.54296875,8.50390625,1.0
4226301,,,,,,,,1.14453125,10.85546875,0.3828125,0.185546875,-0.630859375,0.55859375,1.08984375,1.50390625,0.765625,1.0
4226302,,,,,,,,0.2890625,11.7265625,-0.25390625,0.55859375,-0.6640625,0.611328125,0.171875,2.38671875,0.15234375,1.0
4226303,,,,,,,,-0.2265625,12.140625,-0.5546875,0.74609375,-0.677734375,0.599609375,-0.3671875,2.80859375,-0.1171875,1.0
4226304,,,,,,,,-1.390625,12.47265625,-1.63671875,0.953125,-0.791015625,0.337890625,-1.59375,3.1484375,-1.07421875,1.0
