time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
685800,36.012979666666666,129.318858,23.25841895647246,64.31940121625932,0.9,59.0,0.0,1.0234375,3.44140625,-0.0390625,0.31640625,-0.423828125,0.201171875,1.30859375,-6.203125,0.62109375
685801,,,,,,,,1.3125,3.515625,0.1796875,0.333984375,-0.376953125,0.201171875,1.53515625,-6.39453125,0.6953125
685802,,,,,,,,1.828125,3.1328125,-0.02734375,0.318359375,-0.3046875,0.212890625,1.921875,-6.69921875,0.46484375
685803,,,,,,,,2.00390625,2.7421875,-0.25,0.27734375,-0.23046875,0.234375,2.03515625,-6.96875,0.3515625
685804,,,,,,,,1.94921875,2.3203125,-0.2578125,0.25390625,-0.13671875,0.23046875,1.95703125,-7.390625,0.390625
685805,,,,,,,,1.78125,2.015625,-0.12890625,0.28515625,-0.1171875,0.220703125,1.765625,-7.69921875,0.54296875
685806,,,,,,,,1.59765625,1.81640625,-0.015625,0.302734375,-0.099609375,0.224609375,1.57421875,-7.8828125,0.6953125
685807,,,,,,,,1.27734375,1.5078125,0.26953125,0.2578125,-0.080078125,0.201171875,1.23046875,-8.1953125,1.00390625
685808,,,,,,,,1.0625,1.26953125,0.390625,0.193359375,-0.041015625,0.177734375,1.0,-8.421875,1.15625
685809,,,,,,,,0.96484375,1.30859375,0.3671875,0.123046875,0.0390625,0.15625,0.88671875,-8.3828125,1.15625
685810,36.01298033333333,129.31885916666667,23.363592489022658,64.393374322575,1.1,56.0,,0.94140625,1.4609375,0.16796875,0.31640625,-0.423828125,0.201171875,0.84765625,-8.23828125,0.96484375
685811,,,,,,,,0.98828125,1.4921875,-0.1484375,0.076171875,0.1640625,0.11328125,0.88671875,-8.19921875,0.65625
685812,,,,,,,,1.0625,1.453125,-0.390625,0.08203125,0.1875,0.10546875,0.9609375,-8.23828125,0.4296875
685813,,,,,,,,1.0703125,1.33984375,-0.4296875,0.08984375,0.18359375,0.103515625,0.9609375,-8.34765625,0.390625
685814,,,,,,,,0.88671875,1.1328125,-0.53125,0.150390625,0.138671875,0.087890625,0.76953125,-8.5390625,0.3125
685815,,,,,,,,0.8203125,0.98828125,-0.46875,0.1875,0.1015625,0.076171875,0.6953125,-8.6875,0.390625
685816,,,,,,,,0.703125,0.6328125,-0.33984375,0.20703125,0.076171875,0.0703125,0.578125,-9.0390625,0.54296875
685817,,,,,,,,0.7890625,0.3671875,-0.0859375,0.181640625,0.072265625,0.076171875,0.65625,-9.30859375,0.8125
685818,,,,,,,,0.84375,0.20703125,-0.06640625,0.166015625,0.07421875,0.078125,0.6953125,-9.453125,0.84765625
685819,,,,,,,,1.1796875,-0.0625,0.02734375,0.125,0.09375,0.076171875,1.0390625,-9.7265625,0.96484375
685820,36.012980666666664,129.31885983333333,23.423691662123623,64.430360896585,1.0,53.0,,1.5703125,-0.37890625,-0.09765625,0.31640625,-0.423828125,0.201171875,1.421875,-10.03125,0.84765625
685821,,,,,,,,1.73046875,-0.60546875,-0.2578125,0.080078125,0.12109375,0.091796875,1.57421875,-10.2578125,0.6953125
685822,,,,,,,,1.578125,-0.796875,-0.46484375,0.072265625,0.126953125,0.107421875,1.421875,-10.453125,0.50390625
685823,,,,,,,,1.5546875,-0.84375,-0.6640625,0.06640625,0.1328125,0.1328125,1.3828125,-10.49609375,0.3125
685824,,,,,,,,1.53125,-1.11328125,-0.640625,0.046875,0.1484375,0.171875,1.34375,-10.76171875,0.3515625
685825,,,,,,,,1.203125,-1.37890625,-0.1796875,0.01171875,0.197265625,0.185546875,1.0,-11.0234375,0.8125
685826,,,,,,,,0.9453125,-1.3125,0.0859375,0.0078125,0.2265625,0.177734375,0.734375,-10.953125,1.078125
685827,,,,,,,,0.26953125,-1.04296875,0.59375,-0.01171875,0.26953125,0.162109375,0.04296875,-10.6796875,1.578125
685828,,,,,,,,0.24609375,-0.66015625,0.8515625,-0.05859375,0.263671875,0.166015625,0.00390625,-10.296875,1.84375
685829,,,,,,,,0.68359375,-0.66015625,0.67578125,-0.125,0.2890625,0.140625,0.42578125,-10.30078125,1.65234375
685830,36.01298083333334,129.31886,23.438716431009865,64.44885414367512,0.6000000000000001,51.0,,0.8828125,-1.6171875,0.0703125,0.31640625,-0.423828125,0.201171875,1.421875,-10.03125,0.84765625
685831,,,,,,,,0.5859375,-2.34765625,0.125,-0.146484375,0.486328125,0.08984375,0.3125,-11.984375,1.078125
685832,,,,,,,,0.484375,-2.921875,0.171875,-0.056640625,0.498046875,0.09375,0.1953125,-12.56640625,1.1171875
685833,,,,,,,,0.484375,-3.02734375,0.5546875,-0.021484375,0.458984375,0.09765625,0.1953125,-12.67578125,1.5
685834,,,,,,,,-0.08203125,-3.83984375,1.3203125,-0.072265625,0.365234375,0.13671875,-0.37890625,-13.4765625,2.265625
685835,,,,,,,,-1.58203125,-4.18359375,2.31640625,-0.541015625,0.28515625,0.248046875,-1.91015625,-13.8203125,3.22265625
685836,,,,,,,,-2.671875,-2.60546875,4.01953125,-0.591796875,0.39453125,0.197265625,-3.0234375,-12.25,4.87109375
685837,,,,,,,,-2.1953125,-1.10546875,4.83984375,-0.47265625,0.45703125,0.15234375,-2.5625,-10.7578125,5.63671875
685838,,,,,,,,-1.3359375,-0.5703125,4.0234375,-0.439453125,0.5390625,0.14453125,-1.71875,-10.2265625,4.796875
685839,,,,,,,,-0.33203125,-0.67578125,2.796875,-0.486328125,0.759765625,0.1328125,-0.72265625,-10.33984375,3.53125
685840,36.01298166666666,129.31886033333333,23.468765821969804,64.54132025781317,0.9,36.0,,1.18359375,-0.9375,2.3671875,-0.408203125,0.8359375,0.13671875,1.421875,-10.03125,0.84765625
685841,,,,,,,,1.4609375,-0.8203125,2.22265625,-0.189453125,0.80078125,0.107421875,1.0390625,-10.4921875,2.87890625
685842,,,,,,,,1.1015625,-0.4375,1.82421875,0.3515625,0.2578125,0.14453125,0.65625,-10.109375,2.49609375
685843,,,,,,,,0.87890625,-0.36328125,1.6953125,0.380859375,0.13671875,0.162109375,0.42578125,-10.03125,2.3828125
685844,,,,,,,,-0.66796875,-0.67578125,2.359375,0.166015625,0.2890625,0.130859375,-1.14453125,-10.3359375,3.109375
685845,,,,,,,,-1.47265625,-1.09765625,2.8515625,0.18359375,0.416015625,0.09375,-1.94921875,-10.76171875,3.609375
685846,,,,,,,,-1.53515625,-1.13671875,2.7109375,0.271484375,0.5546875,0.03125,-2.02734375,-10.80078125,3.4921875
685847,,,,,,,,-1.34375,-0.67578125,1.875,0.27734375,0.57421875,-0.0546875,-1.8359375,-10.33984375,2.6875
685848,,,,,,,,-1.2265625,-0.484375,1.59375,0.224609375,0.57421875,-0.103515625,-1.71875,-10.1484375,2.421875
685849,,,,,,,,-0.9375,0.3671875,1.1171875,0.08984375,0.509765625,-0.177734375,-1.4140625,-9.30859375,1.9609375
685850,36.01298233333333,129.318861,23.52886489472887,64.61529324616797,1.0,36.0,,-0.78125,0.55859375,0.9921875,-0.408203125,0.8359375,0.13671875,1.421875,-10.03125,0.84765625
685851,,,,,,,,-0.15625,1.28515625,0.53515625,-0.001953125,0.2890625,-0.234375,-0.609375,-8.38671875,1.38671875
685852,,,,,,,,0.05078125,1.59375,0.3828125,0.04296875,0.076171875,-0.24609375,-0.37890625,-8.08203125,1.234375
685853,,,,,,,,0.296875,2.015625,0.1640625,0.095703125,-0.029296875,-0.2265625,-0.109375,-7.66015625,1.0390625
685854,,,,,,,,0.33984375,2.2890625,-0.04296875,0.119140625,-0.0625,-0.150390625,-0.03515625,-7.39453125,0.84765625
685855,,,,,,,,0.515625,2.58984375,-0.2109375,0.12109375,-0.0390625,-0.111328125,0.15625,-7.08203125,0.6953125
685856,,,,,,,,0.38671875,2.85546875,-0.5859375,0.083984375,-0.01953125,-0.087890625,0.04296875,-6.81640625,0.3515625
685857,,,,,,,,-0.15625,2.93359375,-0.671875,0.083984375,0.013671875,-0.091796875,-0.4921875,-6.73828125,0.2734375
685858,,,,,,,,-0.78515625,2.78125,-0.44921875,0.103515625,0.021484375,-0.119140625,-1.10546875,-6.89453125,0.50390625
685859,,,,,,,,-1.13671875,2.625,-0.35546875,0.115234375,0.013671875,-0.1484375,-1.44921875,-7.05078125,0.62109375
