time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4797320,36.013393666666666,129.31953633333333,84.40898863835493,110.25690343352025,1.1,240.0,,0.35546875,0.078125,-0.71484375,0.08984375,0.578125,-0.015625,1.46484375,-9.2109375,1.01953125,1.0
4797321,,,,,,,,0.171875,0.0,-0.76953125,0.04296875,0.59375,-0.0078125,1.19921875,-9.2890625,0.9453125,1.0
4797322,,,,,,,,0.05859375,-0.0078125,-0.8515625,0.017578125,0.595703125,0.0,1.08203125,-9.359375,0.9453125,1.0
4797323,,,,,,,,-0.3203125,-0.2734375,-0.9375,-0.0546875,0.56640625,0.01171875,0.66015625,-9.82421875,0.98046875,1.0
4797324,,,,,,,,-0.53125,-0.7734375,-0.69921875,-0.203125,0.42578125,-0.021484375,0.4296875,-10.32421875,1.55859375,1.0
4797325,,,,,,,,-0.75390625,-0.99609375,-0.0703125,-0.25390625,0.359375,-0.048828125,0.31640625,-9.98046875,1.90234375,1.0
4797326,,,,,,,,-0.78515625,-0.6875,0.13671875,-0.26171875,0.30859375,-0.05859375,0.39453125,-9.7421875,1.82421875,1.0
4797327,,,,,,,,-0.5625,-0.19140625,0.0,-0.248046875,0.22265625,-0.078125,0.77734375,-9.3203125,1.6328125,1.0
4797328,,,,,,,,0.05078125,0.0078125,-0.24609375,-0.265625,0.16015625,-0.091796875,1.3125,-9.59375,1.328125,1.0
4797329,,,,,,,,0.203125,-0.296875,-0.390625,-0.3203125,0.15625,-0.095703125,1.46484375,-10.09375,1.25,1.0
4797330,36.01339316666667,129.31953516666667,84.30381599204306,110.20142279909432,1.1,240.0,,0.5390625,-1.40625,-0.48828125,0.08984375,0.578125,-0.015625,1.6953125,-12.1171875,1.2109375,1.0
4797331,,,,,,,,0.5234375,-3.35546875,-0.234375,-0.775390625,0.119140625,-0.109375,1.65625,-13.00390625,1.6328125,1.0
4797332,,,,,,,,0.44140625,-3.68359375,1.18359375,-0.8671875,0.091796875,-0.130859375,1.58203125,-13.0,2.70703125,1.0
4797333,,,,,,,,0.0859375,-3.828125,2.1328125,-0.79296875,0.16796875,-0.150390625,1.234375,-13.15625,3.5859375,1.0
4797334,,,,,,,,-0.7265625,-5.23046875,1.4765625,-0.705078125,0.1796875,-0.138671875,0.4296875,-14.5703125,2.859375,1.0
4797335,,,,,,,,-1.0078125,-3.9296875,2.3828125,-0.669921875,0.1015625,-0.107421875,0.1640625,-13.27734375,3.703125,1.0
4797336,,,,,,,,-0.94140625,-1.390625,2.046875,-0.322265625,0.1875,-0.119140625,0.23828125,-10.74609375,3.3203125,1.0
4797337,,,,,,,,-0.87109375,-0.6640625,1.6796875,0.05859375,0.39453125,-0.134765625,0.31640625,-10.015625,2.9375,1.0
4797338,,,,,,,,-0.83984375,-0.6640625,1.6640625,0.07421875,0.568359375,-0.125,0.62109375,-10.24609375,3.08984375,1.0
4797339,,,,,,,,0.0390625,-1.57421875,2.10546875,-0.083984375,0.64453125,-0.142578125,1.234375,-10.9296875,3.39453125,1.0
4797340,36.0133925,129.319534,84.19864352084258,110.12744895826427,1.2000000000000002,241.0,,1.05859375,-2.2265625,2.11328125,-0.150390625,0.630859375,-0.20703125,2.26953125,-11.58984375,3.39453125,1.0
4797341,,,,,,,,1.234375,-2.41796875,2.046875,-0.1484375,0.646484375,-0.26171875,2.4609375,-11.77734375,3.3203125,1.0
4797342,,,,,,,,1.13671875,-2.08203125,1.69140625,-0.013671875,0.765625,-0.31640625,2.38671875,-11.4296875,2.97265625,1.0
4797343,,,,,,,,0.7421875,-1.61328125,1.53125,0.03515625,0.80859375,-0.345703125,2.0,-10.96875,2.8203125,1.0
4797344,,,,,,,,0.26171875,-1.046875,1.5546875,0.107421875,0.91796875,-0.40234375,1.54296875,-10.3984375,2.859375,1.0
