time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4749640,36.01341083333333,129.31949816666665,80.96830564838136,112.16167149053699,1.0,193.0,,-0.51171875,1.96484375,-0.546875,-0.05078125,-0.66015625,-0.013671875,0.77734375,-8.87109375,3.2421875,1.0
4749641,,,,,,,,-0.66015625,1.92578125,-0.69921875,0.041015625,-0.326171875,-0.232421875,0.66015625,-7.37109375,1.05859375,1.0
4749642,,,,,,,,-0.890625,1.80078125,-0.890625,0.08203125,-0.318359375,-0.1953125,0.46875,-7.48828125,0.8671875,1.0
4749643,,,,,,,,-1.02734375,1.6484375,-0.96875,0.072265625,-0.341796875,-0.1640625,0.35546875,-7.640625,0.7890625,1.0
4749644,,,,,,,,-1.12890625,1.2578125,-0.8984375,0.056640625,-0.35546875,-0.126953125,0.27734375,-8.0234375,0.8671875,1.0
4749645,,,,,,,,-1.21875,0.98046875,-0.78515625,0.060546875,-0.388671875,-0.09375,0.203125,-8.29296875,0.98046875,1.0
4749646,,,,,,,,-1.15234375,0.828125,-0.859375,0.064453125,-0.396484375,-0.076171875,0.27734375,-8.44921875,0.90625,1.0
4749647,,,,,,,,-1.20703125,0.63671875,-0.859375,0.083984375,-0.40625,-0.037109375,0.23828125,-8.6328125,0.90625,1.0
4749648,,,,,,,,-1.17578125,0.55859375,-0.8671875,0.111328125,-0.41015625,0.001953125,0.27734375,-8.7109375,0.90625,1.0
4749649,,,,,,,,-1.09765625,0.63671875,-0.8671875,0.146484375,-0.41015625,0.037109375,0.35546875,-8.63671875,0.90625,1.0
4749650,36.013409833333334,129.31949799999998,80.95328193456872,112.05071210268088,1.0,192.0,,-0.953125,0.70703125,-0.9609375,0.185546875,-0.42578125,0.07421875,0.5078125,-8.55859375,0.828125,1.0
4749651,,,,,,,,-0.875,0.8515625,-0.9765625,0.20703125,-0.421875,0.091796875,0.5859375,-8.40625,0.828125,1.0
4749652,,,,,,,,-0.80078125,0.890625,-1.05859375,0.212890625,-0.421875,0.1015625,0.66015625,-8.37109375,0.75390625,1.0
4749653,,,,,,,,-0.72265625,0.84375,-1.12109375,0.203125,-0.4140625,0.1171875,0.73828125,-8.41015625,0.71484375,1.0
4749654,,,,,,,,-0.640625,0.73046875,-1.08984375,0.185546875,-0.416015625,0.119140625,0.8125,-8.515625,0.75390625,1.0
4749655,,,,,,,,-0.640625,0.8046875,-1.14453125,0.15234375,-0.4375,0.109375,0.8125,-8.4453125,0.71484375,1.0
4749656,,,,,,,,-0.6015625,0.84375,-1.18359375,0.13671875,-0.44921875,0.10546875,0.8515625,-8.40625,0.67578125,1.0
4749657,,,,,,,,-0.6015625,0.8359375,-1.10546875,0.1171875,-0.45703125,0.095703125,0.8515625,-8.41015625,0.75390625,1.0
4749658,,,,,,,,-0.6015625,0.68359375,-1.0703125,0.1015625,-0.470703125,0.09375,0.8515625,-8.55859375,0.7890625,1.0
4749659,,,,,,,,-0.6015625,0.56640625,-1.03125,0.083984375,-0.470703125,0.08203125,0.8515625,-8.67578125,0.828125,1.0
4749660,36.01340883333333,129.31949799999998,80.95328295713804,111.93975285343456,1.0,191.0,,-0.41015625,0.0703125,-0.87890625,0.01171875,-0.50390625,0.07421875,1.04296875,-9.171875,0.98046875,1.0
4749661,,,,,,,,-0.26171875,-0.58984375,-0.4765625,-0.04296875,-0.533203125,0.060546875,1.19921875,-9.82421875,1.3671875,1.0
4749662,,,,,,,,-0.30078125,-0.62890625,-0.34765625,-0.05859375,-0.5234375,0.060546875,1.16015625,-9.859375,1.48046875,1.0
4749663,,,,,,,,-0.46484375,-0.703125,-0.26171875,-0.05078125,-0.501953125,0.06640625,1.00390625,-9.9375,1.55859375,1.0
4749664,,,,,,,,-0.46484375,-0.78125,-0.33203125,-0.046875,-0.482421875,0.0625,1.00390625,-10.015625,1.48046875,1.0
4749665,,,,,,,,-0.38671875,-0.88671875,-0.5078125,-0.072265625,-0.435546875,0.10546875,1.08203125,-10.12890625,1.2890625,1.0
4749666,,,,,,,,-0.34765625,-0.8515625,-0.5,-0.09765625,-0.419921875,0.11328125,1.12109375,-10.09375,1.2890625,1.0
4749667,,,,,,,,-0.26171875,-0.3125,-0.4375,-0.146484375,-0.3984375,0.130859375,1.19921875,-9.5546875,1.328125,1.0
4749668,,,,,,,,-0.26171875,-0.3125,-0.4296875,-0.16796875,-0.345703125,0.134765625,1.00390625,-9.1328125,1.2109375,1.0
4749669,,,,,,,,-0.5625,0.26953125,-0.55859375,-0.19921875,-0.314453125,0.12890625,0.546875,-8.67578125,0.98046875,1.0
4749670,36.01340783333333,129.31949766666668,80.92323450599645,111.82879332797316,1.1,195.0,,-0.41015625,0.0703125,-0.87890625,0.01171875,-0.50390625,0.07421875,0.39453125,-8.515625,0.9453125,1.0
4749671,,,,,,,,-1.19921875,0.859375,-0.8125,-0.33984375,-0.4140625,0.13671875,-0.06640625,-8.3671875,0.9453125,1.0
4749672,,,,,,,,-1.6484375,0.78125,-0.65234375,-0.421875,-0.513671875,0.154296875,-0.41015625,-8.6328125,0.90625,1.0
4749673,,,,,,,,-1.83984375,0.63671875,-0.7109375,-0.466796875,-0.5625,0.15234375,-0.640625,-9.29296875,0.67578125,1.0
4749674,,,,,,,,-2.015625,-0.3515625,-0.92578125,-0.6015625,-0.69140625,0.169921875,-0.48828125,-9.94140625,0.63671875,1.0
4749675,,,,,,,,-1.671875,-0.99609375,-0.7109375,-0.724609375,-0.837890625,0.205078125,0.31640625,-11.203125,1.05859375,1.0
4749676,,,,,,,,-0.70703125,-2.625,-0.23828125,-0.876953125,-0.958984375,0.251953125,1.58203125,-14.26953125,1.3671875,1.0
4749677,,,,,,,,1.33984375,-7.3671875,1.04296875,-1.08984375,-1.052734375,0.28515625,3.45703125,-17.21875,3.12890625,1.0
4749678,,,,,,,,2.07421875,-7.890625,1.86328125,-1.208984375,-1.2109375,0.251953125,4.1484375,-16.6015625,3.96875,1.0
4749679,,,,,,,,4.12109375,-3.0390625,2.6640625,-0.787109375,-1.173828125,0.15234375,5.296875,-11.1640625,3.01171875,1.0
4749680,36.013406833333335,129.31949766666668,80.92323552800993,111.71783407892619,1.1,191.0,,3.4375,-0.91796875,1.38671875,0.248046875,-0.537109375,0.00390625,3.91796875,-9.671875,1.55859375,1.0
4749681,,,,,,,,2.08984375,-0.41796875,0.3828125,0.27734375,-0.484375,-0.021484375,2.421875,-10.9296875,1.51953125,1.0
4749682,,,,,,,,1.0546875,-1.56640625,0.52734375,0.091796875,-0.685546875,-0.025390625,1.80859375,-12.35546875,2.5546875,1.0
4749683,,,,,,,,0.2265625,-3.4453125,2.04296875,0.07421875,-0.8984375,0.01171875,1.58203125,-13.1171875,3.51171875,1.0
4749684,,,,,,,,0.56640625,-3.55859375,2.5859375,0.326171875,-0.974609375,0.06640625,1.96484375,-12.921875,3.5859375,1.0
4749685,,,,,,,,0.6796875,-2.6484375,1.94921875,0.623046875,-0.88671875,0.12109375,2.078125,-12.0078125,2.97265625,1.0
4749686,,,,,,,,0.6796875,-2.265625,1.70703125,0.720703125,-0.796875,0.1640625,2.078125,-11.625,2.74609375,1.0
4749687,,,,,,,,0.2265625,-1.56640625,1.49609375,0.806640625,-0.611328125,0.259765625,1.6171875,-10.93359375,2.58984375,1.0
