time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4790790,36.013442833333336,129.31953883333333,84.63430717404691,115.71240203226128,1.0,52.0,,-0.94140625,-0.24609375,-0.3984375,0.1015625,0.376953125,-0.197265625,1.84765625,-10.05859375,1.17578125,1.0
4790791,,,,,,,,0.51953125,-0.90625,-1.0234375,-0.486328125,0.06640625,-0.263671875,1.96484375,-10.01953125,1.25,1.0
4790792,,,,,,,,0.42578125,-0.78125,-0.859375,-0.537109375,0.130859375,-0.255859375,1.734375,-9.859375,1.2890625,1.0
4790793,,,,,,,,-0.05859375,-0.54296875,-0.8515625,-0.548828125,0.197265625,-0.248046875,1.234375,-9.63671875,1.2890625,1.0
4790794,,,,,,,,-0.45703125,-0.34375,-0.765625,-0.5625,0.23046875,-0.234375,0.73828125,-9.51953125,1.40234375,1.0
4790795,,,,,,,,-0.88671875,-0.453125,-0.6796875,-0.572265625,0.1953125,-0.220703125,0.46875,-9.78515625,1.40234375,1.0
4790796,,,,,,,,-1.046875,-0.60546875,-0.61328125,-0.63671875,0.111328125,-0.19140625,0.4296875,-10.1640625,1.40234375,1.0
4790797,,,,,,,,-1.03125,-1.6640625,-0.52734375,-0.76171875,-0.015625,-0.142578125,0.5078125,-10.86328125,1.40234375,1.0
4790798,,,,,,,,-0.40234375,-1.9609375,0.2421875,-0.8515625,-0.125,-0.091796875,1.16015625,-11.16796875,2.09375,1.0
4790799,,,,,,,,1.05078125,-1.9765625,1.1953125,-0.8046875,-0.12109375,-0.0390625,2.61328125,-11.203125,2.9375,1.0
4790800,36.0134435,129.31954016666666,84.75450430440847,115.7863760237314,1.2000000000000002,58.0,0.0,2.046875,-3.484375,0.921875,-0.841796875,0.0625,0.021484375,3.609375,-12.73828125,2.5546875,1.0
4790801,,,,,,,,2.9296875,-3.09375,1.87890625,-0.875,0.150390625,0.013671875,4.4921875,-12.3515625,3.43359375,1.0
4790802,,,,,,,,3.19921875,-2.12890625,2.33984375,-0.7734375,0.193359375,-0.015625,4.76171875,-11.39453125,3.85546875,1.0
4790803,,,,,,,,2.23828125,-1.72265625,2.5,-0.41796875,0.318359375,-0.076171875,3.80078125,-11.0078125,3.96875,1.0
4790804,,,,,,,,1.16015625,-1.80078125,2.5625,-0.0234375,0.431640625,-0.154296875,2.73046875,-11.0859375,4.0078125,1.0
4790805,,,,,,,,-0.2265625,-2.34375,2.69921875,0.173828125,0.369140625,-0.17578125,1.3515625,-11.625,4.16015625,1.0
4790806,,,,,,,,-0.47265625,-2.42578125,2.76953125,0.337890625,0.205078125,-0.12890625,1.12109375,-11.6953125,4.27734375,1.0
4790807,,,,,,,,-0.47265625,-2.20703125,2.5625,0.37890625,0.177734375,-0.103515625,1.12109375,-11.46875,4.0859375,1.0
4790808,,,,,,,,-0.40234375,-1.71484375,2.140625,0.4375,0.208984375,-0.03125,1.19921875,-10.97265625,3.703125,1.0
4790809,,,,,,,,-0.25,-0.91015625,1.80078125,0.451171875,0.251953125,0.005859375,1.3515625,-10.1640625,3.39453125,1.0
4790810,36.013444,129.31954116666665,84.84465215122238,115.84185651802625,1.1,60.0,,-0.38671875,-0.03125,1.28125,0.37109375,0.39453125,0.134765625,1.19921875,-9.29296875,2.9375,1.0
4790811,,,,,,,,-0.55859375,0.27734375,0.93359375,0.23828125,0.37109375,0.1953125,1.00390625,-8.9765625,2.62890625,1.0
4790812,,,,,,,,-0.265625,0.125,0.765625,0.083984375,0.244140625,0.21484375,1.2734375,-9.13671875,2.4765625,1.0
4790813,,,,,,,,-0.1328125,0.0546875,0.671875,0.013671875,0.173828125,0.224609375,1.390625,-9.2109375,2.3984375,1.0
4790814,,,,,,,,0.00390625,0.1328125,0.55859375,-0.068359375,0.09765625,0.224609375,1.50390625,-9.1328125,2.28515625,1.0
4790815,,,,,,,,-0.1640625,0.4453125,0.4140625,-0.0859375,0.11328125,0.21484375,1.3125,-8.828125,2.1328125,1.0
4790816,,,,,,,,-0.33203125,1.01953125,0.11328125,-0.0625,0.150390625,0.203125,1.12109375,-8.25390625,1.82421875,1.0
4790817,,,,,,,,-0.4609375,1.609375,-0.23046875,-0.048828125,0.177734375,0.1875,0.96875,-7.6796875,1.48046875,1.0
4790818,,,,,,,,-0.41796875,1.7265625,-0.34375,-0.046875,0.181640625,0.185546875,1.00390625,-7.5625,1.3671875,1.0
4790819,,,,,,,,-0.40234375,2.0703125,-0.61328125,-0.060546875,0.19921875,0.18359375,1.00390625,-7.22265625,1.09765625,1.0
4790820,36.01344466666667,129.31954216666665,84.93479981841305,115.91583022409543,1.0,57.0,,-0.26171875,2.23046875,-0.64453125,0.37109375,0.39453125,0.134765625,1.19921875,-9.29296875,2.9375,1.0
4790821,,,,,,,,-0.0859375,2.27734375,-0.68359375,-0.111328125,0.2578125,0.169921875,1.3125,-6.9453125,1.01953125,1.0
4790822,,,,,,,,0.08203125,2.36328125,-0.67578125,-0.111328125,0.26953125,0.154296875,1.42578125,-6.94921875,1.01953125,1.0
4790823,,,,,,,,0.3359375,2.28515625,-0.75,-0.09765625,0.2890625,0.142578125,1.65625,-7.02734375,0.9453125,1.0
4790824,,,,,,,,0.50390625,2.1796875,-0.70703125,-0.0859375,0.314453125,0.12890625,1.80859375,-7.14453125,0.98046875,1.0
4790825,,,,,,,,0.7265625,2.0546875,-0.70703125,-0.056640625,0.357421875,0.09375,2.0,-7.2578125,0.98046875,1.0
4790826,,,,,,,,0.7265625,1.98046875,-0.70703125,-0.041015625,0.375,0.0859375,2.0,-7.33203125,0.98046875,1.0
4790827,,,,,,,,0.8203125,1.87109375,-0.70703125,-0.017578125,0.404296875,0.0625,2.078125,-7.4453125,0.98046875,1.0
4790828,,,,,,,,0.796875,1.75,-0.71484375,0.025390625,0.4375,0.013671875,2.0,-7.6015625,0.9453125,1.0
4790829,,,,,,,,0.8046875,1.6796875,-0.796875,0.044921875,0.466796875,-0.0078125,1.96484375,-7.79296875,0.828125,1.0
4790830,36.01344533333334,129.31954333333334,85.03997221609465,115.98980407545864,1.1,57.0,,-0.26171875,2.23046875,-0.64453125,0.064453125,0.50390625,-0.025390625,1.19921875,-9.29296875,2.9375,1.0
4790831,,,,,,,,0.58203125,1.40234375,-0.97265625,0.0703125,0.541015625,-0.029296875,1.734375,-8.0234375,0.71484375,1.0
4790832,,,,,,,,0.4765625,1.13671875,-0.90625,0.060546875,0.576171875,-0.03515625,1.6953125,-8.17578125,0.828125,1.0
4790833,,,,,,,,0.453125,0.74609375,-0.8515625,0.06640625,0.62109375,-0.03125,1.65625,-8.5546875,0.90625,1.0
4790834,,,,,,,,0.4609375,0.32421875,-0.8671875,0.078125,0.619140625,-0.029296875,1.65625,-8.98046875,0.90625,1.0
4790835,,,,,,,,0.5078125,-0.01953125,-0.84375,0.095703125,0.623046875,-0.03515625,1.6953125,-9.32421875,0.9453125,1.0
4790836,,,,,,,,0.4375,-0.06640625,-0.859375,0.115234375,0.634765625,-0.046875,1.6171875,-9.36328125,0.9453125,1.0
4790837,,,,,,,,0.28515625,-0.03515625,-0.73046875,0.130859375,0.65625,-0.0546875,1.46484375,-9.32421875,1.09765625,1.0
4790838,,,,,,,,-0.04296875,0.1171875,-0.609375,0.1640625,0.67578125,-0.060546875,1.12109375,-9.17578125,1.25,1.0
4790839,,,,,,,,-0.265625,0.1484375,-0.5546875,0.181640625,0.66796875,-0.064453125,0.890625,-9.13671875,1.328125,1.0
4790840,36.013445833333336,129.3195445,85.14514478907648,116.04528471788262,1.2000000000000002,59.0,,-0.41015625,0.25390625,-0.546875,0.16796875,0.63671875,-0.056640625,0.73828125,-9.01953125,1.3671875,1.0
4790841,,,,,,,,-0.48046875,0.28515625,-0.53515625,0.140625,0.61328125,-0.052734375,0.66015625,-8.9765625,1.40234375,1.0
4790842,,,,,,,,-0.51953125,0.32421875,-0.54296875,0.1171875,0.595703125,-0.048828125,0.62109375,-8.9375,1.40234375,1.0
4790843,,,,,,,,-0.3203125,0.20703125,-0.7109375,0.068359375,0.548828125,-0.0390625,0.8125,-9.05859375,1.25,1.0
4790844,,,,,,,,-0.15625,0.046875,-0.87109375,-0.029296875,0.458984375,-0.04296875,0.96875,-9.21484375,1.09765625,1.0
4790845,,,,,,,,0.00390625,-0.22265625,-0.98828125,-0.11328125,0.3984375,-0.064453125,1.12109375,-9.48046875,0.98046875,1.0
4790846,,,,,,,,0.00390625,-0.3671875,-0.94921875,-0.15625,0.375,-0.08203125,1.12109375,-9.6328125,1.01953125,1.0
4790847,,,,,,,,-0.04296875,-0.40625,-0.6953125,-0.236328125,0.34375,-0.12109375,1.08203125,-9.67578125,1.25,1.0
4790848,,,,,,,,-0.05078125,-0.328125,-0.328125,-0.3046875,0.3359375,-0.16015625,1.08203125,-9.59375,1.59375,1.0
4790849,,,,,,,,0.1015625,-0.21484375,-0.1953125,-0.337890625,0.33203125,-0.1796875,1.234375,-9.48046875,1.7109375,1.0
4790850,36.0134465,129.31954533333334,85.22026771968622,116.11925827883995,1.0,58.0,,0.609375,-1.1640625,-0.44140625,-0.431640625,0.322265625,-0.22265625,1.7734375,-10.44140625,1.40234375,1.0
4790851,,,,,,,,0.67578125,-2.12109375,-0.62890625,-0.5234375,0.28125,-0.2109375,1.84765625,-11.390625,1.17578125,1.0
4790852,,,,,,,,0.5859375,-2.71875,-0.3828125,-0.62109375,0.2421875,-0.2109375,1.7734375,-12.0078125,1.3671875,1.0
4790853,,,,,,,,0.5390625,-2.7578125,-0.015625,-0.646484375,0.26171875,-0.2109375,1.734375,-12.05078125,1.7109375,1.0
4790854,,,,,,,,0.0625,-2.05078125,1.41015625,-0.625,0.41015625,-0.21484375,1.2734375,-11.35546875,3.05078125,1.0
4790855,,,,,,,,-0.49609375,-2.2734375,1.00390625,-0.53125,0.484375,-0.212890625,0.73828125,-11.58984375,2.58984375,1.0
4790856,,,,,,,,-0.6953125,-2.41796875,0.62890625,-0.4921875,0.439453125,-0.193359375,0.546875,-11.73828125,2.16796875,1.0
4790857,,,,,,,,-0.55859375,-1.84375,1.24609375,-0.466796875,0.353515625,-0.19921875,0.69921875,-11.1640625,2.74609375,1.0
4790858,,,,,,,,-0.48828125,-1.60546875,1.375,-0.412109375,0.369140625,-0.20703125,0.77734375,-10.93359375,2.859375,1.0
4790859,,,,,,,,-0.4609375,-1.4921875,1.40625,-0.283203125,0.478515625,-0.20703125,0.8125,-10.82421875,2.859375,1.0
4790860,36.013447,129.31954683333333,85.35548974880197,116.17473921651487,1.1,61.0,,-0.4765625,-1.8359375,1.375,-0.431640625,0.322265625,-0.22265625,0.8125,-11.16796875,2.8203125,1.0
4790861,,,,,,,,0.0625,-2.6015625,1.7265625,-0.16015625,0.642578125,-0.181640625,1.3515625,-11.93359375,3.1640625,1.0
4790862,,,,,,,,0.7421875,-3.29296875,2.234375,-0.146484375,0.6953125,-0.19921875,2.0390625,-12.6171875,3.6640625,1.0
4790863,,,,,,,,0.92578125,-3.40625,2.3125,-0.119140625,0.740234375,-0.2109375,2.23046875,-12.73828125,3.7421875,1.0
4790864,,,,,,,,0.84375,-2.83203125,2.33984375,0.001953125,0.87109375,-0.2265625,2.15625,-12.15625,3.77734375,1.0
4790865,,,,,,,,0.3671875,-1.953125,2.1328125,0.1640625,0.98828125,-0.271484375,1.6953125,-11.28125,3.5859375,1.0
4790866,,,,,,,,-0.13671875,-1.1484375,1.7890625,0.318359375,1.0703125,-0.31640625,1.19921875,-10.4765625,3.28125,1.0
4790867,,,,,,,,-0.8125,-0.2421875,1.08984375,0.353515625,1.064453125,-0.34375,0.546875,-9.5546875,2.62890625,1.0
4790868,,,,,,,,-0.8984375,-0.09765625,0.99609375,0.27734375,1.015625,-0.341796875,0.46875,-9.40234375,2.58984375,1.0
4790869,,,,,,,,-1.06640625,0.046875,0.66015625,0.173828125,0.974609375,-0.359375,0.31640625,-9.25390625,2.28515625,1.0
4790870,36.01344766666667,129.31954783333333,85.44563740764502,116.2487129278374,1.1,59.0,,-1.01953125,0.27734375,0.3125,0.095703125,0.921875,-0.365234375,0.8125,-11.16796875,2.8203125,1.0
4790871,,,,,,,,-1.15234375,0.65234375,-0.0546875,0.08203125,0.927734375,-0.36328125,0.27734375,-8.6328125,1.6328125,1.0
4790872,,,,,,,,-1.17578125,0.98828125,-0.15234375,0.076171875,0.927734375,-0.357421875,0.27734375,-8.2890625,1.55859375,1.0
4790873,,,,,,,,-1.18359375,1.44921875,-0.27734375,0.068359375,0.931640625,-0.365234375,0.27734375,-7.828125,1.44140625,1.0
4790874,,,,,,,,-1.12109375,1.78515625,-0.4453125,0.07421875,0.919921875,-0.373046875,0.35546875,-7.484375,1.2890625,1.0
4790875,,,,,,,,-1.09765625,2.23828125,-0.69921875,0.05859375,0.8828125,-0.38671875,0.39453125,-7.02734375,1.05859375,1.0
4790876,,,,,,,,-1.078125,2.5078125,-0.875,0.04296875,0.84765625,-0.392578125,0.4296875,-6.76171875,0.90625,1.0
4790877,,,,,,,,-1.1015625,2.5,-0.9296875,0.0078125,0.822265625,-0.390625,0.4296875,-6.76171875,0.8671875,1.0
4790878,,,,,,,,-1.23828125,2.453125,-0.9375,-0.025390625,0.8203125,-0.38671875,0.31640625,-6.796875,0.8671875,1.0
4790879,,,,,,,,-1.5,1.87109375,-0.80078125,-0.0234375,0.826171875,-0.365234375,0.0859375,-7.37109375,1.01953125,1.0
4790880,36.01344816666666,129.319549,85.55080997499658,116.30419357465112,1.1,61.0,,-1.66796875,1.6796875,-0.77734375,0.095703125,0.921875,-0.365234375,-0.06640625,-7.56640625,1.05859375,1.0
4790881,,,,,,,,-1.72265625,1.515625,-0.79296875,0.078125,0.75,-0.314453125,-0.10546875,-7.72265625,1.05859375,1.0
4790882,,,,,,,,-1.80859375,1.36328125,-0.89453125,0.130859375,0.7109375,-0.28125,-0.18359375,-7.8671875,0.98046875,1.0
4790883,,,,,,,,-1.8515625,1.35546875,-0.953125,0.15625,0.677734375,-0.24609375,-0.21875,-7.8671875,0.9453125,1.0
4790884,,,,,,,,-2.05078125,1.34765625,-0.90234375,0.166015625,0.630859375,-0.2109375,-0.41015625,-7.87109375,1.01953125,1.0
4790885,,,,,,,,-2.20703125,1.21875,-0.81640625,0.177734375,0.59375,-0.173828125,-0.56640625,-7.98828125,1.13671875,1.0
4790886,,,,,,,,-2.25,1.2109375,-0.81640625,0.197265625,0.4921875,-0.134765625,-0.6015625,-7.98828125,1.17578125,1.0
4790887,,,,,,,,-2.21484375,1.203125,-0.87890625,0.203125,0.408203125,-0.103515625,-0.56640625,-7.98828125,1.13671875,1.0
4790888,,,,,,,,-2.17578125,1.125,-0.97265625,0.203125,0.369140625,-0.09375,-0.52734375,-8.06640625,1.05859375,1.0
4790889,,,,,,,,-1.9765625,0.8515625,-1.1015625,0.193359375,0.30078125,-0.056640625,-0.3359375,-8.33203125,0.9453125,1.0
4790890,36.01344866666667,129.31955033333332,85.67100727012172,116.3596743717658,1.2000000000000002,63.0,,-1.8984375,0.45703125,-1.08984375,0.095703125,0.921875,-0.365234375,-0.2578125,-8.71484375,0.98046875,1.0
4790891,,,,,,,,-1.859375,0.23046875,-0.99609375,0.134765625,0.20703125,-0.02734375,-0.21875,-8.94140625,1.09765625,1.0
4790892,,,,,,,,-1.73828125,0.03125,-0.93359375,0.123046875,0.126953125,-0.01953125,-0.10546875,-9.13671875,1.17578125,1.0
4790893,,,,,,,,-1.69140625,0.03125,-0.8671875,0.115234375,0.095703125,-0.01953125,-0.06640625,-9.13671875,1.25,1.0
4790894,,,,,,,,-1.76953125,-0.20703125,-0.8359375,0.119140625,0.068359375,-0.015625,-0.14453125,-9.36328125,1.2890625,1.0
4790895,,,,,,,,-1.84375,-0.3984375,-0.8046875,0.091796875,0.025390625,-0.01953125,-0.21875,-9.55859375,1.328125,1.0
4790896,,,,,,,,-1.72265625,-0.90625,-0.73828125,0.064453125,-0.01953125,-0.017578125,-0.10546875,-10.0546875,1.40234375,1.0
4790897,,,,,,,,-1.578125,-0.98046875,-0.69921875,0.01171875,-0.109375,-0.033203125,0.046875,-10.12890625,1.44140625,1.0
4790898,,,,,,,,-1.37890625,-1.01953125,-0.62890625,-0.001953125,-0.130859375,-0.03515625,0.23828125,-10.16796875,1.51953125,1.0
4790899,,,,,,,,-1.1484375,-0.9453125,-0.66015625,-0.033203125,-0.158203125,-0.05859375,0.46875,-10.09765625,1.48046875,1.0
4790900,36.01344866666667,129.31955133333335,85.76115564962606,116.35967525139597,1.0,70.0,0.0,-0.78125,-0.98046875,-0.796875,-0.095703125,-0.16015625,-0.095703125,0.8515625,-10.12890625,1.328125,1.0
4790901,,,,,,,,-0.63671875,-1.13671875,-0.859375,-0.166015625,-0.138671875,-0.12109375,1.00390625,-10.28515625,1.25,1.0
4790902,,,,,,,,-0.3828125,-1.2890625,-0.8359375,-0.265625,-0.12890625,-0.134765625,1.2734375,-10.44140625,1.25,1.0
4790903,,,,,,,,0.03125,-1.01171875,-0.62109375,-0.330078125,-0.109375,-0.12890625,1.6953125,-10.1640625,1.44140625,1.0
4790904,,,,,,,,0.0234375,-0.46875,-0.50390625,-0.365234375,-0.041015625,-0.111328125,1.6953125,-9.6328125,1.51953125,1.0
4790905,,,,,,,,-0.60546875,-0.66015625,-0.3515625,-0.400390625,0.076171875,-0.111328125,1.08203125,-9.8203125,1.6328125,1.0
4790906,,,,,,,,-0.8359375,-1.11328125,-0.2578125,-0.421875,0.1328125,-0.111328125,0.8515625,-10.28515625,1.7109375,1.0
4790907,,,,,,,,-1.02734375,-2.21484375,-0.13671875,-0.53125,0.16796875,-0.08984375,0.66015625,-11.390625,1.78515625,1.0
4790908,,,,,,,,-0.4140625,-3.171875,0.72265625,-0.67578125,0.068359375,-0.078125,1.2734375,-12.3515625,2.58984375,1.0
4790909,,,,,,,,0.54296875,-2.95703125,1.66796875,-0.755859375,-0.080078125,-0.068359375,2.23046875,-12.15625,3.47265625,1.0
4790910,36.013449,129.31955299999998,85.91140257903646,116.39666313670284,1.2000000000000002,78.0,,1.90625,-3.1328125,1.84765625,-0.67578125,-0.125,-0.087890625,3.609375,-12.3515625,3.55078125,1.0
4790911,,,,,,,,2.75,-3.5078125,1.80078125,-0.673828125,0.048828125,-0.08984375,4.453125,-12.73828125,3.43359375,1.0
4790912,,,,,,,,2.86328125,-1.84765625,2.390625,-0.568359375,0.234375,-0.099609375,4.56640625,-11.08984375,3.96875,1.0
4790913,,,,,,,,2.703125,-1.34765625,2.453125,-0.431640625,0.326171875,-0.12109375,4.4140625,-10.5859375,4.0078125,1.0
4790914,,,,,,,,2.12109375,-0.87890625,2.35546875,-0.126953125,0.447265625,-0.1796875,3.83984375,-10.12890625,3.89453125,1.0
4790915,,,,,,,,0.7734375,-1.38671875,2.5078125,-0.005859375,0.42578125,-0.216796875,2.5,-10.625,4.046875,1.0
4790916,,,,,,,,-0.46875,-2.15234375,2.63671875,0.12890625,0.263671875,-0.189453125,1.2734375,-11.39453125,4.19921875,1.0
4790917,,,,,,,,-0.70703125,-1.890625,2.390625,0.25,0.193359375,-0.1328125,1.04296875,-11.125,3.96875,1.0
4790918,,,,,,,,-0.67578125,-1.35546875,2.1484375,0.283203125,0.185546875,-0.095703125,1.08203125,-10.5859375,3.7421875,1.0
4790919,,,,,,,,-0.55859375,-0.66796875,1.88671875,0.322265625,0.220703125,-0.009765625,1.19921875,-9.8984375,3.51171875,1.0
4790920,36.013449,129.31955433333331,86.03160041339835,116.39666431288359,1.2000000000000002,83.0,,-0.4765625,0.328125,1.578125,-0.67578125,-0.125,-0.087890625,1.2734375,-8.90625,3.2421875,1.0
4790921,,,,,,,,-0.4609375,0.51953125,1.171875,0.1875,0.234375,0.140625,1.2734375,-8.7109375,2.859375,1.0
4790922,,,,,,,,-0.4375,0.29296875,0.92578125,0.029296875,0.1796875,0.1953125,1.2734375,-8.94140625,2.62890625,1.0
4790923,,,,,,,,-0.27734375,-0.046875,0.8125,-0.04296875,0.1328125,0.212890625,1.42578125,-9.2890625,2.515625,1.0
4790924,,,,,,,,-0.0234375,-0.16015625,0.859375,-0.166015625,0.0625,0.236328125,1.65625,-9.40234375,2.5546875,1.0
4790925,,,,,,,,0.0859375,0.125,0.7109375,-0.18359375,0.037109375,0.2421875,1.734375,-9.1328125,2.3984375,1.0
4790926,,,,,,,,-0.12109375,0.78125,0.4296875,-0.138671875,0.0625,0.220703125,1.50390625,-8.484375,2.09375,1.0
4790927,,,,,,,,-0.2421875,1.171875,0.16796875,-0.08203125,0.125,0.189453125,1.3515625,-8.1015625,1.82421875,1.0
4790928,,,,,,,,-0.37890625,1.51953125,-0.0625,-0.076171875,0.134765625,0.18359375,1.19921875,-7.75,1.59375,1.0
4790929,,,,,,,,-0.54296875,1.80078125,-0.28125,-0.09375,0.138671875,0.1796875,1.00390625,-7.48828125,1.3671875,1.0
4790930,36.01344916666667,129.31955533333334,86.12174861092234,116.41515840384821,1.0,85.0,,-0.48828125,2.109375,-0.390625,-0.119140625,0.14453125,0.177734375,1.04296875,-7.18359375,1.25,1.0
4790931,,,,,,,,-0.30859375,2.23046875,-0.421875,-0.12890625,0.177734375,0.18359375,1.19921875,-7.06640625,1.2109375,1.0
4790932,,,,,,,,-0.1875,2.34765625,-0.45703125,-0.130859375,0.19921875,0.17578125,1.3125,-6.9453125,1.17578125,1.0
4790933,,,,,,,,-0.01171875,2.5078125,-0.56640625,-0.126953125,0.2265625,0.16015625,1.46484375,-6.80078125,1.05859375,1.0
4790934,,,,,,,,0.2890625,2.58984375,-0.671875,-0.138671875,0.244140625,0.14453125,1.734375,-6.71875,0.9453125,1.0
4790935,,,,,,,,0.6484375,2.36328125,-0.734375,-0.130859375,0.2578125,0.12109375,2.078125,-6.94921875,0.8671875,1.0
4790936,,,,,,,,0.77734375,2.25390625,-0.8046875,-0.134765625,0.263671875,0.099609375,2.19140625,-7.0625,0.7890625,1.0
4790937,,,,,,,,0.98828125,1.91015625,-0.95703125,-0.150390625,0.275390625,0.072265625,2.38671875,-7.40625,0.63671875,1.0
4790938,,,,,,,,1.0390625,1.7265625,-1.015625,-0.16796875,0.3125,0.03515625,2.421875,-7.60546875,0.5625,1.0
4790939,,,,,,,,1.0390625,1.7265625,-1.0078125,-0.166015625,0.333984375,0.013671875,2.421875,-7.60546875,0.5625,1.0
4790940,36.013449333333334,129.31955683333334,86.25697099294393,116.43365293965834,1.1,85.0,,0.97265625,1.6484375,-1.0,-0.119140625,0.14453125,0.177734375,2.34765625,-7.6796875,0.5625,1.0
4790941,,,,,,,,0.82421875,1.53515625,-0.9921875,-0.13671875,0.509765625,-0.056640625,2.19140625,-7.7890625,0.5625,1.0
4790942,,,,,,,,0.51953125,1.3046875,-1.0625,-0.109375,0.572265625,-0.0703125,1.88671875,-8.0234375,0.484375,1.0
4790943,,,,,,,,0.296875,0.69140625,-1.22265625,-0.015625,0.650390625,-0.09375,1.65625,-8.6328125,0.33203125,1.0
4790944,,,,,,,,0.2578125,0.5390625,-1.22265625,-0.001953125,0.65234375,-0.099609375,1.6171875,-8.7890625,0.33203125,1.0
4790945,,,,,,,,0.2578125,0.1875,-1.1640625,0.01953125,0.66796875,-0.107421875,1.6171875,-9.13671875,0.40625,1.0
4790946,,,,,,,,0.265625,0.109375,-1.1328125,0.017578125,0.6796875,-0.115234375,1.6171875,-9.2109375,0.4453125,1.0
4790947,,,,,,,,0.265625,0.0703125,-1.0234375,0.037109375,0.701171875,-0.115234375,1.6171875,-9.25,0.5625,1.0
4790948,,,,,,,,0.2578125,0.0625,-0.88671875,0.044921875,0.705078125,-0.1171875,1.6171875,-9.25,0.71484375,1.0
4790949,,,,,,,,0.15234375,0.1796875,-0.75,0.0703125,0.69921875,-0.11328125,1.50390625,-9.1328125,0.8671875,1.0
4790950,36.013449333333334,129.319558,86.36214409812891,116.43365397300636,1.1,88.0,,-0.046875,0.28515625,-0.703125,-0.119140625,0.14453125,0.177734375,1.3125,-9.01953125,0.90625,1.0
4790951,,,,,,,,-0.19140625,0.19921875,-0.7265625,0.08984375,0.685546875,-0.10546875,1.16015625,-9.09375,0.90625,1.0
4790952,,,,,,,,-0.421875,0.0859375,-0.8203125,0.080078125,0.654296875,-0.099609375,0.9296875,-9.21484375,0.828125,1.0
4790953,,,,,,,,-0.421875,0.046875,-0.828125,0.080078125,0.62109375,-0.0859375,0.9296875,-9.25390625,0.828125,1.0
4790954,,,,,,,,-0.4921875,-0.15234375,-0.7265625,0.064453125,0.5703125,-0.076171875,0.8515625,-9.44140625,0.9453125,1.0
4790955,,,,,,,,-0.375,-0.53515625,-0.62890625,0.01171875,0.490234375,-0.056640625,0.96875,-9.8203125,1.05859375,1.0
4790956,,,,,,,,-0.33203125,-1.03125,-0.4453125,-0.0234375,0.431640625,-0.033203125,1.00390625,-10.3203125,1.25,1.0
4790957,,,,,,,,-0.0546875,-1.5,-0.328125,-0.06640625,0.29296875,-0.013671875,1.2734375,-10.78125,1.3671875,1.0
4790958,,,,,,,,0.0625,-1.5,-0.3671875,-0.08203125,0.24609375,-0.013671875,1.390625,-10.78125,1.328125,1.0
4790959,,,,,,,,0.18359375,-1.03125,-0.50390625,-0.095703125,0.150390625,-0.021484375,1.50390625,-10.3203125,1.17578125,1.0
