time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
604350,36.01321016666667,129.31924416666666,58.07075422872129,89.8956679722524,1.2000000000000002,234.0,,-1.25,0.15625,-0.26171875,0.369140625,0.8671875,-0.212890625,-1.6796875,-9.42578125,1.00390625,1.0
604351,,,,,,,,-1.15234375,0.1875,-0.37109375,0.384765625,0.861328125,-0.1953125,-1.56640625,-9.38671875,0.92578125,1.0
604352,,,,,,,,-0.546875,-0.01171875,-0.6328125,0.384765625,0.84375,-0.177734375,-0.953125,-9.57421875,0.6953125,1.0
604353,,,,,,,,-0.2109375,-0.25,-0.85546875,0.3671875,0.802734375,-0.16015625,-0.609375,-9.8046875,0.50390625,1.0
604354,,,,,,,,0.01171875,-0.44140625,-0.81640625,0.357421875,0.736328125,-0.154296875,-0.37890625,-9.99609375,0.58203125,1.0
604355,,,,,,,,0.08984375,-0.48828125,-0.734375,0.341796875,0.5625,-0.11328125,-0.30078125,-10.03125,0.6953125,1.0
604356,,,,,,,,0.01953125,-0.37890625,-0.7578125,0.27734375,0.384765625,-0.06640625,-0.37890625,-9.91796875,0.6953125,1.0
604357,,,,,,,,0.01171875,-0.109375,-0.6640625,0.21484375,0.328125,-0.041015625,-0.37890625,-9.65234375,0.8125,1.0
604358,,,,,,,,0.09765625,0.00390625,-0.671875,0.17578125,0.318359375,-0.021484375,-0.30078125,-9.53125,0.8125,1.0
604359,,,,,,,,0.89453125,0.03515625,-0.86328125,0.091796875,0.298828125,-0.005859375,0.50390625,-9.4921875,0.62109375,1.0
604360,36.0132095,129.319243,57.965581293366064,89.821694448024,1.3,234.0,,1.24609375,-0.42578125,-0.87109375,0.369140625,0.8671875,-0.212890625,0.84765625,-9.953125,0.62109375,1.0
604361,,,,,,,,1.28515625,-1.4609375,-0.40625,-0.0546875,0.1796875,-0.03515625,0.88671875,-10.99609375,1.078125,1.0
604362,,,,,,,,1.16796875,-1.91796875,-0.28125,-0.123046875,0.12890625,-0.0625,0.76953125,-11.44921875,1.1953125,1.0
604363,,,,,,,,0.01171875,-3.375,0.4609375,-0.189453125,0.109375,-0.07421875,-0.37890625,-12.90625,1.921875,1.0
604364,,,,,,,,-0.45703125,-3.40625,1.6640625,-0.28515625,0.1328125,-0.08203125,-0.83984375,-12.94921875,3.109375,1.0
604365,,,,,,,,-0.6171875,-3.94140625,2.203125,-0.4453125,0.2265625,-0.060546875,-0.9921875,-13.48046875,3.609375,1.0
604366,,,,,,,,-0.65625,-4.73828125,1.83984375,-0.55078125,0.27734375,-0.05859375,-1.03125,-14.28515625,3.22265625,1.0
604367,,,,,,,,-1.99609375,-6.68359375,2.6328125,-0.658203125,0.3984375,-0.072265625,-2.37109375,-16.23828125,3.953125,1.0
604368,,,,,,,,-2.9140625,-4.9921875,4.609375,-0.658203125,0.494140625,-0.115234375,-3.2890625,-14.5546875,5.8671875,1.0
604369,,,,,,,,-3.07421875,-4.21875,4.83203125,-0.65234375,0.529296875,-0.138671875,-3.44140625,-13.7890625,6.05859375,1.0
604370,36.01320883333334,129.31924166666667,57.845383582446864,89.7477208255512,1.4000000000000001,235.0,,-2.39453125,-2.71484375,3.1328125,-0.662109375,0.498046875,-0.15234375,0.84765625,-9.953125,0.62109375,1.0
604371,,,,,,,,-0.03515625,-2.46875,2.0078125,-0.609375,0.419921875,-0.13671875,-0.37890625,-12.0625,3.0703125,1.0
604372,,,,,,,,0.37890625,-2.66015625,2.109375,-0.5546875,0.3984375,-0.123046875,0.04296875,-12.25390625,3.1484375,1.0
604373,,,,,,,,0.5703125,-2.5703125,2.34765625,-0.349609375,0.427734375,-0.1015625,0.234375,-12.18359375,3.33984375,1.0
604374,,,,,,,,0.53125,-2.4921875,2.515625,-0.1484375,0.427734375,-0.10546875,0.1953125,-12.1015625,3.4921875,1.0
604375,,,,,,,,-0.2421875,-1.49609375,2.30859375,0.359375,0.28515625,-0.083984375,-0.5703125,-11.10546875,3.30078125,1.0
604376,,,,,,,,-0.625,-0.9296875,1.6171875,0.53515625,0.48828125,-0.0234375,-0.953125,-10.53515625,2.6875,1.0
604377,,,,,,,,-0.41796875,0.02734375,0.62890625,0.330078125,1.0234375,-0.0234375,-0.76171875,-9.57421875,1.76953125,1.0
604378,,,,,,,,-0.45703125,0.06640625,0.64453125,0.357421875,1.05859375,-0.05078125,-0.80078125,-9.53515625,1.80859375,1.0
