time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,validity
4755260,36.01341516666666,129.31950416666666,81.50919170512277,112.64249990638504,1.2000000000000002,229.0,,1.43359375,-0.12890625,-0.3671875,0.220703125,-0.373046875,0.091796875,2.421875,-7.5234375,0.59765625,1.0
4755261,,,,,,,,1.62890625,-0.17578125,-0.3515625,0.166015625,-0.041015625,0.095703125,2.38671875,-9.4375,1.75,1.0
4755262,,,,,,,,1.671875,-0.17578125,-0.4453125,0.16015625,-0.03515625,0.107421875,2.421875,-9.44140625,1.671875,1.0
4755263,,,,,,,,1.7265625,-0.17578125,-0.5390625,0.15234375,-0.005859375,0.12109375,2.421875,-9.40234375,1.40234375,1.0
4755264,,,,,,,,1.65234375,-0.23046875,-0.7734375,0.09375,0.009765625,0.125,2.26953125,-9.5546875,1.25,1.0
4755265,,,,,,,,1.47265625,-0.34375,-0.859375,0.017578125,0.0390625,0.126953125,2.078125,-9.671875,1.328125,1.0
4755266,,,,,,,,1.2890625,-0.49609375,-0.78125,-0.083984375,0.07421875,0.119140625,1.84765625,-9.82421875,1.48046875,1.0
4755267,,,,,,,,0.921875,-0.56640625,-0.5390625,-0.169921875,0.083984375,0.123046875,1.6171875,-9.82421875,1.59375,1.0
4755268,,,,,,,,0.78515625,-0.44921875,-0.40625,-0.236328125,0.078125,0.12109375,1.46484375,-9.70703125,1.7109375,1.0
4755269,,,,,,,,0.7109375,0.09375,-0.30859375,-0.279296875,0.056640625,0.11328125,1.390625,-9.171875,1.78515625,1.0
4755270,36.01341433333334,129.31950333333333,81.43406888485781,112.5500331696102,1.2000000000000002,225.0,,0.87890625,-0.08984375,-0.16015625,0.220703125,-0.373046875,0.091796875,2.421875,-7.5234375,0.59765625,1.0
4755271,,,,,,,,1.0390625,-1.23828125,-0.265625,-0.458984375,0.005859375,0.1171875,1.6953125,-10.51171875,1.75,1.0
4755272,,,,,,,,0.93359375,-3.24609375,-0.2265625,-0.712890625,-0.09765625,0.109375,1.58203125,-12.5390625,1.7109375,1.0
4755273,,,,,,,,0.75,-3.1328125,0.2265625,-0.76953125,-0.0546875,0.08984375,1.390625,-12.43359375,2.1328125,1.0
4755274,,,,,,,,-0.171875,-2.54296875,1.94921875,-0.744140625,0.189453125,0.041015625,0.46875,-11.8515625,3.77734375,1.0
4755275,,,,,,,,-0.81640625,-2.984375,2.16015625,-0.623046875,0.365234375,0.064453125,-0.18359375,-12.3125,3.93359375,1.0
4755276,,,,,,,,-1.95703125,-3.24609375,2.10546875,-0.615234375,0.228515625,0.1015625,-1.33203125,-12.578125,3.81640625,1.0
4755277,,,,,,,,-2.20703125,-1.8125,3.04296875,-0.546875,0.041015625,0.09765625,-1.59765625,-11.16796875,4.69921875,1.0
4755278,,,,,,,,-2.171875,-1.31640625,3.2578125,-0.439453125,-0.0390625,0.103515625,-1.5625,-10.66796875,4.890625,1.0
4755279,,,,,,,,-1.703125,-0.83984375,2.62890625,-0.19140625,-0.181640625,0.119140625,-1.1015625,-10.203125,4.23828125,1.0
4755280,36.0134135,129.31950266666666,81.37397079632244,112.45756657043209,1.1,221.0,,-0.66015625,-1.4140625,1.95703125,-0.08203125,-0.283203125,0.134765625,-0.06640625,-10.78515625,3.55078125,1.0
4755281,,,,,,,,-0.19921875,-1.8359375,2.0,-0.1171875,-0.279296875,0.103515625,0.8125,-11.5078125,3.703125,1.0
4755282,,,,,,,,0.91796875,-2.6015625,2.3984375,-0.11328125,-0.271484375,0.0390625,1.50390625,-11.96875,3.96875,1.0
4755283,,,,,,,,0.99609375,-2.25,2.37890625,-0.03125,-0.232421875,-0.01171875,1.58203125,-11.625,3.93359375,1.0
4755284,,,,,,,,0.7109375,-1.3671875,2.1015625,0.08984375,-0.20703125,-0.072265625,1.3125,-10.7421875,3.6640625,1.0
4755285,,,,,,,,0.3046875,0.125,1.47265625,0.150390625,-0.208984375,-0.15625,0.9296875,-9.25,3.05078125,1.0
4755286,,,,,,,,0.203125,0.0859375,1.15234375,0.0703125,-0.234375,-0.17578125,0.8515625,-9.2890625,2.74609375,1.0
4755287,,,,,,,,0.21875,-0.140625,1.11328125,-0.029296875,-0.2734375,-0.1875,0.890625,-9.515625,2.70703125,1.0
4755288,,,,,,,,0.30859375,-0.140625,0.890625,-0.076171875,-0.298828125,-0.185546875,1.00390625,-9.51953125,2.4765625,1.0
4755289,,,,,,,,0.32421875,0.1328125,0.66015625,-0.05859375,-0.29296875,-0.18359375,1.04296875,-9.25,2.24609375,1.0
