time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3808900,36.013076,129.32014283333334,139.0845751152367,75.00954510651367,0.8,226.0,123.0,-1.0390625,-0.06640625,-0.99609375,0.064453125,-0.017578125,-0.171875,0.0,180.0,360.0
3808901,,,,,,,,-1.0390625,-0.06640625,-0.99609375,0.064453125,-0.017578125,-0.171875,0.0,180.0,360.0
3808902,,,,,,,,-1.0390625,-0.06640625,-0.99609375,0.029296875,0.00390625,-0.17578125,0.0,180.0,360.0
3808903,,,,,,,,-1.0390625,-0.06640625,-0.99609375,-0.58984375,-0.109375,0.0546875,0.0,180.0,360.0
3808904,,,,,,,,0.03125,-1.765625,-0.5859375,-0.58984375,-0.109375,0.0546875,0.0,180.0,360.0
3808905,,,,,,,,0.03125,-1.765625,-0.5859375,-0.646484375,-0.12109375,0.056640625,0.0,180.0,360.0
3808906,,,,,,,,0.03125,-1.765625,-0.5859375,-0.345703125,-0.001953125,-0.015625,0.0,180.0,360.0
3808907,,,,,,,,1.49609375,-2.265625,0.62109375,-0.345703125,-0.001953125,-0.015625,0.0,180.0,360.0
3808908,,,,,,,,1.49609375,-2.265625,0.62109375,-0.0234375,0.20703125,-0.130859375,0.0,180.0,360.0
3808909,,,,,,,,1.7265625,-1.15234375,0.96484375,-0.0234375,0.20703125,-0.130859375,0.0,180.0,360.0
3808910,36.01307516666667,129.32014083333334,138.9042789747654,74.91707621716019,0.9,233.0,,1.7265625,-1.15234375,0.96484375,0.279296875,0.109375,-0.177734375,0.0,180.0,360.0
3808911,,,,,,,,0.828125,-1.0,1.74609375,0.279296875,0.109375,-0.177734375,0.0,180.0,360.0
3808912,,,,,,,,0.828125,-1.0,1.74609375,0.3984375,-0.142578125,-0.111328125,0.0,180.0,360.0
3808913,,,,,,,,-1.125,-1.3203125,2.15234375,0.3984375,-0.142578125,-0.111328125,0.0,180.0,360.0
3808914,,,,,,,,-1.125,-1.3203125,2.15234375,0.27734375,-0.431640625,0.10546875,0.0,180.0,360.0
3808915,,,,,,,,-1.125,-1.3203125,2.15234375,0.27734375,-0.431640625,0.10546875,0.0,180.0,360.0
3808916,,,,,,,,-1.125,-1.3203125,2.15234375,0.0390625,-0.59375,0.26953125,0.0,180.0,360.0
3808917,,,,,,,,0.71484375,-1.13671875,1.1171875,0.0390625,-0.59375,0.26953125,0.0,180.0,360.0
3808918,,,,,,,,0.71484375,-1.13671875,1.1171875,0.103515625,-0.529296875,0.25390625,0.0,180.0,360.0
