time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3925100,36.013623,129.31971216666668,100.25979878045248,135.70372495480976,0.0,65535.0,91.0,-0.09375,-0.05859375,0.1484375,-0.103515625,-0.001953125,-0.0078125,356.0,356.0,356.02222222222224
3925101,,,,,,,,-0.09375,-0.05859375,0.1484375,-0.1171875,-0.01171875,-0.01171875,356.0,356.0,356.02222222222224
3925102,,,,,,,,-0.109375,0.04296875,0.10546875,-0.1171875,-0.01171875,-0.01171875,356.0,356.0,356.02222222222224
3925103,,,,,,,,-0.109375,0.04296875,0.10546875,-0.1171875,-0.01171875,-0.01171875,356.0,356.0,356.02222222222224
3925104,,,,,,,,-0.109375,0.04296875,0.10546875,-0.1171875,-0.01953125,-0.00390625,356.0,356.0,356.02222222222224
3925105,,,,,,,,-0.109375,0.04296875,0.10546875,-0.1171875,-0.01953125,-0.00390625,356.0,356.0,356.02222222222224
3925106,,,,,,,,-0.109375,0.04296875,0.10546875,-0.134765625,-0.01953125,0.009765625,356.0,356.0,356.02222222222224
3925107,,,,,,,,-0.109375,0.04296875,0.10546875,-0.134765625,-0.01953125,0.009765625,356.0,356.0,356.02222222222224
3925108,,,,,,,,-0.109375,0.04296875,0.10546875,-0.13671875,-0.044921875,0.005859375,356.0,356.0,356.02222222222224
3925109,,,,,,,,-0.109375,0.04296875,0.10546875,-0.13671875,-0.044921875,0.005859375,356.0,356.0,356.02222222222224
3925110,36.013623,129.319712,100.24477408424391,135.70372478336037,0.0,65535.0,,-0.109375,0.04296875,0.10546875,-0.12890625,-0.021484375,0.0,356.0,356.0,356.02222222222224
3925111,,,,,,,,-0.109375,0.04296875,0.10546875,-0.12890625,-0.021484375,0.0,356.0,356.0,356.02222222222224
3925112,,,,,,,,-0.109375,0.04296875,0.10546875,-0.111328125,-0.02734375,0.001953125,356.0,356.0,356.02222222222224
3925113,,,,,,,,-0.109375,0.04296875,0.10546875,-0.111328125,-0.02734375,0.001953125,356.0,356.0,356.02222222222224
3925114,,,,,,,,-0.109375,0.04296875,0.10546875,-0.119140625,-0.017578125,0.00390625,356.0,356.0,356.02222222222224
3925115,,,,,,,,-0.109375,0.04296875,0.10546875,-0.119140625,-0.017578125,0.00390625,356.0,356.0,356.02222222222224
3925116,,,,,,,,-0.109375,0.04296875,0.10546875,-0.11328125,-0.041015625,0.001953125,356.0,356.0,356.02222222222224
3925117,,,,,,,,-0.09375,-0.1328125,0.046875,-0.11328125,-0.041015625,0.001953125,356.0,356.0,356.02222222222224
3925118,,,,,,,,-0.09375,-0.1328125,0.046875,-0.11328125,-0.041015625,0.001953125,356.0,356.0,356.02222222222224
3925119,,,,,,,,-0.09375,-0.1328125,0.046875,-0.103515625,-0.021484375,-0.013671875,356.0,356.0,356.02222222222224
3925120,36.013623,129.319712,100.24477408424391,135.70372478336037,0.0,65535.0,,-0.09375,-0.1328125,0.046875,-0.103515625,-0.021484375,-0.013671875,356.0,356.0,356.02222222222224
3925121,,,,,,,,-0.09375,-0.1328125,0.046875,-0.1015625,-0.02734375,-0.0078125,356.0,356.0,356.02222222222224
3925122,,,,,,,,-0.09375,-0.1328125,0.046875,-0.1015625,-0.02734375,-0.0078125,356.0,356.0,356.02222222222224
3925123,,,,,,,,-0.09375,-0.1328125,0.046875,-0.072265625,-0.033203125,-0.005859375,356.0,356.0,356.02222222222224
3925124,,,,,,,,-0.09375,-0.1328125,0.046875,-0.072265625,-0.033203125,-0.005859375,356.0,356.0,356.02222222222224
3925125,,,,,,,,-0.09375,-0.1328125,0.046875,-0.03125,-0.03125,-0.00390625,356.0,356.0,356.02222222222224
3925126,,,,,,,,-0.09375,-0.1328125,0.046875,-0.03125,-0.03125,-0.00390625,356.0,356.0,356.02222222222224
3925127,,,,,,,,-0.09375,-0.1328125,0.046875,-0.001953125,-0.0390625,0.001953125,356.0,356.0,356.02222222222224
3925128,,,,,,,,-0.09375,-0.1328125,0.046875,-0.001953125,-0.0390625,0.001953125,356.0,356.0,356.02222222222224
3925129,,,,,,,,-0.09375,-0.1328125,0.046875,0.033203125,-0.0234375,-0.015625,356.0,356.0,356.02222222222224
3925130,36.013623,129.31971216666668,100.25979878045248,135.70372495480976,0.0,65535.0,,-0.09375,-0.1328125,0.046875,0.033203125,-0.0234375,-0.015625,356.0,356.0,356.02222222222224
3925131,,,,,,,,-0.09375,-0.1328125,0.046875,0.0625,-0.029296875,0.0,356.0,356.0,356.02222222222224
3925132,,,,,,,,0.1015625,-0.015625,-0.03125,0.0625,-0.029296875,0.0,356.0,356.0,356.02222222222224
3925133,,,,,,,,0.1015625,-0.015625,-0.03125,0.0625,-0.029296875,0.0,356.0,356.0,356.02222222222224
3925134,,,,,,,,0.1015625,-0.015625,-0.03125,0.037109375,-0.0078125,-0.005859375,356.0,356.0,356.02222222222224
3925135,,,,,,,,0.1015625,-0.015625,-0.03125,0.037109375,-0.0078125,-0.005859375,356.0,356.0,356.02222222222224
3925136,,,,,,,,0.1015625,-0.015625,-0.03125,0.03515625,-0.00390625,-0.00390625,356.0,356.0,356.02222222222224
3925137,,,,,,,,0.1015625,-0.015625,-0.03125,0.03515625,-0.00390625,-0.00390625,356.0,356.0,356.02222222222224
3925138,,,,,,,,0.1015625,-0.015625,-0.03125,0.033203125,-0.029296875,0.0,356.0,356.0,356.02222222222224
3925139,,,,,,,,0.1015625,-0.015625,-0.03125,0.033203125,-0.029296875,0.0,356.0,356.0,356.02222222222224
3925140,36.013623,129.31971216666668,100.25979878045248,135.70372495480976,0.0,65535.0,,0.1015625,-0.015625,-0.03125,0.037109375,-0.015625,-0.005859375,356.0,356.0,356.02222222222224
3925141,,,,,,,,0.1015625,-0.015625,-0.03125,0.037109375,-0.015625,-0.005859375,356.0,356.0,356.02222222222224
3925142,,,,,,,,0.1015625,-0.015625,-0.03125,0.044921875,-0.037109375,0.03125,356.0,356.0,356.02222222222224
3925143,,,,,,,,0.1015625,-0.015625,-0.03125,0.044921875,-0.037109375,0.03125,356.0,356.0,356.02222222222224
3925144,,,,,,,,0.1015625,-0.015625,-0.03125,0.05078125,-0.01953125,0.025390625,356.0,356.0,356.02222222222224
3925145,,,,,,,,0.1015625,-0.015625,-0.03125,0.05078125,-0.01953125,0.025390625,356.0,356.0,356.02222222222224
3925146,,,,,,,,0.1015625,-0.015625,-0.03125,0.037109375,-0.021484375,0.0234375,356.0,356.0,356.02222222222224
3925147,,,,,,,,0.01953125,-0.1328125,0.0,0.037109375,-0.021484375,0.0234375,356.0,356.0,356.02222222222224
3925148,,,,,,,,0.01953125,-0.1328125,0.0,0.037109375,-0.021484375,0.0234375,356.0,356.0,356.02222222222224
3925149,,,,,,,,0.01953125,-0.1328125,0.0,0.025390625,-0.01953125,0.03125,356.0,356.0,356.02222222222224
3925150,36.01362316666667,129.319712,100.2447738731894,135.72221799153036,0.0,65535.0,,0.01953125,-0.1328125,0.0,0.025390625,-0.01953125,0.03125,356.0,356.0,356.02222222222224
3925151,,,,,,,,0.01953125,-0.1328125,0.0,0.021484375,-0.01171875,0.029296875,356.0,356.0,356.02222222222224
3925152,,,,,,,,0.01953125,-0.1328125,0.0,0.021484375,-0.01171875,0.029296875,356.0,356.0,356.02222222222224
3925153,,,,,,,,0.01953125,-0.1328125,0.0,0.046875,-0.009765625,0.03125,356.0,356.0,356.02222222222224
3925154,,,,,,,,0.01953125,-0.1328125,0.0,0.046875,-0.009765625,0.03125,356.0,356.0,356.02222222222224
3925155,,,,,,,,0.01953125,-0.1328125,0.0,0.044921875,0.02734375,0.009765625,356.0,356.0,356.02222222222224
3925156,,,,,,,,0.01953125,-0.1328125,0.0,0.044921875,0.02734375,0.009765625,356.0,356.0,356.02222222222224
3925157,,,,,,,,0.01953125,-0.1328125,0.0,0.064453125,0.0546875,0.0,356.0,356.0,356.02222222222224
3925158,,,,,,,,0.01953125,-0.1328125,0.0,0.064453125,0.0546875,0.0,356.0,356.0,356.02222222222224
3925159,,,,,,,,0.01953125,-0.1328125,0.0,0.078125,0.021484375,-0.01953125,356.0,356.0,356.02222222222224
3925160,36.013623,129.31971183333332,100.22974938606941,135.70372461179596,0.0,65535.0,,0.01953125,-0.1328125,0.0,0.078125,0.021484375,-0.01953125,356.0,356.0,356.02222222222224
3925161,,,,,,,,0.01953125,-0.1328125,0.0,0.10546875,0.0234375,-0.0078125,356.0,356.0,356.02222222222224
3925162,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.10546875,0.0234375,-0.0078125,356.0,356.0,356.02222222222224
3925163,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.10546875,0.0234375,-0.0078125,356.0,356.0,356.02222222222224
3925164,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.109375,-0.01171875,0.0078125,356.0,356.0,356.02222222222224
3925165,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.109375,-0.01171875,0.0078125,356.0,356.0,356.02222222222224
3925166,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.119140625,-0.02734375,0.01953125,356.0,356.0,356.02222222222224
3925167,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.119140625,-0.02734375,0.01953125,356.0,356.0,356.02222222222224
3925168,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.13671875,-0.025390625,0.01171875,356.0,356.0,356.02222222222224
3925169,,,,,,,,-0.03515625,-0.1484375,-0.1015625,0.13671875,-0.025390625,0.01171875,356.0,356.0,356.02222222222224
